id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/18/value
2793516417,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-30T11:21:45.655Z,2025-03-30T12:07:48Z,,,,,5610058167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610171305,194,1xjhud4hyekcg08nue1iosmsq,5610058165,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1xjhud4hyekcg08nue1iosmsq, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd, 22760086vtvx2xulry32q21hw, 6c2isptqoy4cq5c8rlr9s1roq, 6bxwt9u6k6bwadeyirno9979w",5610171307,197,12608,5610058171,130,4,5610058175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610058169,59,"1, 23, 38, 34, 13, 14, 2, 5, 45, 37, 17, 3, 11, 18, 24, 26, 29, 33, 59, 27",5610058173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793516497,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-30T11:21:57.681Z,2025-03-30T12:12:31Z,,,,,5610058559,59,"32, 19, 5, 22, 6, 12, 18, 13, 15, 8, 21, 40, 4, 9, 14, 23, 27, 30, 29, 35",5610058563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610058561,130,7,5610058565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610164711,197,6291,5610058555,30,"15fo180vixn0lb65fujttit3p, 6zhj070huc77sl5o5bx6ey5g4, 5is9bcj143orulo4biogwxzl6, 79b0b6eqck5vn4b3fawxsaok, cw6s5hf1tytvb98vjuosz9r6d, 6ul2nma4j0a7e2li6wyyrpal1, 8gdfn7j6xac9p4jh94hk40jdg, d854rlweyk5wq6d2veyviukq2, 58o5ram4bf58357786j9jr7kk, b13l1wrb747y9cdc8wqltan6d, bpw4cd5vmghjhelb3uxupmqjt, 52vwj2s29n7wngablotd7pboq, 2wwpfsducpmryacr17y8k70iy, 39f0bq9uk4etkf75uzu6qyrmy, 6d0lxiep13vdv32bdb0xwyrys, 8ynqwlysks0dvn46ja7zq5vit, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, cty7nsrs5yn785m330c2gbwq2, 9kxm9u9x44fkygeh5xpag7pqs",5610164709,194,6ul2nma4j0a7e2li6wyyrpal1,5610058557,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540127,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-30T12:01:04.847Z,2025-03-30T14:47:10Z,,,,,5610178027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540121,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-30T12:01:04.847Z,2025-03-30T12:01:05Z,,,,,5610177991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540143,4,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.0,50.0,2025-03-30T12:01:04.848Z,2025-03-30T15:00:04Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5610178097,213,2.77,5610178093,141,63.0,5610178099,279,S,5610178091,140,28.3,5610178095,212,24.4,5610178089,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540173,5,1,1,0,2,c165yjiny1qnmfdvefxvflnkc,1,27.5,62.0,2025-03-30T12:01:06.855Z,2025-03-30T12:01:09Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5610178265,56,Back,5610178269,141,25.2,5610178273,213,4.96,5610178267,140,33.4,5610178271,212,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540197,6,1,1,0,4,c165yjiny1qnmfdvefxvflnkc,0,34.9,34.0,2025-03-30T12:01:09.350Z,2025-03-30T15:00:21Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5610178387,212,37.4,5610178383,140,70.1,5611301375,157,,5610178381,56,Center,5610178389,213,0.15,5610178385,141,42.2,5610178391,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540245,3,1,1,0,7,anga7587r1zv4ey71ge9zxol3,1,25.9,65.8,2025-03-30T12:01:12.526Z,2025-03-30T12:52:40Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5610178595,213,5.21,5610178585,3,,5610178591,141,47.6,5610178593,212,14.1,5610178587,56,Back,5610178589,140,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540249,4,61,1,0,9,anga7587r1zv4ey71ge9zxol3,0,32.2,43.9,2025-03-30T12:01:14.454Z,2025-03-30T12:52:54Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5610178615,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793540257,7,61,1,0,11,c165yjiny1qnmfdvefxvflnkc,1,67.2,56.1,2025-03-30T12:01:16.220Z,2025-03-30T15:00:52Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5610178641,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
