id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2780232457,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-02-23T15:58:40.639Z,2025-02-23T17:04:07Z,,,,5537278157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5537278153,59,"1, 43, 29, 80, 4, 22, 24, 21, 18, 7, 58, 3, 6, 11, 14, 16, 19, 20, 41, 55",5537278155,130,4,5537589103,197,24384,5537278161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5537278159,194,a87w6l9zsbahdi4knm1347zs9,5537278149,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, ajhd3cqclubmexhscpd4w4ez9, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, drlp4xtkta08jiu0px6m4ocq2, 78kzajya12k4sm0ebfl37d6ok, elhmf9cc26ec5p1wnwonuxf4l, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, djlyi0ad4x1p0k4thn8n0axw4, bcscjb9jdgu4ims9n3vwuj5k9, 7yim2aepctujr2m4p20a97755, bwfg9frq2ecbzg7wlzqjtnv2s, e73sexp7kse0wlykdi7xcbg2c, e64kcio0848bpw39eedbjyd5g, 8mn8apr6n7t7s6lx4d4vvdnca",5537278151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780234439,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-02-23T16:01:18.720Z,2025-02-23T17:02:20Z,,,,5537289199,130,8,5537575957,197,790,5537289201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5537289203,194,4gqnyyx3i92fayq6cxvekqwut,5537289205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5537289197,59,"41, 13, 15, 27, 5, 6, 11, 17, 10, 8, 16, 1, 2, 4, 7, 19, 22, 24, 30, 36",5537289195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5537289193,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, c9u2w9ikckbrra8vln2ucbf9w, 6tckvu2rw7ns18dq7dim0sout, 8inyievyp1az6q3dtlkpynf56, bbezbukg20q5b6kfnjuzhs55g, ckhhpn9ppgvlrtubf7li3se09, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 823p7p1amx8lp445bo6bi01lg, 9ic9msq3tj4gx8wqa6wfwk50q, 2ubad2kxha6n1c8c8sr2ogmad, ssluj1c3ft94nkfs58dc8cq2, ftw3io63hk5vuoa3lyfgowes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289899,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-02-23T17:01:41.190Z,2025-02-23T17:01:41Z,,,,5537593767,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289915,3,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-02-23T17:01:41.190Z,2025-02-23T20:24:23Z,,,,5537593851,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289951,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,50.1,49.9,2025-02-23T17:01:41.191Z,2025-02-23T17:01:45Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,5537594061,212,19.7,5537594057,140,31.4,5537594055,56,Back,5537594063,213,3.06,5537594065,279,S,5537594059,141,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289991,4,1,1,0,4,59as3grjvj19voay31j3yfgni,0,32.2,52.8,2025-02-23T17:01:45.224Z,2025-02-23T17:01:48Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,5537594277,213,5.65,5537594275,212,42.6,5537594273,141,15.5,5537594267,157,,5537594279,1,,5537594269,56,Right,5537594271,140,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289987,4,44,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,35.1,83.0,2025-02-23T17:01:47.281Z,2025-02-23T17:01:49Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5537594255,285,,5537594401,233,5,5537594251,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780289997,5,44,1,0,6,59as3grjvj19voay31j3yfgni,0,64.9,17.0,2025-02-23T17:01:47.282Z,2025-02-23T17:11:31Z,elhmf9cc26ec5p1wnwonuxf4l,A. Buksa,,5537594309,56,Right,5537594311,286,,5537594425,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780290003,5,1,1,0,6,b3r6d8ydtmtjckam6pku9y400,0,34.9,78.4,2025-02-23T17:01:47.784Z,2025-02-23T17:01:48Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5537594333,140,47.3,5537594335,141,72.1,5537594337,212,13.7,5537594329,3,,5537594331,56,Back,5537594339,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780290053,6,1,1,0,8,59as3grjvj19voay31j3yfgni,0,55.7,17.3,2025-02-23T17:01:49.922Z,2025-02-23T17:01:52Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,5537594663,141,37.7,5537594665,212,20.5,5537594659,56,Center,5537594667,213,0.74,5537594661,140,70.1,5537594657,157,,5537594669,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
