id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2813379257,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-11T11:06:45.291Z,2025-05-11T16:21:51Z,,,,,5719807473,197,6293,5719555683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719555689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719555685,59,"1, 36, 2, 6, 3, 4, 33, 20, 9, 17, 8, 7, 11, 19, 21, 23, 26, 30, 35, 41",5719555681,30,"b2492j7qzdo7g3ysxz6gq4g5x, 89xit2bryc0g4yhqina7akjkk, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, 6f6x6f9iybgp9pmkqati2otn8, 349g9rdismqpb1aarjp011bd, avtms6bcr8i7qdacuv225evo5, 242y4x99xvpu9zvln5vxoepjp, alqg6ch3anqkq9613hu6m1d04, 7h39w16zvj1lbfb0rqr7kvt1x, lioz4hr2umpne2bwar18qa96, n2annzbap7hll02zo2v0ccgk, 9kjdw81u1rprgi5j8f92afaqc, d8nahz092xxj6muqc24hocp3o, abaapwjdtbk2vmdv69v49fyms, lmrff8mviimc33yyrpjzr2tw",5719555691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719555687,130,9,5719938655,194,b2492j7qzdo7g3ysxz6gq4g5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813381101,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-11T11:09:36.009Z,2025-05-11T16:22:20Z,,,,,5719565123,59,"16, 22, 23, 26, 12, 5, 7, 31, 8, 15, 24, 1, 2, 4, 9, 11, 17, 20, 25, 28",5719565129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719565125,130,4,5719565121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719803059,194,33sxiwcjeqcop3ukuok86ujmd,5719565127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719565119,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 33sxiwcjeqcop3ukuok86ujmd, 5x8064b3yr7txk0czddfjtffu, 637840asun7f3wo16c5zkhi50, 1902oagnhlo7x9xpumxvg1t78, 3ejggtt1du1cui3wc1f8oqx62, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, czpstoiy12awqpasz573ckp91, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, d88feog3dgv09oxbzn15xqesq, adg5dfvzxjrzlz1n2jsfeyx3o, 6je6y9uk6km1tkzatpw8v9p1w",5719803061,197,23448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813428841,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-11T12:00:10.569Z,2025-05-11T16:22:59Z,,,,,5719811807,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813428827,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-11T12:00:10.569Z,2025-05-11T12:00:10Z,,,,,5719811773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813483667,477,43,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-11T12:00:10.569Z,2025-05-11T12:47:07Z,94560hgwsjkx8qgz48f7gzitw,O. Hyseni,,,5720102247,140,20.8,5720103145,144,1,5720102245,56,Back,5720102253,213,3.14,5720102249,141,79.3,5720102251,212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813428883,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.0,50.0,2025-05-11T12:00:10.570Z,2025-05-11T12:49:23Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5719811955,141,30.9,5719811951,56,Back,5719811957,212,18.2,5719811953,140,37.8,5719811961,279,S,5719811959,213,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813428907,4,1,1,0,2,aljua8crr0vkwit0j3m59jw9j,1,37.8,30.9,2025-05-11T12:00:12.791Z,2025-05-11T12:00:14Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5719812083,212,22.5,5719812079,140,31.7,5719812085,213,1.86,5719812081,141,62.6,5719812077,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813428949,5,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,31.8,62.4,2025-05-11T12:00:14.679Z,2025-05-11T12:00:16Z,637840asun7f3wo16c5zkhi50,M. Haidara,,,5719812299,140,25.5,5719812301,141,27.7,5719812305,213,4.44,5719812297,56,Back,5719812303,212,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429057,6,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,25.5,27.7,2025-05-11T12:00:16.600Z,2025-05-11T12:00:22Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5719812755,140,23.1,5719812757,141,62.3,5719812753,56,Back,5719812759,212,23.7,5719812761,213,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429085,7,1,1,0,11,aljua8crr0vkwit0j3m59jw9j,1,23.1,62.3,2025-05-11T12:00:21.912Z,2025-05-11T12:00:23Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5719812925,213,5.39,5719812923,212,14.1,5719812921,141,46.1,5719812917,56,Back,5719812919,140,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
