id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2782899601,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-02T11:59:44.034Z,2025-03-02T13:13:53Z,,,,,5551890373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5551890383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551890371,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, 96uzhuuez4q5pgxb566ryk53p, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, dacr7r8nr09ke3o8dhqmdrklw, eq7tnnzwq0g9q4eac0o9t9xey, 95nyhb9eanuobgbkdccyrwob8, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5551890381,194,5f3wfx327z9hef9k9l37c90wl,5551890379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551890375,59,"1, 18, 3, 13, 24, 2, 19, 12, 11, 7, 27, 14, 15, 16, 17, 26, 30, 33, 37, 55",5551890377,130,4,5552121699,197,19904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782900231,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-02T12:00:44.130Z,2025-03-02T16:21:55Z,,,,,5551893597,59,"1, 23, 38, 34, 14, 29, 2, 10, 45, 37, 11, 5, 7, 9, 17, 18, 24, 25, 26, 59",5551893595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5551893601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551893603,194,1xjhud4hyekcg08nue1iosmsq,5551893593,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 6ylzm57bvpufg3cenadtv7qhh, chsirsawrhuh787kofklnjmqd, 1xjhud4hyekcg08nue1iosmsq, 3ylgelxr6ssp42hidfnchqp2i, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 7rtrg77m3xozgfhu3p2ihfey2, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, f1jk2tqumutelh2ym21v5beuh, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, 6c2isptqoy4cq5c8rlr9s1roq",5551893599,130,4,5551893605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552119747,197,12608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948259,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-02T13:00:25.443Z,2025-03-02T16:10:33Z,,,,,5552134921,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948247,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-03-02T13:00:25.443Z,2025-03-02T13:00:25Z,,,,,5552134847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948283,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,49.4,49.1,2025-03-02T13:00:25.444Z,2025-03-02T13:06:14Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,,5552135069,213,3.49,5552135063,141,38.5,5552135071,279,S,5552135061,140,30.4,5552135065,212,21.2,5552135059,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948339,4,1,1,0,3,cftj6g399tknheudaxsdpfdgb,0,30.8,38.8,2025-03-02T13:00:29.281Z,2025-03-02T13:00:32Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5552135325,212,66.0,5552135327,213,0.59,5552135319,56,Left,5552135323,141,93.2,5552135317,157,,5552135321,140,82.9,5552135329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948375,4,1,1,0,6,c165yjiny1qnmfdvefxvflnkc,0,31.4,10.7,2025-03-02T13:00:32.271Z,2025-03-02T13:00:34Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5552135513,212,12.4,5552135515,213,0.37,5552135509,140,42.4,5552135511,141,17.3,5552135507,56,Back,5552135505,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948411,5,1,1,0,10,cftj6g399tknheudaxsdpfdgb,0,77.7,75.9,2025-03-02T13:00:35.536Z,2025-03-02T13:00:41Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,5552135699,212,19.9,5552135701,213,1.10,5552135691,3,,5552135693,56,Left,5552135697,141,100.0,5552135695,140,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948571,5,5,1,0,12,c165yjiny1qnmfdvefxvflnkc,1,16.4,-1.6,2025-03-02T13:00:37.590Z,2025-03-02T13:02:13Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5552136569,233,6,5552136523,347,,5552136521,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948425,6,5,1,0,12,cftj6g399tknheudaxsdpfdgb,0,83.6,101.6,2025-03-02T13:00:37.590Z,2025-03-02T13:02:14Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,,5552135753,56,Left,5552136585,233,5,5552135755,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
