id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2746776131,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-11-10T12:09:27.184Z,2024-11-10T12:58:25Z,,,,,5355537911,59,"1, 5, 3, 6, 15, 4, 20, 33, 23, 17, 10, 2, 7, 8, 9, 11, 19, 30, 36, 41",5355537915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355537909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355537921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355537917,194,b2492j7qzdo7g3ysxz6gq4g5x,5355537907,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 9zhmwx3g0m6xi2oh57g4z35nu, bplpqy3ierwlm12d1f3prue7e, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5355537919,197,6293,5355537913,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746776399,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-10T12:09:51.877Z,2024-11-10T17:51:47Z,,,,,5355539165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355539167,59,"1, 27, 44, 6, 3, 4, 30, 28, 7, 19, 9, 5, 10, 14, 15, 16, 20, 24, 25, 90",5355539171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355539163,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 4vfbiav52mg5s9vnx53f0nhuc, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, 6w9yjs87tue7noq71ftksxez8, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, ag40mk09zc8tzbkr7dnnqumay, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, bz76p441ynj57eytvsz9kmtck, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 9yuyz4ci6wqikd6ckjstbt2i1",5355539169,130,8,5355539173,194,8cox96ikk1k4c24f0y5ef45x,5355539175,197,23959,5355539177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812469,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-10T13:00:11.924Z,2024-11-10T13:00:12Z,,,,,5355727043,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812459,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-11-10T13:00:11.924Z,2024-11-10T16:56:58Z,,,,,5355726991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812489,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.9,50.5,2024-11-10T13:00:11.925Z,2024-11-10T15:00:28Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5355727165,278,,5355727163,279,S,5355727161,213,4.96,5355727157,141,47.4,5355727155,140,50.4,5355727153,56,Center,5355727159,212,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812525,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,51.0,47.2,2024-11-10T13:00:13.982Z,2024-11-10T17:02:50Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5355727373,56,Back,5355727379,212,13.6,5355727375,140,44.0,5355727381,213,4.14,5355727377,141,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812537,5,1,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,1,44.0,30.4,2024-11-10T13:00:17.021Z,2024-11-10T13:00:18Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5355727459,212,6.7,5355727453,56,Back,5355727457,141,37.3,5355727461,213,2.37,5355727455,140,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812579,6,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,39.4,37.3,2024-11-10T13:00:18.030Z,2024-11-10T13:00:21Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5355727635,140,31.8,5355727649,213,4.13,5355727633,56,Back,5355727639,141,19.5,5355727645,212,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812591,7,1,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,0,31.7,20.0,2024-11-10T13:00:20.846Z,2024-11-10T13:03:33Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5355727691,212,47.9,5355727693,213,0.22,5355727689,141,35.5,5355727683,157,,5355727685,56,Center,5355727687,140,76.2,5355727695,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746812607,3,1,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,0,29.1,65.2,2024-11-10T13:00:21.773Z,2024-11-10T13:00:22Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5355727751,213,5.64,5355727747,141,46.4,5355727745,140,45.5,5355727743,56,Back,5355727749,212,21.4,5355727741,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
