id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value
2744341817,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-04T17:12:25.413Z,2024-11-04T20:17:28Z,,,,,5342251561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5342251571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5342401641,197,790,5342251573,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5342251567,130,15,5342251559,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, al9l7egkwbc0pv68zk42gegut, ayqy2vql1oumokqly9ahfrnx1, ajjw1ikceu3g39sy6dsf9kdg4, 6tckvu2rw7ns18dq7dim0sout, 4gqnyyx3i92fayq6cxvekqwut, 8g4r9maz4invihjmdzpfxy0np, 7hw1plnv7nvxnqpnfnxcxszpx, bbezbukg20q5b6kfnjuzhs55g, 4cbaoo2irqtme9goxuz6s3ey2, 8inyievyp1az6q3dtlkpynf56, babnrlnt04mal0268p9dxas8a, aahyom322jdc6f21960ycuzth, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, c9u2w9ikckbrra8vln2ucbf9w, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes",5342251563,59,"1, 22, 2, 12, 6, 4, 10, 27, 7, 14, 16, 5, 8, 9, 11, 13, 15, 17, 31, 36",5342325983,194,8g4r9maz4invihjmdzpfxy0np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744342429,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-11-04T17:13:45.620Z,2024-11-04T18:03:29Z,,,,,5342255269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5342415875,197,6293,5342255255,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 9zhmwx3g0m6xi2oh57g4z35nu, 89xit2bryc0g4yhqina7akjkk, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, bplpqy3ierwlm12d1f3prue7e, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, cuufy3ioo1kio56er2cfn0mqc, lmrff8mviimc33yyrpjzr2tw",5342402239,194,b2492j7qzdo7g3ysxz6gq4g5x,5342255273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5342255267,130,4,5342255263,59,"1, 5, 3, 36, 15, 4, 20, 6, 23, 17, 10, 2, 7, 8, 9, 11, 19, 30, 33, 41",5342255259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371101,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-11-04T18:01:34.653Z,2024-11-04T18:01:37Z,,,,,5342417177,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371089,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-04T18:01:34.653Z,2024-11-04T18:01:34Z,,,,,5342417135,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371111,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,50.0,50.0,2024-11-04T18:01:34.654Z,2024-11-04T18:51:08Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5342417225,141,46.6,5342417221,56,Back,5342417227,212,3.7,5342417223,140,47.3,5342417231,279,S,5342417229,213,3.83,5342417285,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371129,4,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,47.2,46.6,2024-11-04T18:01:37.753Z,2024-11-04T18:51:10Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5342417319,140,36.9,5342417325,213,3.53,5342417321,141,40.0,5342417323,212,11.7,5342417317,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371141,5,1,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,0,37.9,42.1,2024-11-04T18:01:39.434Z,2024-11-04T18:51:28Z,89xit2bryc0g4yhqina7akjkk,J. Nielsen,,,5342417393,56,Back,5342417403,213,5.92,5342417401,212,8.6,5342417391,155,,5342417399,141,37.6,5342417395,140,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744399467,535,61,1,0,5,b3r6d8ydtmtjckam6pku9y400,1,59.1,61.7,2024-11-04T18:01:39.653Z,2024-11-04T18:51:31Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5342579373,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371163,3,1,1,0,7,b3r6d8ydtmtjckam6pku9y400,1,26.9,73.0,2024-11-04T18:01:42.215Z,2024-11-04T18:01:43Z,ajjw1ikceu3g39sy6dsf9kdg4,M. Garan'anga,,,5342417535,3,,5342417537,56,Back,5342417545,213,0.20,5342417541,141,74.7,5342417539,140,32.3,5342417543,212,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371189,4,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,32.0,74.7,2024-11-04T18:01:43.354Z,2024-11-04T18:01:47Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5342417699,141,79.7,5342417701,212,9.1,5342417705,1,,5342417703,213,0.38,5342417695,56,Back,5342417693,157,,5342417697,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371205,5,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,1,40.0,79.7,2024-11-04T18:01:46.882Z,2024-11-04T18:01:48Z,7hw1plnv7nvxnqpnfnxcxszpx,A. Cornelius,,,5342417797,56,Back,5342417801,141,78.7,5342417805,213,3.29,5342417799,140,35.8,5342417803,212,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371225,7,1,1,0,13,b3r6d8ydtmtjckam6pku9y400,0,35.8,78.7,2024-11-04T18:01:48.371Z,2024-11-04T18:01:50Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5342417911,213,6.12,5342417909,212,37.5,5342417913,1,,5342417905,140,71.1,5342417901,157,,5342417903,56,Center,5342417907,141,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371233,6,1,1,0,15,ahnt9ejgwj58ul8auzdvi3czf,1,32.9,32.8,2024-11-04T18:01:50.410Z,2024-11-04T18:01:52Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5342417969,56,Back,5342417973,141,46.4,5342417967,3,,5342417977,213,2.72,5342417975,212,22.5,5342417971,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371261,8,1,1,0,18,ahnt9ejgwj58ul8auzdvi3czf,1,13.9,49.9,2024-11-04T18:01:53.532Z,2024-11-04T18:01:55Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5342418127,123,,5342418137,213,0.91,5342418133,141,67.6,5342418135,212,15.3,5342418131,140,22.9,5342418129,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371269,9,1,1,0,21,ahnt9ejgwj58ul8auzdvi3czf,1,22.7,68.8,2024-11-04T18:01:55.738Z,2024-11-04T18:01:57Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5342418193,212,21.2,5342418195,213,3.90,5342418187,56,Back,5342418191,141,47.3,5342418189,140,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371287,10,1,1,0,22,ahnt9ejgwj58ul8auzdvi3czf,1,7.8,46.0,2024-11-04T18:01:57.579Z,2024-11-04T18:01:59Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5342418289,140,12.4,5342418293,141,24.1,5342418297,213,5.03,5342418285,56,Back,5342418295,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371299,11,1,1,0,24,ahnt9ejgwj58ul8auzdvi3czf,1,12.4,24.0,2024-11-04T18:01:59.467Z,2024-11-04T18:02:01Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,,5342418355,212,7.7,5342418351,140,5.3,5342418357,213,2.87,5342418349,56,Back,5342418353,141,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371311,12,1,1,0,26,ahnt9ejgwj58ul8auzdvi3czf,0,5.3,27.0,2024-11-04T18:02:01.402Z,2024-11-04T18:02:02Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5342418425,56,Back,5342418427,140,34.7,5342418423,157,,5342418429,141,25.6,5342418435,1,,5342418431,212,30.9,5342418433,213,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371337,9,61,1,0,31,b3r6d8ydtmtjckam6pku9y400,0,68.7,86.0,2024-11-04T18:02:05.731Z,2024-11-04T18:02:05Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5342418579,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371355,13,1,1,0,31,ahnt9ejgwj58ul8auzdvi3czf,1,29.4,6.8,2024-11-04T18:02:06.299Z,2024-11-04T18:51:47Z,6wrch4yhbs6utcc0doguj90q,M. Larsen,,,5342418649,212,6.6,5342418645,140,32.1,5342418643,56,Back,5342418647,141,15.5,5342418651,213,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744371369,15,1,1,0,32,ahnt9ejgwj58ul8auzdvi3czf,1,32.2,15.6,2024-11-04T18:02:07.514Z,2024-11-04T18:02:10Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5342418729,213,5.73,5342418721,56,Back,5342418725,141,5.3,5342418723,140,42.9,5342418727,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
