id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value
2736396111,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-10-20T13:12:02.496Z,2024-10-20T13:58:48Z,,,,,5299141543,197,4597,5298833093,59,"13, 2, 5, 6, 4, 24, 8, 16, 7, 10, 14, 11, 15, 17, 18, 19, 21, 32, 36, 38",5298833091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5298833099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298833097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299141539,194,55gunqozsj8gs6oua7ee5xxhx,5298833095,130,4,5298833087,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, 2rvx2wlfj2rxzcgye6wiw0v84, 4cubrfqgrc5ivbd6fdj3k3zf8, 5r1v2w303bvj0vv1893qr5d5h, 4rgz5z372h6sbwhpxl69cb6c5, 5uqf7a0y0fd1hf2rrmgx11tuy, 7a1vtc0e7ubua2t0dwx9ufk7o, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, ddsv1cx4vopu1xis5xwkx2qz8, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736400007,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-20T13:14:36.852Z,2024-10-20T14:01:57Z,,,,,5298854223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5299141259,197,26725,5298854225,59,"1, 5, 3, 6, 15, 4, 20, 33, 23, 8, 10, 2, 7, 9, 11, 17, 19, 30, 36, 41",5298854229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298854227,130,4,5298854231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5299141571,194,b2492j7qzdo7g3ysxz6gq4g5x,5298854221,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 9zhmwx3g0m6xi2oh57g4z35nu, bplpqy3ierwlm12d1f3prue7e, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456129,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-10-20T14:03:04.388Z,2024-10-20T14:03:04Z,,,,,5299161677,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456143,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-20T14:03:04.388Z,2024-10-20T14:03:06Z,,,,,5299161739,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456185,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.1,50.1,2024-10-20T14:03:04.389Z,2024-10-20T14:03:07Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5299161951,56,Back,5299161953,140,46.9,5299161961,279,S,5299161963,278,,5299161959,213,2.58,5299161957,212,4.0,5299161955,141,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456257,4,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,48.3,51.3,2024-10-20T14:03:06.338Z,2024-10-20T14:03:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5299162297,213,1.80,5299162295,212,20.0,5299162289,56,Back,5299162293,141,79.9,5299162291,140,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456277,5,1,1,0,4,77tfx9me4aaqhzv78bmgsy9bg,1,41.6,82.6,2024-10-20T14:03:09.298Z,2024-10-20T14:03:11Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5299162403,56,Back,5299162409,140,30.8,5299162417,212,13.6,5299162415,141,71.5,5299162421,213,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456299,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,31.2,71.2,2024-10-20T14:03:10.978Z,2024-10-20T14:03:12Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5299162545,56,Back,5299162549,140,38.1,5299162553,141,90.3,5299162559,213,1.06,5299162557,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456359,7,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,38.3,91.3,2024-10-20T14:03:12.162Z,2024-10-20T14:03:14Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5299162861,212,20.0,5299162863,213,6.07,5299162859,141,85.2,5299162857,140,56.9,5299162855,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736456371,8,1,1,0,10,77tfx9me4aaqhzv78bmgsy9bg,0,56.9,85.2,2024-10-20T14:03:14.850Z,2024-10-20T14:03:15Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5299162913,140,59.4,5299162917,212,2.8,5299162919,213,5.94,5299162915,141,83.8,5299162911,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
