id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value
2707899893,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-11T11:14:20.052Z,2024-08-11T12:00:04Z,,,,,5142671413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142671409,130,8,5142818837,197,4650,5142671405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5142671411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142671407,59,"1, 27, 44, 6, 3, 4, 10, 8, 30, 90, 9, 5, 12, 15, 18, 19, 21, 24, 25, 29",5142820205,194,8cox96ikk1k4c24f0y5ef45x,5142671403,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 5al9uyujlrlb17o4r5sapkkk4, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, 9xub4z9b3bog8wqhn5yfihecp, 2datlbzulrzdgpyxv3fkzn0et, 3aoh34sqan7y34c2qa1d6xkyy, 6w9yjs87tue7noq71ftksxez8, 1u46uhxe7outj2f8tsga2nx0p, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 2lyhi7j3id7emsh54ehdva3ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707901981,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-11T11:18:22.801Z,2024-08-11T12:05:40Z,,,,,5142820519,197,6293,5142682069,30,"b2492j7qzdo7g3ysxz6gq4g5x, 7h39w16zvj1lbfb0rqr7kvt1x, 2513579m13glsous1p82fbjzd, 5k4gsy5f7ius93bbks9wbvqei, 7zaveckhldl5rieo5ddsqtt2i, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, lmrff8mviimc33yyrpjzr2tw, n2annzbap7hll02zo2v0ccgk, 242y4x99xvpu9zvln5vxoepjp, bb8q9cgqzw9n2tmkl8s3bth0q, 9zhmwx3g0m6xi2oh57g4z35nu, avtms6bcr8i7qdacuv225evo5, d0xv8spbowuj5vafz7zoy47hl, 349g9rdismqpb1aarjp011bd, 9pv2ame21kaydllf78eo1nqc4, cuufy3ioo1kio56er2cfn0mqc, 89xit2bryc0g4yhqina7akjkk",5142820517,194,b2492j7qzdo7g3ysxz6gq4g5x,5142682071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5142682079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5142682077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5142682073,59,"1, 19, 2, 22, 25, 4, 20, 41, 23, 7, 10, 3, 8, 16, 17, 24, 33, 36",5142682075,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931259,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-11T12:01:58.848Z,2024-08-11T12:02:00Z,,,,,5142829795,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931245,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-11T12:01:58.848Z,2024-08-11T15:08:18Z,,,,,5142829767,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931287,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,49.7,50.3,2024-08-11T12:01:58.849Z,2024-08-11T12:02:01Z,4vfbiav52mg5s9vnx53f0nhuc,M. Themsen,,,5142829915,56,Center,5142829917,140,52.5,5142829927,278,,5142829923,213,0.84,5142829925,279,S,5142829919,141,55.1,5142829921,212,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931347,4,1,1,0,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,52.5,55.1,2024-08-11T12:02:00.705Z,2024-08-11T12:02:07Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5142830247,213,4.08,5142830239,56,Back,5142830243,141,30.9,5142830245,212,20.5,5142830241,140,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931391,5,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,74.8,16.1,2024-08-11T12:02:07.153Z,2024-08-11T12:02:09Z,5al9uyujlrlb17o4r5sapkkk4,M. Enggård,,,5142830395,56,Right,5142830403,213,5.65,5142830397,140,84.5,5142830401,212,12.6,5142830399,141,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931427,6,1,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,80.4,5.2,2024-08-11T12:02:09.825Z,2024-08-11T12:02:13Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5142830595,213,2.90,5142830593,212,24.8,5142830589,140,57.4,5142830587,56,Right,5142830591,141,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931443,7,1,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,0,57.6,14.4,2024-08-11T12:02:13.025Z,2024-08-11T12:02:15Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5142830701,213,5.92,5142830699,212,18.3,5142830689,56,Right,5142830695,141,4.9,5142830691,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707931461,3,8,1,0,18,ahnt9ejgwj58ul8auzdvi3czf,1,26.6,93.8,2024-08-11T12:02:16.869Z,2024-08-11T15:08:52Z,lmrff8mviimc33yyrpjzr2tw,O. Boesen,,,5142830769,56,Back,5143560897,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
