id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2703390627,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-07-26T15:56:50.947Z,2024-07-26T17:18:10Z,,,,5117822487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117822479,30,"15fo180vixn0lb65fujttit3p, 4bstdc3zla1sn85ev3bcmw1lg, 2sgey1g99rmupumezjo9rkxcl, 5is9bcj143orulo4biogwxzl6, 5q5ph311bi310zt1e45u7i7dh, c36ffo382u9flu5foebt4di39, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 5kghds186740jygx97bihh6mt, 6v4ykv7aw86ql22oksh682kus, 6ul2nma4j0a7e2li6wyyrpal1, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, 6miatayfy07pf4og7qc7c7pqs, cty7nsrs5yn785m330c2gbwq2",5117891769,194,deyq3zqd0vwc821ngqldxqor9,5117822489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117822485,130,13,5117822483,59,"32, 24, 20, 5, 6, 23, 13, 14, 26, 21, 17, 1, 3, 7, 12, 15, 19, 22, 27, 29",5117892151,197,6292,5117822481,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2703390631,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-07-26T15:58:08.880Z,2024-07-26T17:24:14Z,,,,5117891693,194,5j9d1plbsd5ic01r3ggziutwp,5117822537,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117822535,30,"a6ham5hnwv62w3tynikyal68l, 5q4p56lg1vjsqo824aql0e1d6, bb2cldqy0vvcyrrcvj6j0d71l, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, a8opuarwq9byw73nhfgvo9nca, 828b7y3phhpb62srvtrjhtgk4, 5j9d1plbsd5ic01r3ggziutwp, 6gh4z3yubnpypzoakjom1rj3e, 33sxiwcjeqcop3ukuok86ujmd, 1902oagnhlo7x9xpumxvg1t78, 7foqorbwhgqjghtxa2nax6kgk, 4qyfoq5fjiochtj89w426lm21, c7gwbtdqptxjtu3tn3xctvit, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 3361cs2j60yxzy9mir80byqc5, 637840asun7f3wo16c5zkhi50",5117822543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117822539,59,"1, 13, 21, 26, 12, 4, 7, 10, 9, 6, 17, 5, 8, 11, 14, 16, 18, 20, 22, 31",5117822541,130,7,5117891695,197,23447,5117822545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403155,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-07-26T17:02:03.226Z,2024-07-26T19:37:59Z,,,,5117893705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403153,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-07-26T17:02:03.226Z,2024-07-26T17:02:03Z,,,,5117893701,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403157,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.0,2024-07-26T17:02:03.227Z,2024-07-26T17:02:06Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,5117893739,213,2.80,5117893741,279,S,5117893735,141,60.4,5117893737,212,20.9,5117893733,140,31.3,5117893731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403163,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,32.2,60.7,2024-07-26T17:02:06.839Z,2024-07-26T17:02:08Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,5117893751,157,,5117893755,140,69.6,5117893753,56,Center,5117893759,212,43.3,5117893761,213,5.85,5117893757,141,33.9,5117893763,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403169,3,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,0,29.5,64.2,2024-07-26T17:02:09.036Z,2024-07-26T17:02:10Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,5117893789,3,,5117893797,212,15.0,5117893795,141,74.8,5117893791,56,Back,5117893799,213,0.50,5117893793,140,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403179,5,61,1,0,9,anga7587r1zv4ey71ge9zxol3,0,66.3,18.1,2024-07-26T17:02:12.904Z,2024-07-26T17:02:13Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117893833,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403181,4,1,1,0,9,aljua8crr0vkwit0j3m59jw9j,0,24.5,93.0,2024-07-26T17:02:13.156Z,2024-07-26T19:45:14Z,bb2cldqy0vvcyrrcvj6j0d71l,A. Barkarson,,5117893893,233,6,5117893837,157,,5117893891,236,,5117893841,140,26.8,5117893839,56,Back,5117893843,141,92.0,5117893847,213,6.01,5117893897,286,,5117893845,212,2.5,5117893849,1,,,,,,,,,,,,,,,,,,,,,,
2703403183,6,74,1,0,9,anga7587r1zv4ey71ge9zxol3,1,72.1,8.6,2024-07-26T17:02:13.157Z,2024-07-26T19:44:35Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5117893899,233,4,5117893857,285,,5117893855,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
