id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2710417103,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-18T13:14:29.394Z,2024-08-18T14:01:39Z,,,,,5156587937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156788449,197,11498,5156587929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5156788207,194,5f3wfx327z9hef9k9l37c90wl,5156587927,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, 6ja2xnbktah4mog04g3kmjgmh, auk14ut8cwaqop549u2zmfgt1, 3bvc29bootgmo9tsapvygvnu2, b6q0tf252xvikt39g8jevju38, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, 7w7ufa4v85hmj1qxnmqc4zgiy, 9wgpudcet9m8doz9ezbjxzkrt, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 8ngloyr6r0m71p8kgpfe69bvu, eq7tnnzwq0g9q4eac0o9t9xey, xyt0wq20toh97811t65vu4no, bp2ellllifbtxgf0p8qlbm1nt",5156587935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156587931,59,"16, 18, 24, 13, 5, 4, 28, 37, 11, 7, 15, 1, 8, 10, 14, 17, 21, 30, 32, 55",5156587933,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710420293,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-18T13:18:52.587Z,2024-08-18T15:10:27Z,,,,,5156606439,130,4,5156606435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5156606433,30,"ckhhpn9ppgvlrtubf7li3se09, 7xc0qldxpidl07vij2wgu1sk5, 2ubad2kxha6n1c8c8sr2ogmad, ftw3io63hk5vuoa3lyfgowes, w0wt7gjkdddn63a4258j8frp, 4cbaoo2irqtme9goxuz6s3ey2, al9l7egkwbc0pv68zk42gegut, 8inyievyp1az6q3dtlkpynf56, 823p7p1amx8lp445bo6bi01lg, c9u2w9ikckbrra8vln2ucbf9w, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 6tckvu2rw7ns18dq7dim0sout, bbezbukg20q5b6kfnjuzhs55g, euur9yvhgrieu4kl0vdkh244q, 9ic9msq3tj4gx8wqa6wfwk50q, quh8tfvwi106toymoh38tbrp, rq6npjy37kolscu8lrj4r2dx, 8jyfsal0lbf0ia92axymn2l1w, vrzye4jqrafujmjw3wakjpxw",5156606441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156606437,59,"1, 2, 24, 36, 3, 5, 12, 8, 45, 47, 30, 4, 10, 16, 18, 22, 31, 33, 38, 42",5156776217,197,790,5156606443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156788265,194,al9l7egkwbc0pv68zk42gegut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452273,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-18T14:01:47.322Z,2024-08-18T14:01:49Z,,,,,5156788827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452281,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-18T14:01:47.322Z,2024-08-18T14:01:47Z,,,,,5156788863,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452307,3,1,1,0,1,cftj6g399tknheudaxsdpfdgb,1,49.9,50.0,2024-08-18T14:01:48.981Z,2024-08-18T14:08:50Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5156788993,141,54.8,5156788999,279,S,5156788989,56,Back,5156788991,140,31.7,5156788995,212,19.4,5156788997,213,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452355,4,1,1,0,2,cftj6g399tknheudaxsdpfdgb,1,32.5,54.6,2024-08-18T14:01:50.291Z,2024-08-18T14:01:53Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5156789251,140,33.9,5156789255,212,16.6,5156789253,141,30.3,5156789257,213,4.80,5156789249,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452401,5,1,1,0,6,cftj6g399tknheudaxsdpfdgb,0,39.1,28.5,2024-08-18T14:01:53.636Z,2024-08-18T14:01:57Z,6ja2xnbktah4mog04g3kmjgmh,Ž. Zaletel,,,5156789537,213,6.16,5156789541,1,,5156789523,140,72.9,5156789527,141,21.8,5156789533,212,35.8,5156789515,155,,5156789519,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452393,3,44,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,27.3,76.8,2024-08-18T14:01:55.901Z,2024-08-18T14:19:40Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5156789599,233,6,5156789465,56,Back,5156789467,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452405,6,44,1,0,8,cftj6g399tknheudaxsdpfdgb,0,72.7,23.2,2024-08-18T14:01:55.902Z,2024-08-18T14:19:40Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5156789545,56,Center,5156789627,233,3,5156789549,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710452399,4,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,0,27.7,74.4,2024-08-18T14:01:56.172Z,2024-08-18T14:01:56Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5156789499,56,Back,5156789497,3,,5156789503,141,68.1,5156789501,140,34.1,5156789505,212,8.0,5156789507,213,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
