id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2739888051,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-27T10:11:28.623Z,2024-10-27T17:53:36Z,,,,5318069245,194,8g4r9maz4invihjmdzpfxy0np,5317964819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5317964809,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, al9l7egkwbc0pv68zk42gegut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, 4gqnyyx3i92fayq6cxvekqwut, 8g4r9maz4invihjmdzpfxy0np, 7hw1plnv7nvxnqpnfnxcxszpx, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 8inyievyp1az6q3dtlkpynf56, babnrlnt04mal0268p9dxas8a, aahyom322jdc6f21960ycuzth, 6b8vhoisrfwkljhz4u7pduej8, bbezbukg20q5b6kfnjuzhs55g, c9u2w9ikckbrra8vln2ucbf9w, quh8tfvwi106toymoh38tbrp, ftw3io63hk5vuoa3lyfgowes",5317964811,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5317964813,59,"1, 22, 2, 12, 5, 6, 10, 27, 7, 14, 30, 4, 8, 9, 11, 13, 16, 17, 31, 36",5318069247,197,790,5317964817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5317964815,130,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739888641,2,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-27T10:15:26.973Z,2024-10-27T17:56:59Z,,,,5318059633,194,bnar4f48vnx4oaz2lzch48es5,5317967937,59,"1, 2, 37, 4, 32, 30, 22, 10, 36, 28, 7, 5, 6, 11, 16, 17, 18, 24, 35, 46",5317967935,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5318057343,197,5111,5317967939,130,17,5317967933,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, 94didhw8o1blxonn4amoahcr9, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, cft1n7qn5juaedelpvqwo2f3d, 2tthm6h5o033dz440e476rhbe, 2xp7fbcl6a4nua9jpm7b4k1sk, 64ux2tbb35i36qf6oij2263qi",5317967941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5317967943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906537,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-10-27T11:19:19.588Z,2024-10-27T11:19:19Z,,,,5318070737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906545,4,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-10-27T11:19:19.588Z,2024-10-27T17:35:36Z,,,,5318070779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906579,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,50.0,50.0,2024-10-27T11:19:19.589Z,2024-10-27T18:00:18Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,5318070995,279,S,5318070985,56,Back,5318070993,213,3.11,5318070991,212,20.7,5318070989,141,51.0,5318070987,140,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906605,4,1,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,31.1,51.9,2024-10-27T11:19:24.186Z,2024-10-27T11:19:28Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,5318071123,157,,5318071129,141,91.8,5318071135,1,,5318071125,56,Left,5318071127,140,70.3,5318071131,212,49.3,5318071133,213,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906611,5,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,0,70.3,90.9,2024-10-27T11:19:28.075Z,2024-10-27T11:19:28Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,5318071167,56,Center,5318071169,140,72.3,5318071175,213,4.96,5318071173,212,8.6,5318071165,3,,5318071171,141,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906621,5,1,1,0,9,9qsmopgutr7ut5g6workk8w4i,0,26.7,35.9,2024-10-27T11:19:28.782Z,2024-10-27T18:01:16Z,94didhw8o1blxonn4amoahcr9,J. Radošević,,5318071221,141,50.0,5318071223,212,12.4,5318071215,3,,5318071217,56,Back,5318071225,213,0.88,5318071219,140,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906699,7,1,1,0,13,9qsmopgutr7ut5g6workk8w4i,1,39.2,58.5,2024-10-27T11:19:33.198Z,2024-10-27T12:12:17Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,5318071655,56,Back,5318071663,213,1.47,5318071659,141,89.1,5318071661,212,20.9,5318071657,140,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739906707,8,3,1,0,18,9qsmopgutr7ut5g6workk8w4i,0,68.2,94.8,2024-10-27T11:19:37.721Z,2024-10-27T18:01:29Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5318071703,286,,5318071701,56,Left,5318071765,233,6,5320174751,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
