id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2818168487,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-24T12:30:04.830Z,2025-05-24T13:15:41Z,,,,,5746074051,130,7,5746089567,197,23448,5746074047,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5746074055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746074053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5746074045,30,"a6ham5hnwv62w3tynikyal68l, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 33sxiwcjeqcop3ukuok86ujmd, 6je6y9uk6km1tkzatpw8v9p1w, 1902oagnhlo7x9xpumxvg1t78, 7foqorbwhgqjghtxa2nax6kgk, 637840asun7f3wo16c5zkhi50, 94560hgwsjkx8qgz48f7gzitw, dshwz1df0rbe0fztksawvd0wl, 828b7y3phhpb62srvtrjhtgk4, 9ki0zmbky1zluxnz63008ozmy, 6gh4z3yubnpypzoakjom1rj3e, 9zx0qi6gbfnvt6wwpkgprhy50, 6in4qqej6re7ruokm2spdpr10, d4emkl168o7w0fy7shqdp6t5g",5746074049,59,"1, 22, 23, 26, 12, 5, 28, 8, 11, 31, 24, 2, 9, 14, 17, 27, 32, 29",5746084687,194,33sxiwcjeqcop3ukuok86ujmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818168523,2,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-24T12:30:26.259Z,2025-05-24T13:07:28Z,,,,,5746074251,30,"1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 32ohywx3gs0u6bqm4z59wxmmt, 1xjhud4hyekcg08nue1iosmsq, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1hbucfyn2l3bxcw5r4zcb1dlg, 7uia9zlz3axnuc6usdn9u4kfe, babnrlnt04mal0268p9dxas8a, 9yiz575rldkwu7icgqwk1qmdx, 3ylgelxr6ssp42hidfnchqp2i, 53y263xxfdf1itytiqhg3v6c5, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, ajk0mbprro09pccglih9y740k, chsirsawrhuh787kofklnjmqd, 6xjbcik3a56d0vqy4vrq5eokp, 6c2isptqoy4cq5c8rlr9s1roq, 6uvp2evoo07gv5rc5ht2l012i, 1yqlkot5sh85ot3eemo67djv9",5746074261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746074259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746087709,194,1xjhud4hyekcg08nue1iosmsq,5746074255,59,"24, 25, 3, 2, 13, 14, 37, 34, 45, 18, 10, 1, 11, 17, 22, 29, 38, 59, 71, 7",5746074253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746090295,197,12608,5746074257,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172655,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-24T13:03:09.875Z,2025-05-24T13:03:10Z,,,,,5746097129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172663,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-24T13:03:09.875Z,2025-05-24T17:19:17Z,,,,,5746097163,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172693,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.3,50.0,2025-05-24T13:03:09.946Z,2025-05-24T13:05:14Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5746097321,141,46.1,5746097325,213,3.28,5746097323,212,19.3,5746097327,279,S,5746097315,56,Back,5746097319,140,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172697,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,32.1,46.1,2025-05-24T13:03:12.954Z,2025-05-24T13:03:13Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5746097353,212,4.4,5746097349,140,34.6,5746097347,56,Back,5746097355,213,0.93,5746097351,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172709,5,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,34.6,51.3,2025-05-24T13:03:13.562Z,2025-05-24T13:03:14Z,637840asun7f3wo16c5zkhi50,M. Haidara,,,5746097433,141,44.2,5746097437,213,4.76,5746097431,140,34.8,5746097429,56,Back,5746097435,212,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172725,6,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,34.8,44.2,2025-05-24T13:03:14.138Z,2025-05-24T13:03:16Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5746097513,140,31.0,5746097517,212,9.3,5746097511,56,Back,5746097519,213,4.27,5746097515,141,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172741,7,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,1,31.0,31.8,2025-05-24T13:03:16.170Z,2025-05-24T13:03:18Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5746097605,56,Back,5746097609,141,58.2,5746097611,212,18.2,5746097607,140,28.4,5746097613,213,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818172779,8,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,1,28.4,59.7,2025-05-24T13:03:18.010Z,2025-05-24T13:03:22Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5746097849,56,Back,5746097857,213,4.86,5746097851,140,31.5,5746097853,141,26.5,5746097855,212,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
