id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2792069483,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-28T17:08:00.886Z,2025-03-28T18:00:09Z,,,,,5602287027,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, 8mkrj5bnkyhx8kutc4656cy96, 2k8bmlxzt0qi7divtxye0a5ii, 7yst1mucy7jynmpzu1thox2i, hpzxgnwobdttfgd04dykf26t, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, 5lz41celw55rz3zh8pohclw5w, bm3k1knugkwa8z319dscr2yhg, 1arzd8hqj73byhduozscqz5uy, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 2s4umgp3yqnb2hubfoaxhwr2s, 5vrsflxiv2dgfa8199a2qxsve, 5521epytthhw9afm2r3jn3384, 697f50qoetodmfe8ybcuey2ac, ezi8426ran0bffeyfvloc2ihg",5602287037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602287035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602300817,194,1arzd8hqj73byhduozscqz5uy,5602287029,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5602287031,59,"1, 20, 6, 23, 4, 2, 17, 8, 10, 26, 11, 14, 16, 21, 22, 25, 27, 28, 33, 37",5602287033,130,5,5602391209,197,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792069843,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-28T17:08:53.311Z,2025-03-28T18:05:59Z,,,,,5602289005,130,4,5602289007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602387785,197,27222,5602289009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602288999,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, b6q0tf252xvikt39g8jevju38, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, dacr7r8nr09ke3o8dhqmdrklw, xyt0wq20toh97811t65vu4no, 95nyhb9eanuobgbkdccyrwob8, ehjqrbqo7ewbztia7k2mrzx90, a89m6039yb2c4g4rf6xs8zggk",5602289003,59,"1, 18, 30, 13, 24, 55, 37, 12, 11, 7, 27, 8, 14, 16, 17, 26, 32, 33, 31, 34",5602289001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5602301461,194,5f3wfx327z9hef9k9l37c90wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091551,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-28T18:03:54.735Z,2025-03-28T21:06:30Z,,,,,5602402507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091537,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-28T18:03:54.735Z,2025-03-28T18:03:54Z,,,,,5602402455,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091587,3,1,1,0,1,cftj6g399tknheudaxsdpfdgb,1,50.3,50.0,2025-03-28T18:03:55.736Z,2025-03-28T21:06:48Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5602402689,212,23.2,5602402697,279,S,5602402693,213,2.70,5602402683,56,Back,5602402685,140,30.3,5602402687,141,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091653,4,1,1,0,2,cftj6g399tknheudaxsdpfdgb,1,30.3,64.6,2025-03-28T18:03:57.360Z,2025-03-28T18:04:03Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5602403063,157,,5602403075,1,,5602403071,212,63.0,5602403069,141,12.5,5602403073,213,5.69,5602403065,56,Right,5602403067,140,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091665,5,1,1,0,6,cftj6g399tknheudaxsdpfdgb,0,79.9,12.5,2025-03-28T18:04:01.376Z,2025-03-28T21:11:06Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5602403137,140,89.9,5602403145,212,12.1,5602403129,168,,5602403127,3,,5602403149,213,5.77,5602403133,56,Right,5602403141,141,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091719,3,1,1,0,8,36g6ifzjliec1jqnbtf7yesme,0,26.4,85.5,2025-03-28T18:04:02.965Z,2025-03-28T18:04:08Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602403437,213,0.28,5602403435,212,12.5,5602403429,56,Back,5602403427,157,,5602403439,1,,5602403433,141,90.6,5602403431,140,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091709,6,8,1,0,10,cftj6g399tknheudaxsdpfdgb,1,79.3,4.3,2025-03-28T18:04:05.584Z,2025-03-28T21:11:19Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5602403383,56,Right,5603368959,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792091869,4,5,1,0,13,36g6ifzjliec1jqnbtf7yesme,1,25.1,101.8,2025-03-28T18:04:08.055Z,2025-03-28T21:11:20Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,5602404173,347,,5602404191,233,7,5602404171,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
