id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2810120263,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-04T11:03:40.207Z,2025-05-04T11:59:04Z,,,,5701567579,130,4,5701567575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701567573,30,"9lgnm175tw163z53b8bmiu5pm, dacr7r8nr09ke3o8dhqmdrklw, eq7tnnzwq0g9q4eac0o9t9xey, wnin2353js3p5rh4d7e2ymwa, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, c9kn2pfftaimeqknbu9p8neok, 73lwz4he5erpp25zi8crjvztg, 96uzhuuez4q5pgxb566ryk53p, 5f3wfx327z9hef9k9l37c90wl, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, bitixkzgt5p65rlo2bnllcf6x, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5701567583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701748099,194,4n3t1p3zn5yzjv4w0clo3xvjd,5701567577,59,"1, 26, 30, 6, 24, 2, 19, 12, 11, 27, 10, 3, 13, 14, 15, 16, 17, 18, 37, 55",5701567587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701748101,197,11498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810121567,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-04T11:06:01.376Z,2025-05-04T12:01:59Z,,,,5701574597,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701744325,197,6291,5701574587,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701574591,59,"40, 2, 20, 5, 6, 12, 21, 22, 14, 18, 13, 8, 9, 17, 19, 23, 24, 26, 29, 32",5701574593,130,10,5701574595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701741751,194,6ul2nma4j0a7e2li6wyyrpal1,5701574583,30,"52vwj2s29n7wngablotd7pboq, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, cw6s5hf1tytvb98vjuosz9r6d, 6ul2nma4j0a7e2li6wyyrpal1, bpw4cd5vmghjhelb3uxupmqjt, 79b0b6eqck5vn4b3fawxsaok, 6d0lxiep13vdv32bdb0xwyrys, 8gdfn7j6xac9p4jh94hk40jdg, d854rlweyk5wq6d2veyviukq2, b13l1wrb747y9cdc8wqltan6d, 39f0bq9uk4etkf75uzu6qyrmy, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, 4bstdc3zla1sn85ev3bcmw1lg, deyq3zqd0vwc821ngqldxqor9, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155649,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-04T12:00:07.223Z,2025-05-04T16:19:42Z,,,,5701751065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155661,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-05-04T12:00:07.223Z,2025-05-04T12:00:15Z,,,,5701751107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155747,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.0,50.0,2025-05-04T12:00:07.224Z,2025-05-04T12:00:22Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,5701751571,212,19.4,5701751575,279,S,5701751565,56,Back,5701751567,140,31.9,5701751573,213,3.35,5701751569,141,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155773,4,1,1,0,4,cftj6g399tknheudaxsdpfdgb,1,32.0,45.8,2025-05-04T12:00:11.244Z,2025-05-04T12:02:19Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5701751743,140,65.2,5701751749,213,0.72,5701751751,1,,5701751747,212,46.5,5701751745,141,91.1,5701751739,157,,5701751741,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155803,5,1,1,0,7,cftj6g399tknheudaxsdpfdgb,1,65.2,91.1,2025-05-04T12:00:14.316Z,2025-05-04T12:00:18Z,73lwz4he5erpp25zi8crjvztg,I. Jensen,,5701751891,140,70.9,5701751895,212,7.8,5701751889,56,Left,5701751897,213,5.59,5701751893,141,83.8,5701751885,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155775,3,43,1,0,7,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-04T12:00:15.166Z,2025-05-04T12:00:23Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,5701752053,399,akxcr1xe62dyl5jmh3ataq13o,5701752265,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155807,6,4,1,0,9,cftj6g399tknheudaxsdpfdgb,1,67.3,82.4,2025-05-04T12:00:16.682Z,2025-05-04T12:00:22Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,5701751949,286,,5701751943,56,Left,5701751947,265,,5701751945,152,,5701751977,233,4,5701751941,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155779,4,4,1,0,9,anga7587r1zv4ey71ge9zxol3,0,32.7,17.6,2025-05-04T12:00:16.683Z,2025-05-04T12:00:22Z,8822s8ns7oyvjqade4oaxzg0l,O. Buur,,5701751877,152,,5701751881,285,,5701751879,265,,5701751873,13,,5701752011,233,6,5701751875,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
