id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2789302389,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-16T15:15:04.095Z,2025-03-16T15:58:21Z,,,,,5586952071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586952067,59,"1, 27, 44, 6, 3, 4, 11, 28, 26, 18, 17, 7, 14, 15, 16, 20, 23, 25, 30, 90",5587185783,197,4650,5587185781,194,8cox96ikk1k4c24f0y5ef45x,5586952069,130,8,5586952065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586952063,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, d1j2a0az2datf1l2efdzne7vu, 2mawaijd9czgtd5jh9myk434l, 54ipja7wrxji6kn8yw5uhr6ga, 3aoh34sqan7y34c2qa1d6xkyy, 8domjmewnw5h6b19vef8w0afp, 1329qhvvxpp6j4q5esh4n3hii, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, bz76p441ynj57eytvsz9kmtck, 1u9dgzqu8rgald39n13g1wy6s, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5586952073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789302437,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-16T15:15:06.859Z,2025-03-16T16:18:15Z,,,,,5586952383,130,4,5586952377,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, 1sdsqfn743j5tqem8ra7sppn8, djlyi0ad4x1p0k4thn8n0axw4, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, bcscjb9jdgu4ims9n3vwuj5k9, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g",5586952381,59,"16, 43, 55, 80, 4, 22, 19, 24, 7, 11, 58, 1, 3, 6, 14, 18, 20, 21, 29, 41",5586952385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587185457,194,a87w6l9zsbahdi4knm1347zs9,5586952379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5587310775,197,4600,5586952387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346643,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-16T16:00:10.131Z,2025-03-16T16:00:12Z,,,,,5587193173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346639,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-16T16:00:10.131Z,2025-03-16T21:01:18Z,,,,,5587193165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346683,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,50.0,50.0,2025-03-16T16:00:10.132Z,2025-03-16T16:00:13Z,4zrsiizdbzwwkmit3ta0f0dbe,A. Şimşir,,,5587193381,279,S,5587193377,212,19.2,5587193371,56,Back,5587193379,213,3.03,5587193375,141,53.1,5587193373,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346727,4,1,1,0,3,59as3grjvj19voay31j3yfgni,0,32.0,50.4,2025-03-16T16:00:13.426Z,2025-03-16T16:00:16Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5587193627,213,5.71,5587193611,56,Right,5587193619,141,12.9,5587193607,157,,5587193629,1,,5587193623,212,46.8,5587193615,140,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346819,3,1,1,0,5,9w3sjm5ml4sjr2v81oxzdrt8v,0,32.1,73.8,2025-03-16T16:00:15.414Z,2025-03-16T21:05:21Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5587194179,213,0.15,5587194173,140,46.1,5587194169,3,,5587194171,56,Back,5587194175,141,77.0,5587194177,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346801,5,1,1,0,8,59as3grjvj19voay31j3yfgni,1,42.1,9.5,2025-03-16T16:00:18.913Z,2025-03-16T16:00:21Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5587194035,212,15.3,5587194029,56,Right,5587194037,213,0.27,5587194033,141,15.5,5587194027,3,,5587194031,140,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346811,6,1,1,0,11,59as3grjvj19voay31j3yfgni,1,56.1,15.5,2025-03-16T16:00:21.329Z,2025-03-16T16:00:22Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5587194125,141,5.5,5587194129,213,5.29,5587194123,140,60.3,5587194121,56,Right,5587194127,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346831,7,1,1,0,12,59as3grjvj19voay31j3yfgni,1,60.3,5.5,2025-03-16T16:00:22.497Z,2025-03-16T16:00:23Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5587194239,212,8.2,5587194233,56,Right,5587194235,140,62.5,5587194237,141,17.1,5587194241,213,1.29,5587194231,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
