id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2736284939,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-20T11:19:02.770Z,2024-10-20T11:58:23Z,,,,5298251941,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, auk14ut8cwaqop549u2zmfgt1, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, akxcr1xe62dyl5jmh3ataq13o, 9o10vhew3jar8tqnkabw0qoyx, acp1ba2irpv5wfmxke7ucmaga, eq7tnnzwq0g9q4eac0o9t9xey, xyt0wq20toh97811t65vu4no, bp2ellllifbtxgf0p8qlbm1nt",5298251949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298418009,197,19904,5298251943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5298251945,59,"16, 18, 24, 13, 4, 2, 12, 28, 14, 17, 10, 1, 6, 8, 11, 19, 23, 30, 32, 55",5298251951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298251947,130,4,5298418007,194,5f3wfx327z9hef9k9l37c90wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736285415,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-20T11:19:44.642Z,2024-10-20T13:00:19Z,,,,5298254437,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, 6ul2nma4j0a7e2li6wyyrpal1, 2wwpfsducpmryacr17y8k70iy, bpw4cd5vmghjhelb3uxupmqjt, 6d0lxiep13vdv32bdb0xwyrys, 58o5ram4bf58357786j9jr7kk, 9pnirb3qt48zeui3su8cvu1ka, d854rlweyk5wq6d2veyviukq2, 5q5ph311bi310zt1e45u7i7dh, b13l1wrb747y9cdc8wqltan6d, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 79b0b6eqck5vn4b3fawxsaok, c36ffo382u9flu5foebt4di39, deyq3zqd0vwc821ngqldxqor9, 5733iw16239m83syv5dm8huj9, h7epk76hlpd9fi38jzyu7ac4",5298254443,130,12,5298254445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298254441,59,"32, 7, 20, 5, 12, 4, 21, 14, 15, 17, 13, 6, 8, 9, 11, 22, 23, 26, 30, 40",5298415961,194,d854rlweyk5wq6d2veyviukq2,5298254447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5298415963,197,6291,5298254439,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319807,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-20T12:01:23.153Z,2024-10-20T12:01:23Z,,,,5298430559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319813,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-10-20T12:01:23.153Z,2024-10-20T12:01:25Z,,,,5298430595,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319865,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,49.9,50.0,2024-10-20T12:01:23.154Z,2024-10-20T12:01:26Z,5m27f84vvraap8bmfujt1qiok,A. Ementa,,5298430845,56,Back,5298430855,141,48.6,5298430863,279,S,5298430859,212,20.2,5298430851,140,30.7,5298430861,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319951,4,1,1,0,3,cftj6g399tknheudaxsdpfdgb,0,30.5,50.4,2024-10-20T12:01:26.324Z,2024-10-20T12:01:31Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,5298431299,140,65.7,5298431307,1,,5298431295,155,,5298431301,141,85.7,5298431305,213,0.58,5298431303,212,44.1,5298431297,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319943,3,44,1,0,7,anga7587r1zv4ey71ge9zxol3,1,32.4,12.2,2024-10-20T12:01:30.663Z,2024-10-20T12:48:37Z,2wwpfsducpmryacr17y8k70iy,B. Rolland,,5298431369,233,5,5298431267,56,Back,5298431269,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319955,5,44,1,0,7,cftj6g399tknheudaxsdpfdgb,0,67.6,87.8,2024-10-20T12:01:30.664Z,2024-10-20T12:51:53Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,5298431323,56,Left,5298431325,286,,5298431399,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736319973,4,1,1,0,7,anga7587r1zv4ey71ge9zxol3,0,29.7,8.9,2024-10-20T12:01:30.887Z,2024-10-20T12:01:32Z,2wwpfsducpmryacr17y8k70iy,B. Rolland,,5298431439,56,Back,5298431449,213,0.03,5298431441,140,45.0,5298431443,141,9.5,5298431437,3,,5298431445,212,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736320027,6,1,1,0,9,cftj6g399tknheudaxsdpfdgb,0,60.0,88.6,2024-10-20T12:01:32.594Z,2024-10-20T12:08:18Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5298431733,157,,5298431735,56,Center,5298431739,141,72.8,5298431743,213,4.27,5298431737,140,55.2,5298431745,1,,5298431741,212,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
