id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2802137319,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-17T10:58:16.202Z,2025-04-17T12:00:42Z,,,,,5657603203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657603209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657603201,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, 58o5ram4bf58357786j9jr7kk, bpw4cd5vmghjhelb3uxupmqjt, deyq3zqd0vwc821ngqldxqor9, b13l1wrb747y9cdc8wqltan6d, 6d0lxiep13vdv32bdb0xwyrys, cw6s5hf1tytvb98vjuosz9r6d, 39f0bq9uk4etkf75uzu6qyrmy, d854rlweyk5wq6d2veyviukq2, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, 6miatayfy07pf4og7qc7c7pqs, cty7nsrs5yn785m330c2gbwq2, 52vwj2s29n7wngablotd7pboq",5657603211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657603205,59,"32, 2, 20, 22, 12, 5, 15, 21, 26, 8, 14, 6, 9, 13, 17, 19, 23, 27, 29, 40",5657643727,197,6291,5657645841,194,6ul2nma4j0a7e2li6wyyrpal1,5657603207,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802137543,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-17T11:00:45.632Z,2025-04-17T12:12:16Z,,,,,5657604577,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 33sxiwcjeqcop3ukuok86ujmd, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, adg5dfvzxjrzlz1n2jsfeyx3o, 3361cs2j60yxzy9mir80byqc5, 7foqorbwhgqjghtxa2nax6kgk, 5x8064b3yr7txk0czddfjtffu, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 1902oagnhlo7x9xpumxvg1t78, 828b7y3phhpb62srvtrjhtgk4, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, 6gh4z3yubnpypzoakjom1rj3e, 7sbdudf1vycn8hinw0giakpyi, 637840asun7f3wo16c5zkhi50",5657604585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657604581,59,"16, 20, 5, 26, 12, 4, 25, 22, 11, 7, 24, 1, 2, 8, 9, 10, 15, 17, 23, 31",5657604583,130,8,5657604587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657643921,194,33sxiwcjeqcop3ukuok86ujmd,5657643923,197,23448,5657604579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144787,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-17T12:02:07.802Z,2025-04-17T12:02:09Z,,,,,5657646865,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144781,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-17T12:02:07.802Z,2025-04-17T15:17:48Z,,,,,5657646843,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144793,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,49.9,50.0,2025-04-17T12:02:07.941Z,2025-04-17T12:02:11Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5657646909,213,2.82,5657646903,140,30.6,5657646911,279,S,5657646901,56,Back,5657646905,141,59.9,5657646907,212,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144799,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,29.9,56.9,2025-04-17T12:02:11.313Z,2025-04-17T12:56:54Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5657646951,1,,5657646947,212,42.9,5657646949,213,5.86,5657646943,140,67.2,5657646939,157,,5657646945,141,31.2,5657646941,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144805,3,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,0,29.9,71.2,2025-04-17T12:02:14.126Z,2025-04-17T12:02:15Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5657646989,213,0.02,5657646983,140,46.3,5657646981,56,Back,5657646985,141,71.7,5657646979,3,,5657646987,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144813,5,1,1,0,8,anga7587r1zv4ey71ge9zxol3,0,52.6,26.4,2025-04-17T12:02:16.633Z,2025-04-17T12:56:55Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5657647025,3,,5657647027,56,Right,5657647031,141,0.0,5657647035,213,5.62,5657647033,212,30.3,5657647029,140,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144819,4,5,1,0,11,aljua8crr0vkwit0j3m59jw9j,1,23.0,101.2,2025-04-17T12:02:18.987Z,2025-04-17T12:02:24Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5657647067,347,,5657647065,56,Back,5657647071,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144815,6,5,1,0,11,anga7587r1zv4ey71ge9zxol3,0,77.0,-1.2,2025-04-17T12:02:18.987Z,2025-04-17T12:09:06Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5657647039,56,Right,5657647041,347,,5657647079,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144845,5,1,1,0,22,aljua8crr0vkwit0j3m59jw9j,0,23.5,100.0,2025-04-17T12:02:30.510Z,2025-04-17T12:02:33Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5657647225,213,6.06,5657647217,56,Left,5657647221,141,86.3,5657647223,212,46.1,5657647227,1,,5657647215,107,,5657647219,140,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
