id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,qualifier/15/value,qualifier/18/value,qualifier/19/value,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2716276373,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-09-01T13:07:05.098Z,2024-09-01T13:58:05Z,,,,,5188777075,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5188777073,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, 5r1v2w303bvj0vv1893qr5d5h, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 7h39w16zvj1lbfb0rqr7kvt1x, 9pv2ame21kaydllf78eo1nqc4, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5188777095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5189041025,197,6293,5188777091,194,b2492j7qzdo7g3ysxz6gq4g5x,5188777083,130,9,5188777087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5188777079,59,"1, 5, 2, 14, 3, 4, 33, 20, 23, 8, 10, 7, 9, 11, 19, 24, 30, 36, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716277785,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-01T13:08:22.947Z,2024-09-01T18:15:00Z,,,,,5188785329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188785333,194,a87w6l9zsbahdi4knm1347zs9,5188785335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188785311,30,"7yim2aepctujr2m4p20a97755, bidudbkachfl6126lhlr254wk, 8yfw9f74h0yfz51bkxxc8p39x, drlp4xtkta08jiu0px6m4ocq2, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, arhoud4vfjvmjaf2pkbm6s48a, bcscjb9jdgu4ims9n3vwuj5k9, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 5cjx2i2perp5vr62en4cyer1m, elhmf9cc26ec5p1wnwonuxf4l, bwfg9frq2ecbzg7wlzqjtnv2s, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, 10esz9pvzonegry7p78n3ce09, e64kcio0848bpw39eedbjyd5g",5188785317,59,"16, 13, 6, 24, 4, 22, 11, 5, 14, 7, 58, 1, 3, 17, 18, 19, 20, 21, 25, 41",5188785313,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5189038405,197,24437,5188785323,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326683,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-01T14:00:13.809Z,2024-09-01T14:00:16Z,,,,,5189047227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326673,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-09-01T14:00:13.809Z,2024-09-01T17:19:56Z,,,,,5189047177,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326703,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.8,50.1,2024-09-01T14:00:13.810Z,2024-09-01T16:18:33Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5189047359,140,48.2,5189047367,279,S,5189047357,56,Back,5189047361,141,46.3,5189047365,213,4.14,5189047363,212,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326725,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,48.2,46.3,2024-09-01T14:00:15.986Z,2024-09-01T14:00:18Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5189047493,213,4.02,5189047491,212,11.9,5189047483,56,Back,5189047485,140,41.0,5189047487,141,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326767,5,1,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,1,41.0,32.8,2024-09-01T14:00:18.035Z,2024-09-01T14:00:22Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5189047759,56,Right,5189047763,141,2.6,5189047765,212,27.1,5189047761,140,57.8,5189047767,213,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326791,6,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,57.7,2.9,2024-09-01T14:00:22.819Z,2024-09-01T14:00:24Z,55u45p7vwom7civ3xy3hdf71m,O. Sonne,,,5189047885,56,Back,5189047895,212,30.0,5189047893,141,12.8,5189047897,213,2.91,5189047889,140,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326833,7,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,1,25.6,14.7,2024-09-01T14:00:24.322Z,2024-09-01T14:00:27Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5189048113,141,47.5,5189048115,212,25.2,5189048111,140,14.5,5189048117,213,2.05,5189048109,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716326887,8,1,1,0,14,ahnt9ejgwj58ul8auzdvi3czf,1,12.5,52.1,2024-09-01T14:00:28.451Z,2024-09-01T14:00:32Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5189048281,140,21.5,5189048279,56,Back,5189048287,213,1.06,5189048283,141,77.0,5189048285,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
