id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2781672157,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-28T16:52:56.585Z,2025-02-28T18:05:50Z,,,,,5545284959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5545284969,197,4650,5545284957,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, 54ipja7wrxji6kn8yw5uhr6ga, 606hufq6dapf3qxcgilbc8tt5, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, bz76p441ynj57eytvsz9kmtck, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5545284967,194,8cox96ikk1k4c24f0y5ef45x,5545284961,59,"1, 27, 44, 28, 3, 4, 17, 6, 7, 26, 9, 14, 15, 16, 18, 20, 24, 25, 30, 90",5545284963,130,2,5545284965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545284971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781672361,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-28T16:54:55.857Z,2025-02-28T18:00:23Z,,,,,5545286497,194,3sadup8mjwu4dc96wz6lmixn9,5545286491,59,"1, 2, 11, 27, 5, 3, 8, 10, 9, 31, 6, 7, 14, 15, 16, 19, 22, 23, 29, 40",5545286499,197,26266,5545286487,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 654obqy73ov2t5800r2woo6w9, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 7je01bs3a4q6c2gd02ee6da3u, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 43q9ytkbmtk5y3tgv77v7pmg9, 8xrco8qhcvplvc3wmcschoi22, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, cgkvw4q8ddcjl0po181upzwx6, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 3l3v5wj4c7vtqqwu05b526590",5545286501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545286493,130,12,5545286495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545286489,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692097,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-28T18:01:19.339Z,2025-02-28T18:01:19Z,,,,,5545394045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692101,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-02-28T18:01:19.339Z,2025-02-28T20:55:23Z,,,,,5545394047,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692117,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.6,50.0,2025-02-28T18:01:19.340Z,2025-02-28T18:01:23Z,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,5545394097,140,27.3,5545394099,141,45.1,5545394101,212,24.7,5545394105,279,S,5545394103,213,3.28,5545394095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692123,4,1,1,0,4,5rz9enoyknpg8ji78za5b82p0,0,28.6,44.9,2025-02-28T18:01:23.566Z,2025-02-28T18:01:26Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5545394163,141,17.1,5545394165,212,51.6,5545394161,140,74.3,5545394167,213,5.91,5545394157,157,,5545394169,1,,5545394159,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692127,3,1,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,28.3,86.3,2025-02-28T18:01:25.784Z,2025-02-28T18:01:39Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5545394183,3,,5545394189,141,73.6,5545394185,56,Back,5545394193,213,5.85,5545394191,212,20.7,5545394187,140,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692155,5,1,1,0,11,5rz9enoyknpg8ji78za5b82p0,1,59.6,21.3,2025-02-28T18:01:30.542Z,2025-02-28T18:01:40Z,e9lrzsiy94y46h62rnawi3sgl,H. Dalsgaard,,,5545394373,56,Center,5545394375,140,70.5,5545394383,1,,5545394381,213,0.19,5545394377,141,24.6,5545394371,157,,5545394379,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692157,6,61,1,0,12,5rz9enoyknpg8ji78za5b82p0,0,70.5,24.6,2025-02-28T18:01:32.013Z,2025-02-28T18:06:07Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5545394387,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781692163,4,1,1,0,12,9w3sjm5ml4sjr2v81oxzdrt8v,0,20.9,73.5,2025-02-28T18:01:32.071Z,2025-02-28T18:01:32Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5545394399,56,Back,5545394405,212,7.8,5545394403,141,81.2,5545394397,3,,5545394401,140,26.4,5545394407,213,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
