id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2740174821,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-27T16:11:58.316Z,2024-10-27T17:28:19Z,,,,5319527175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5319527165,30,"1h31bvtbae4q0edlp0u672hn9, 3gemcjqban843su9c9y5l2sk4, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 7je01bs3a4q6c2gd02ee6da3u, 10lj2qekb1e4c8ful68b1pazt, 9trvbmdwo8fkndwjz9mr1bfmx, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0",5319827237,194,3sadup8mjwu4dc96wz6lmixn9,5319826397,197,14750,5319527173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5319527167,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5319527169,59,"1, 26, 11, 19, 5, 3, 8, 7, 9, 31, 10, 4, 13, 15, 16, 18, 20, 23, 29, 33",5319527171,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740177147,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-27T16:13:39.973Z,2024-10-27T17:00:19Z,,,,5319540211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5319845079,194,a87w6l9zsbahdi4knm1347zs9,5319844493,197,4600,5319540205,59,"16, 43, 15, 24, 4, 22, 11, 5, 25, 18, 41, 1, 3, 6, 7, 17, 20, 21, 55, 73",5319540199,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mcb1hiuk9rzf48cx3vj5i3th, drlp4xtkta08jiu0px6m4ocq2, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, arhoud4vfjvmjaf2pkbm6s48a, 10esz9pvzonegry7p78n3ce09, elhmf9cc26ec5p1wnwonuxf4l, e64kcio0848bpw39eedbjyd5g, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, 1sdsqfn743j5tqem8ra7sppn8, 5cjx2i2perp5vr62en4cyer1m, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, 8mn8apr6n7t7s6lx4d4vvdnca, 4fhpb0b8muboggvquj2pvsiqx",5319540203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5319540207,130,2,5319540209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233611,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-27T17:01:29.694Z,2024-10-27T17:01:30Z,,,,5319850033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233617,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-27T17:01:29.694Z,2024-10-27T17:01:32Z,,,,5319850083,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233653,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.0,50.0,2024-10-27T17:01:29.695Z,2024-10-27T17:09:56Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5319850243,141,47.6,5319850241,140,49.3,5319850249,279,S,5319850247,213,4.29,5319850239,56,Back,5319850245,212,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233681,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,0,47.9,46.6,2024-10-27T17:01:33.484Z,2024-10-27T17:01:41Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5319850385,1,,5319850383,213,0.87,5319850381,212,49.1,5319850373,157,,5319850377,140,78.1,5319850379,141,100.0,5319850375,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233761,3,56,1,0,6,59as3grjvj19voay31j3yfgni,1,25.6,8.0,2024-10-27T17:01:36.464Z,2024-10-27T17:57:35Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,5319850789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740234001,4,5,1,0,6,59as3grjvj19voay31j3yfgni,1,20.9,-0.6000000000000001,2024-10-27T17:01:36.681Z,2024-10-27T19:03:16Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,5319852087,56,Back,5319852089,347,,5319852103,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740233709,5,5,1,0,6,5rz9enoyknpg8ji78za5b82p0,0,79.1,100.6,2024-10-27T17:01:36.681Z,2024-10-27T17:24:48Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5319850551,347,,5319852127,233,4,5319850549,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740234111,5,1,1,0,25,59as3grjvj19voay31j3yfgni,1,24.8,0.0,2024-10-27T17:01:55.111Z,2024-10-27T17:02:01Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,5319852661,213,0.25,5319852659,212,15.9,5319852655,140,39.5,5319852657,141,4.3,5319852653,56,Back,5319852651,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740234113,6,43,1,0,29,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-10-27T17:01:59.193Z,2024-10-27T17:03:47Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,5319852689,233,6,5319852667,285,0,5319852665,56,Back,5319860305,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740234077,6,43,1,0,29,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-10-27T17:01:59.194Z,2024-10-27T17:04:11Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5319852429,56,Left,5319852433,286,0,5319862077,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
