id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/12/value,qualifier/16/value,qualifier/18/value
2799094087,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-11T16:11:33.669Z,2025-04-11T17:07:01Z,,,,,5640919763,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5640919775,197,1731,5640919765,59,"1, 20, 14, 16, 4, 13, 23, 26, 11, 27, 21, 5, 6, 9, 10, 17, 24, 28, 33, 40",5640919771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640919761,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 2k8bmlxzt0qi7divtxye0a5ii, bm3k1knugkwa8z319dscr2yhg, 1arzd8hqj73byhduozscqz5uy, 5vrsflxiv2dgfa8199a2qxsve, ejixz16616b7krftxyzv9yiac, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, rv6r0bwbl75er38wklyfpsr9, 5lz41celw55rz3zh8pohclw5w, 8bi1tlz62rjwyak4pnnzgp562, brinkgys7026490q3ixx6h9uc, 5521epytthhw9afm2r3jn3384, 697f50qoetodmfe8ybcuey2ac, 3tka46re2gsi9uw7pbxx5m0pg",5641039667,194,1arzd8hqj73byhduozscqz5uy,5640919767,130,2,5640919777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799099081,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-11T16:20:17.379Z,2025-04-11T17:14:19Z,,,,,5640949221,130,7,5640949227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640949225,197,6292,5641070163,194,b13l1wrb747y9cdc8wqltan6d,5640949215,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, cw6s5hf1tytvb98vjuosz9r6d, 5is9bcj143orulo4biogwxzl6, 58o5ram4bf58357786j9jr7kk, bpw4cd5vmghjhelb3uxupmqjt, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, 6d0lxiep13vdv32bdb0xwyrys, 2wwpfsducpmryacr17y8k70iy, 6ul2nma4j0a7e2li6wyyrpal1, d854rlweyk5wq6d2veyviukq2, 9pnirb3qt48zeui3su8cvu1ka, 8ynqwlysks0dvn46ja7zq5vit, deyq3zqd0vwc821ngqldxqor9, cty7nsrs5yn785m330c2gbwq2, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",5640949219,59,"32, 2, 20, 22, 6, 5, 15, 21, 18, 8, 14, 4, 12, 13, 17, 23, 26, 29, 30, 40",5640949223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640949217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124121,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-11T17:01:13.239Z,2025-04-11T17:01:14Z,,,,,5641086025,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124115,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-11T17:01:13.239Z,2025-04-11T20:52:47Z,,,,,5641085975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124159,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,49.9,50.1,2025-04-11T17:01:13.240Z,2025-04-11T17:01:17Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5641086219,56,Back,5641086223,141,58.2,5641086227,213,2.80,5641086221,140,35.1,5641086229,279,S,5641086225,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124165,4,1,1,0,4,anga7587r1zv4ey71ge9zxol3,0,35.2,56.0,2025-04-11T17:01:17.780Z,2025-04-11T17:02:10Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5641086267,212,44.5,5641086271,1,,5641086259,157,,5641086261,56,Center,5641086265,141,25.1,5641086269,213,5.79,5641086263,140,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124175,3,1,1,0,7,36g6ifzjliec1jqnbtf7yesme,0,29.9,72.3,2025-04-11T17:01:20.733Z,2025-04-11T17:01:21Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5641086327,212,2.9,5641086321,56,Back,5641086329,213,0.54,5641086325,141,74.5,5641086319,3,,5641086323,140,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124183,5,44,1,0,8,anga7587r1zv4ey71ge9zxol3,1,67.8,25.3,2025-04-11T17:01:21.604Z,2025-04-11T17:42:24Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5641086381,56,Center,5641086383,286,,5641086483,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124203,4,44,1,0,8,36g6ifzjliec1jqnbtf7yesme,0,32.2,74.7,2025-04-11T17:01:21.605Z,2025-04-11T17:42:24Z,ejixz16616b7krftxyzv9yiac,M. Bomholt,,,5641086471,285,,5641086489,233,5,5641086467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124201,6,1,1,0,8,anga7587r1zv4ey71ge9zxol3,0,67.7,25.0,2025-04-11T17:01:21.956Z,2025-04-11T17:01:22Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5641086459,212,5.6,5641086461,213,0.27,5641086455,140,72.8,5641086451,3,,5641086457,141,27.2,5641086453,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
