id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/15/value
2793644177,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-30T13:35:12.869Z,2025-03-30T14:01:42Z,,,,5610882837,197,21749,5610726387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610726385,130,12,5610726389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610882835,194,3sadup8mjwu4dc96wz6lmixn9,5610726381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610726383,59,"1, 2, 11, 19, 5, 14, 29, 7, 9, 31, 6, 3, 15, 16, 20, 22, 23, 39, 40, 60",5610726379,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, ca1b5707pdpx0ucug40ggnahh, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, e9lrzsiy94y46h62rnawi3sgl, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5qvy65ckiigykkowpyco05zv9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590, 26wmniyab5c3n946w2ezh37kk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793653861,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-30T13:41:32.878Z,2025-03-30T13:58:53Z,,,,5610779887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5610891717,197,4597,5610779891,59,"38, 2, 25, 6, 3, 24, 36, 8, 21, 10, 29, 12, 13, 18, 20, 30, 34, 45, 40",5610779907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610891715,194,5uqf7a0y0fd1hf2rrmgx11tuy,5610779897,130,4,5610779885,30,"9h6c9ue598hllcri39erjitqs, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 6rd6a2f1k124dzp1p904yq3h0, 5uqf7a0y0fd1hf2rrmgx11tuy, ayistjficdvpd0v10681qf578, 9qebp1745dtdjh5kg5n4wfq7e, 49wkw0wkn4ta18b6657vjvglx, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, e457dpvb3s2dna0yivjrmhudw, c1s6vw84nupd8c0mbj8gov5lg, apspqh3shqfwobvh35x60q5g4, 8dqghahifyr8tjcndw9pip3x0",5610779903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675177,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-30T14:00:38.185Z,2025-03-30T14:00:41Z,,,,5610899029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675171,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-30T14:00:38.185Z,2025-03-30T18:43:48Z,,,,5610899001,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675229,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.0,49.9,2025-03-30T14:00:38.186Z,2025-03-30T14:10:49Z,ayistjficdvpd0v10681qf578,V. Berthelsen,,5610899333,213,5.37,5610899335,279,S,5610899331,212,1.7,5610899329,141,47.9,5610899325,140,51.0,5610899321,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675247,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,52.6,47.9,2025-03-30T14:00:41.272Z,2025-03-30T14:12:29Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,5610899417,213,4.16,5610899415,212,18.7,5610899409,56,Back,5610899411,140,43.3,5610899413,141,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675271,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,45.8,33.1,2025-03-30T14:00:43.455Z,2025-03-30T14:00:44Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5610899523,140,28.9,5610899521,56,Back,5610899525,141,42.7,5610899529,213,2.79,5610899527,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675293,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,28.7,42.5,2025-03-30T14:00:44.688Z,2025-03-30T14:00:46Z,chjcbjc5nv8uyiusfafts5zv9,T. Salquist,,5610899603,140,35.0,5610899601,56,Back,5610899609,213,1.16,5610899605,141,64.8,5610899607,212,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675339,7,1,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,0,38.2,64.6,2025-03-30T14:00:46.304Z,2025-03-30T14:00:49Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5610899867,1,,5610899851,157,,5610899855,56,Center,5610899857,140,77.3,5610899863,212,49.4,5610899861,141,24.1,5610899865,213,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793675441,3,1,1,0,12,5rz9enoyknpg8ji78za5b82p0,0,24.5,75.1,2025-03-30T14:00:50.809Z,2025-03-30T14:01:03Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5610900465,213,6.04,5610900459,140,53.8,5610900829,1,,5610900461,141,63.7,5610900463,212,31.7,5610900827,157,,5610900457,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
