id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value
2753983607,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-12-01T11:55:56.028Z,2024-12-01T12:58:46Z,,,,,5394845227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394845223,130,4,5394845225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394845221,59,"16, 18, 23, 13, 4, 2, 12, 28, 11, 8, 10, 1, 6, 7, 14, 17, 21, 30, 37, 55",5394845217,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, acp1ba2irpv5wfmxke7ucmaga, 5f3wfx327z9hef9k9l37c90wl, auk14ut8cwaqop549u2zmfgt1, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 7w7ufa4v85hmj1qxnmqc4zgiy, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, wnin2353js3p5rh4d7e2ymwa, 195o7hchielt14ic49r3k06sq, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 8ngloyr6r0m71p8kgpfe69bvu, eq7tnnzwq0g9q4eac0o9t9xey, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5394845219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5394988467,197,19904,5394854689,194,5f3wfx327z9hef9k9l37c90wl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753984149,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-12-01T11:58:09Z,2024-12-01T12:59:31Z,,,,,5394990049,197,23959,5394848251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5394848249,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, 6w9yjs87tue7noq71ftksxez8, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, ag40mk09zc8tzbkr7dnnqumay, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5394855417,194,8cox96ikk1k4c24f0y5ef45x,5394848259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394848257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394848253,59,"1, 27, 44, 6, 3, 4, 17, 28, 7, 19, 9, 5, 10, 14, 15, 16, 24, 25, 30, 90",5394848255,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011777,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-12-01T13:01:33.243Z,2024-12-01T17:49:34Z,,,,,5394994697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011773,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-12-01T13:01:33.243Z,2024-12-01T13:01:33Z,,,,,5394994683,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011813,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2024-12-01T13:01:33.244Z,2024-12-01T13:01:37Z,6w9yjs87tue7noq71ftksxez8,T. Bany,,,5394994839,141,42.0,5394994837,140,39.4,5394994841,212,12.4,5394994835,56,Back,5394994843,213,3.60,5394994845,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011835,4,1,1,0,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,45.9,37.3,2024-12-01T13:01:37.585Z,2024-12-01T13:01:39Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5394994943,212,19.1,5394994945,213,2.23,5394994937,56,Back,5394994939,140,34.8,5394994941,141,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011855,5,1,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,1,34.6,59.6,2024-12-01T13:01:39.457Z,2024-12-01T13:01:41Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5394995027,213,4.61,5394995023,141,34.6,5394995019,56,Back,5394995021,140,33.0,5394995025,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011865,6,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.4,32.6,2024-12-01T13:01:41.745Z,2024-12-01T13:01:43Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5394995109,141,36.1,5394995105,140,44.6,5394995117,213,0.20,5394995113,212,12.0,5394995101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011885,7,1,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.8,35.8,2024-12-01T13:01:43.025Z,2024-12-01T13:01:44Z,2mawaijd9czgtd5jh9myk434l,A. Rømer,,,5394995197,56,Back,5394995205,212,18.1,5394995203,141,9.5,5394995207,213,4.85,5394995201,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011931,8,1,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,1,47.1,8.9,2024-12-01T13:01:44.609Z,2024-12-01T13:01:49Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5394995477,213,2.40,5394995473,141,28.0,5394995471,140,33.7,5394995469,56,Back,5394995475,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
