id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2775922219,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T17:07:44.129Z,2025-02-14T18:09:49Z,,,,,5513981969,197,19904,5513886413,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5513886411,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, 96uzhuuez4q5pgxb566ryk53p, 9o10vhew3jar8tqnkabw0qoyx, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, 195o7hchielt14ic49r3k06sq, b6q0tf252xvikt39g8jevju38, 5m27f84vvraap8bmfujt1qiok, 5f3wfx327z9hef9k9l37c90wl, 73lwz4he5erpp25zi8crjvztg, 7w7ufa4v85hmj1qxnmqc4zgiy, akxcr1xe62dyl5jmh3ataq13o, vrzye4jqrafujmjw3wakjpxw, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, eq7tnnzwq0g9q4eac0o9t9xey, 95nyhb9eanuobgbkdccyrwob8, bp2ellllifbtxgf0p8qlbm1nt, c9kn2pfftaimeqknbu9p8neok",5513886415,59,"1, 18, 3, 19, 24, 2, 7, 37, 14, 13, 10, 8, 11, 12, 16, 17, 30, 33, 55, 27",5513886421,194,5f3wfx327z9hef9k9l37c90wl,5513886423,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5513886417,130,8,5513886419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775923115,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-14T17:10:43.942Z,2025-02-14T17:55:27Z,,,,,5513890717,130,4,5513890723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5513890721,194,bnar4f48vnx4oaz2lzch48es5,5513890719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5513981903,197,5111,5513890711,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 2tthm6h5o033dz440e476rhbe, etz3rjq7chhaomst5u28nnff9, 506kxojakimt5s0v2c4q6b33e, bnar4f48vnx4oaz2lzch48es5, 2xp7fbcl6a4nua9jpm7b4k1sk, chteizjcvxpvze9p77gcttcoa, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 7z1pv1wezn5rydamnknklv2ay, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, d2itdjj8bx0aztqggfgv7amay, 9auqrrixu34cgkpe8trlkaoh6, 844k9wmnxkk24xsjd4fdb4rca, 56sjqxlsf5iitgww0hogez8ph, aiuhe3d7tyvihiu5ysnp2740k, 5ssy03x358qpvbvlhdg2152qc, caoahimfnw46l1vnpsp6vf9qs",5513890713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5513890715,59,"1, 31, 24, 10, 32, 4, 35, 7, 17, 28, 36, 5, 6, 8, 11, 13, 30, 43, 42, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775942999,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-14T18:03:40.551Z,2025-02-15T04:15:34Z,,,,,5513994037,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775942995,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-14T18:03:40.551Z,2025-02-14T18:03:40Z,,,,,5513994033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943021,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.0,50.0,2025-02-14T18:03:40.552Z,2025-02-14T18:03:44Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5513994125,140,29.6,5513994123,56,Back,5513994131,213,3.11,5513994133,279,S,5513994129,212,21.4,5513994127,141,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943037,4,1,1,0,4,cftj6g399tknheudaxsdpfdgb,0,30.6,55.1,2025-02-14T18:03:44.640Z,2025-02-14T18:03:46Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5513994197,56,Right,5513994199,140,63.3,5513994207,1,,5513994203,212,44.9,5513994201,141,12.5,5513994205,213,5.58,5513994195,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943063,3,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,0,31.0,88.4,2025-02-14T18:03:45.901Z,2025-02-15T04:24:09Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5513994335,141,75.3,5513994331,56,Center,5513994329,3,,5513994333,140,57.1,5513994339,213,5.97,5513994337,212,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943065,5,4,1,0,8,cftj6g399tknheudaxsdpfdgb,1,36.8,23.0,2025-02-14T18:03:48.819Z,2025-02-14T18:04:28Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5513995287,233,4,5513995267,286,,5513995265,152,,5513995261,13,,5513994343,56,Back,5513995263,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943067,4,4,1,0,8,9qsmopgutr7ut5g6workk8w4i,0,63.2,77.0,2025-02-14T18:03:48.820Z,2025-02-14T18:04:29Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5513994499,13,,5513995293,233,5,5513994501,264,,5513994503,152,,5513994347,56,Center,5513994505,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775943085,5,43,1,0,8,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-14T18:03:49.012Z,2025-02-14T18:03:53Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5513994415,140,68.0,5513994411,168,0,5513994413,56,Center,5513994409,3,0,5513994425,144,1,5513994419,212,12.2,5513994417,141,69.0,5513994421,213,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
