id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2786211369,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-09T15:56:16.773Z,2025-03-09T17:07:24Z,,,,,5569992829,59,"16, 20, 22, 6, 12, 5, 7, 8, 10, 15, 25, 1, 2, 9, 11, 13, 23, 24, 26, 31",5569992837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569992833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5570276973,197,23448,5569992825,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 3361cs2j60yxzy9mir80byqc5, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, 33sxiwcjeqcop3ukuok86ujmd, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, 7sbdudf1vycn8hinw0giakpyi, 94560hgwsjkx8qgz48f7gzitw, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50",5569992835,194,5j9d1plbsd5ic01r3ggziutwp,5569992827,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569992831,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786214967,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-09T16:01:52.917Z,2025-03-09T16:01:44Z,,,,,5570011839,130,2,5570011835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5570011843,194,8g4r9maz4invihjmdzpfxy0np,5570011847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5570011841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5570011837,59,"41, 13, 15, 36, 5, 6, 11, 17, 8, 7, 16, 1, 4, 10, 19, 22, 24, 30, 33, 48",5570011833,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, ftw3io63hk5vuoa3lyfgowes, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, c9u2w9ikckbrra8vln2ucbf9w, 8inyievyp1az6q3dtlkpynf56, 8g4r9maz4invihjmdzpfxy0np, bbezbukg20q5b6kfnjuzhs55g, ckhhpn9ppgvlrtubf7li3se09, ajjw1ikceu3g39sy6dsf9kdg4, 6tckvu2rw7ns18dq7dim0sout, 823p7p1amx8lp445bo6bi01lg, 9ic9msq3tj4gx8wqa6wfwk50q, 2ubad2kxha6n1c8c8sr2ogmad, ssluj1c3ft94nkfs58dc8cq2, rq6npjy37kolscu8lrj4r2dx, 40qo5mz95bi0rnv09l13retxw",5570011845,197,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786267815,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-09T17:01:20.640Z,2025-03-09T19:38:25Z,,,,,5570299391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786267785,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-09T17:01:20.640Z,2025-03-09T17:01:22Z,,,,,5570299249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786267941,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.9,49.7,2025-03-09T17:01:21.001Z,2025-03-09T18:07:37Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5570299993,141,33.3,5570299997,212,22.7,5570300007,279,S,5570300001,213,3.66,5570299987,56,Back,5570299991,140,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786267863,3,43,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-09T17:01:16.266Z,2025-03-09T17:01:26Z,,,,,5570299641,277,0,5570300439,144,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786268033,4,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,33.4,38.3,2025-03-09T17:01:24.724Z,2025-03-09T17:01:27Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5570300519,140,30.0,5570300521,141,69.3,5570300525,213,1.74,5570300523,212,21.4,5570300517,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786268043,5,1,1,0,6,aljua8crr0vkwit0j3m59jw9j,0,26.6,65.7,2025-03-09T17:01:27.029Z,2025-03-09T17:01:28Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5570300579,141,81.1,5570300577,140,49.9,5570300583,213,0.40,5570300581,212,26.6,5570300575,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786268073,4,8,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,43.0,7.9,2025-03-09T17:01:29.042Z,2025-03-09T19:44:08Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5571163865,384,,5570300719,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786422849,742,83,1,0,11,aljua8crr0vkwit0j3m59jw9j,1,38.8,91.3,2025-03-09T17:01:32.179Z,2025-03-09T19:44:31Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5571165199,399,aahyom322jdc6f21960ycuzth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
