id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2797183829,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-06T13:11:55.278Z,2025-04-06T14:12:57Z,,,,,5630205231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630205225,59,"1, 23, 38, 34, 13, 14, 2, 5, 45, 37, 17, 3, 7, 8, 10, 11, 18, 24, 29, 59",5630205227,130,4,5630490701,197,12608,5630205221,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1xjhud4hyekcg08nue1iosmsq, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",5630205223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630490699,194,1xjhud4hyekcg08nue1iosmsq,5630205229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797190309,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-06T13:17:17.620Z,2025-04-06T14:03:31Z,,,,,5630240823,130,4,5630240837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630240817,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 3q4tnk1z46lop4rbdpjtfoc2c, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 6v1kpakd3t0jhnoh1eh75ev4k, bm3k1knugkwa8z319dscr2yhg, 5lz41celw55rz3zh8pohclw5w, 2k8bmlxzt0qi7divtxye0a5ii, 1arzd8hqj73byhduozscqz5uy, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, rv6r0bwbl75er38wklyfpsr9, 8bi1tlz62rjwyak4pnnzgp562, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 697f50qoetodmfe8ybcuey2ac, ezi8426ran0bffeyfvloc2ihg",5630240821,59,"1, 20, 14, 8, 4, 13, 16, 26, 10, 23, 11, 2, 5, 9, 17, 21, 22, 27, 33, 37",5630240819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630487771,194,1arzd8hqj73byhduozscqz5uy,5630240831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630493499,197,17331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238107,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-06T14:02:17.778Z,2025-04-06T14:02:17Z,,,,,5630500919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238121,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-06T14:02:17.778Z,2025-04-06T17:03:31Z,,,,,5630500985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238153,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,49.6,49.8,2025-04-06T14:02:17.779Z,2025-04-06T14:02:22Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5630501229,140,33.7,5630501237,279,S,5630501235,213,2.89,5630501233,212,17.2,5630501227,56,Back,5630501231,141,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238177,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,28.5,62.0,2025-04-06T14:02:21.209Z,2025-04-06T17:12:11Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5630501373,140,70.5,5630501379,213,5.97,5630501371,56,Center,5630501377,212,46.3,5630501381,1,,5630501367,157,,5630501375,141,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238223,4,12,1,0,6,c165yjiny1qnmfdvefxvflnkc,1,25.9,63.0,2025-04-06T14:02:24.316Z,2025-04-06T17:12:16Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5630501621,15,,5630501555,212,13.8,5630501557,213,0.33,5630501551,140,38.3,5630501549,56,Back,5630501553,141,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238237,5,1,1,0,9,36g6ifzjliec1jqnbtf7yesme,0,60.7,40.5,2025-04-06T14:02:26.858Z,2025-04-06T14:02:28Z,bm3k1knugkwa8z319dscr2yhg,T. Hernes,,,5630501651,212,19.2,5630501649,141,40.7,5630501647,140,79.0,5630501643,157,,5630501655,1,,5630501653,213,0.01,5630501645,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238261,5,1,1,0,11,c165yjiny1qnmfdvefxvflnkc,1,30.0,72.1,2025-04-06T14:02:29.269Z,2025-04-06T17:12:48Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5630501765,213,1.74,5630501759,140,28.6,5630501761,141,84.8,5630501757,56,Back,5631522329,3,,5630501763,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797238295,6,61,1,0,13,c165yjiny1qnmfdvefxvflnkc,0,20.9,80.2,2025-04-06T14:02:30.908Z,2025-04-06T17:12:40Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5630501953,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
