id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2789304785,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-16T15:17:27.339Z,2025-03-16T18:22:22Z,,,,,5587180443,197,792,5586965643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586965639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586965631,30,"f2ibn3ej2doay3b4u8ezeix62, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, c9u2w9ikckbrra8vln2ucbf9w, 8inyievyp1az6q3dtlkpynf56, 8g4r9maz4invihjmdzpfxy0np, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, 7xc0qldxpidl07vij2wgu1sk5, al9l7egkwbc0pv68zk42gegut, 6b8vhoisrfwkljhz4u7pduej8, bbezbukg20q5b6kfnjuzhs55g, 823p7p1amx8lp445bo6bi01lg, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx, ftw3io63hk5vuoa3lyfgowes",5586965637,130,2,5586965635,59,"41, 22, 15, 27, 5, 6, 11, 17, 8, 7, 30, 1, 2, 12, 13, 16, 19, 24, 33, 36",5586965633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586965641,194,8g4r9maz4invihjmdzpfxy0np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789305485,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-16T15:18:09.894Z,2025-03-16T15:56:34Z,,,,,5586969547,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, dyzzo6n83rg4fpvmqqa69moes, 6d8194j12jdzgqk5uwcemecr8, dacr7r8nr09ke3o8dhqmdrklw, xyt0wq20toh97811t65vu4no, 95nyhb9eanuobgbkdccyrwob8, b6q0tf252xvikt39g8jevju38, dk9nlp77b6q38p751f8w3o8np",5586969559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586969551,59,"1, 18, 30, 13, 24, 55, 19, 12, 11, 7, 27, 8, 14, 15, 17, 26, 32, 33, 37, 16",5586969555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586969549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586969557,194,5f3wfx327z9hef9k9l37c90wl,5586969553,130,4,5587179265,197,19904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346649,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-16T16:00:10.242Z,2025-03-16T16:00:12Z,,,,,5587193183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346641,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-16T16:00:10.242Z,2025-03-16T20:13:03Z,,,,,5587193167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346709,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,49.8,50.0,2025-03-16T16:00:10.243Z,2025-03-16T16:00:15Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5587193521,212,20.0,5587193525,279,S,5587193523,213,2.76,5587193517,140,32.1,5587193515,56,Back,5587193519,141,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346777,4,1,1,0,4,cftj6g399tknheudaxsdpfdgb,1,31.6,59.7,2025-03-16T16:00:15.215Z,2025-03-16T16:00:19Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5587193953,141,9.1,5587193957,213,5.62,5587193955,212,55.9,5587193949,56,Right,5587193959,1,,5587193951,140,73.5,5587193947,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346785,5,61,1,0,7,cftj6g399tknheudaxsdpfdgb,0,73.5,9.1,2025-03-16T16:00:17.856Z,2025-03-16T16:52:11Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5587193981,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346945,3,5,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,30.0,101.6,2025-03-16T16:00:18.267Z,2025-03-16T16:35:37Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5587194817,56,Back,5587194853,233,6,5587194819,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346799,6,5,1,0,8,cftj6g399tknheudaxsdpfdgb,0,70.0,-1.6,2025-03-16T16:00:18.267Z,2025-03-16T16:35:38Z,195o7hchielt14ic49r3k06sq,Serginho,,,5587194861,233,3,5587194025,347,,5587194023,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789346953,4,1,1,0,20,b3r6d8ydtmtjckam6pku9y400,0,28.9,100.0,2025-03-16T16:00:31.210Z,2025-03-16T16:00:33Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5587194891,107,,5587194899,212,16.7,5587194893,56,Back,5587194895,140,42.9,5587194897,141,90.1,5587194901,213,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
