id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2782896715,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-02T11:52:55.962Z,2025-03-02T13:02:27Z,,,,,5551873971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551873961,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 3361cs2j60yxzy9mir80byqc5, 637840asun7f3wo16c5zkhi50, 6rd849oap6uh93wdwjk8590q1, dshwz1df0rbe0fztksawvd0wl, 1902oagnhlo7x9xpumxvg1t78, 5x8064b3yr7txk0czddfjtffu, 828b7y3phhpb62srvtrjhtgk4, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, 33sxiwcjeqcop3ukuok86ujmd, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, 9ki0zmbky1zluxnz63008ozmy, 6gh4z3yubnpypzoakjom1rj3e, 94560hgwsjkx8qgz48f7gzitw, adg5dfvzxjrzlz1n2jsfeyx3o, 5jdkdvxssuc8gvzwwrq5bs76y, 9zx0qi6gbfnvt6wwpkgprhy50",5552123829,197,4602,5551873969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551873967,130,8,5552131281,194,1902oagnhlo7x9xpumxvg1t78,5551873965,59,"16, 20, 22, 31, 12, 2, 8, 7, 9, 10, 15, 5, 11, 13, 14, 17, 24, 25, 26, 27",5551873963,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782897553,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T11:55:02.440Z,2025-03-02T12:59:25Z,,,,,5551878707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5551878705,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, lioz4hr2umpne2bwar18qa96, bb8q9cgqzw9n2tmkl8s3bth0q, 4qo7eu3xwhkpssbuyk4n70fe1, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 349g9rdismqpb1aarjp011bd, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5552128227,194,b2492j7qzdo7g3ysxz6gq4g5x,5551878711,130,4,5551878715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5551878713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5552131703,197,6293,5551878709,59,"1, 3, 2, 6, 25, 40, 20, 33, 23, 21, 10, 4, 7, 8, 9, 17, 30, 36, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948705,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-02T13:00:56.447Z,2025-03-02T13:00:56Z,,,,,5552137165,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948715,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-02T13:00:56.447Z,2025-03-02T16:36:14Z,,,,,5552137199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948773,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,50.0,50.0,2025-03-02T13:00:56.448Z,2025-03-02T14:07:24Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5552137527,56,Center,5552137535,213,0.60,5552137533,212,2.3,5552137539,279,S,5552137531,141,51.9,5552137529,140,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948833,4,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,52.6,41.2,2025-03-02T13:01:00.446Z,2025-03-02T16:36:43Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5552137827,140,59.1,5552137833,213,4.99,5552137825,56,Right,5552137831,212,24.5,5552137829,141,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948859,5,1,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,58.4,4.3,2025-03-02T13:01:04.110Z,2025-03-02T16:37:39Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5552137963,213,2.68,5552137959,141,18.8,5552137957,140,39.7,5552137961,212,22.0,5552137955,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948887,6,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,41.0,23.3,2025-03-02T13:01:05.662Z,2025-03-02T16:37:48Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5552138079,56,Back,5552138081,140,33.9,5552138087,213,1.92,5552138083,141,53.0,5552138085,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948915,7,1,1,0,11,ahnt9ejgwj58ul8auzdvi3czf,1,36.4,51.9,2025-03-02T13:01:07.615Z,2025-03-02T13:01:08Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5552138207,141,70.7,5552138205,140,40.8,5552138209,212,13.6,5552138203,56,Back,5552138211,213,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782948939,8,1,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,0,41.3,72.4,2025-03-02T13:01:08.703Z,2025-03-02T16:38:00Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5553380509,157,,5552138325,140,67.4,5552138329,141,49.2,5552138321,56,Center,5552138335,213,5.76,5552138333,212,31.6,5553380513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
