id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/16/value
2713944545,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-26T16:10:44.219Z,2024-08-26T17:02:46Z,,,,,5175986523,59,"16, 18, 24, 13, 55, 4, 28, 37, 14, 7, 15, 32, 30, 21, 17, 1, 8, 10, 11, 12",5175986527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5175986519,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, bp2ellllifbtxgf0p8qlbm1nt, auk14ut8cwaqop549u2zmfgt1, 3bvc29bootgmo9tsapvygvnu2, b6q0tf252xvikt39g8jevju38, 5m27f84vvraap8bmfujt1qiok, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, xyt0wq20toh97811t65vu4no, eq7tnnzwq0g9q4eac0o9t9xey, 8ngloyr6r0m71p8kgpfe69bvu, 6d8194j12jdzgqk5uwcemecr8, 9lgnm175tw163z53b8bmiu5pm, 7w7ufa4v85hmj1qxnmqc4zgiy, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, vrzye4jqrafujmjw3wakjpxw",5175986521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5175986529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5176022169,194,5f3wfx327z9hef9k9l37c90wl,5176021229,197,19904,5175986525,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713946027,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-26T16:15:52.940Z,2024-08-26T17:01:07Z,,,,,5175991175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5175991183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5176021115,197,6292,5175991177,59,"31, 24, 7, 3, 23, 4, 13, 14, 9, 21, 17, 33, 32, 30, 27, 26, 22, 19, 15, 11",5175991181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5176021113,194,d854rlweyk5wq6d2veyviukq2,5175991179,130,17,5175991173,30,"84f41rjxyp3rthpk1fu66wrqi, 4bstdc3zla1sn85ev3bcmw1lg, 6v4ykv7aw86ql22oksh682kus, 5kghds186740jygx97bihh6mt, c36ffo382u9flu5foebt4di39, 2wwpfsducpmryacr17y8k70iy, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, 39f0bq9uk4etkf75uzu6qyrmy, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, d85h1t14o7agqal849ca7fehg, 15fo180vixn0lb65fujttit3p, 5733iw16239m83syv5dm8huj9, 6miatayfy07pf4og7qc7c7pqs, deyq3zqd0vwc821ngqldxqor9, 79b0b6eqck5vn4b3fawxsaok, 6zhj070huc77sl5o5bx6ey5g4, 58o5ram4bf58357786j9jr7kk, diwrq7ulrey4juxk4dafct0q1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952035,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-26T17:00:06.776Z,2024-08-26T17:00:08Z,,,,,5176022511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952033,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-26T17:00:06.776Z,2024-08-26T20:04:00Z,,,,,5176022509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952047,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.1,50.0,2024-08-26T17:00:06.777Z,2024-08-26T17:00:13Z,b6q0tf252xvikt39g8jevju38,J. Vester,,,5176022539,279,S,5176022533,141,61.4,5176022537,213,2.73,5176022529,56,Back,5176022535,212,19.4,5176022531,140,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952051,4,1,1,0,6,cftj6g399tknheudaxsdpfdgb,0,32.4,61.4,2024-08-26T17:00:13.001Z,2024-08-26T17:56:50Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,,5176022547,157,,5176022551,140,73.7,5176022555,212,49.9,5176022549,56,Center,5176022557,213,5.77,5176022559,1,,5176022553,141,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952053,5,44,1,0,6,cftj6g399tknheudaxsdpfdgb,1,71.6,24.0,2024-08-26T17:00:13.600Z,2024-08-26T17:56:56Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5176022563,56,Center,5176022567,233,3,5176022565,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952049,3,44,1,0,6,anga7587r1zv4ey71ge9zxol3,0,28.4,76.0,2024-08-26T17:00:13.601Z,2024-08-26T17:31:10Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5176022571,233,5,5176022543,56,Back,5176022545,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952057,6,1,1,0,7,cftj6g399tknheudaxsdpfdgb,0,73.7,25.2,2024-08-26T17:00:14.065Z,2024-08-26T20:49:46Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5176022597,213,6.19,5176022593,141,22.7,5176022591,140,91.7,5176022587,168,,5176022585,3,,5176022595,212,19.0,5176022589,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952055,4,1,1,0,9,anga7587r1zv4ey71ge9zxol3,1,8.8,77.9,2024-08-26T17:00:16.194Z,2024-08-26T17:01:57Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5176022581,212,12.1,5176022579,141,95.7,5176022575,56,Back,5176022583,213,1.53,5176022577,140,9.3,5176024381,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952143,16,43,1,0,9,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-26T17:00:16.632Z,2024-08-26T17:58:31Z,195o7hchielt14ic49r3k06sq,Serginho,,,5176137771,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713952065,6,1,1,0,11,anga7587r1zv4ey71ge9zxol3,0,6.4,96.5,2024-08-26T17:00:17.841Z,2024-08-26T19:09:18Z,6v4ykv7aw86ql22oksh682kus,W. Kumado,,,5176022611,56,Back,5176022617,212,10.8,5176022613,140,16.7,5176022615,141,95.5,5176022609,157,,5176022621,1,,5176022619,213,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
