id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2702444843,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-07-21T12:57:12.640Z,2024-07-21T14:03:35Z,,,,,5112497037,130,6,5112497033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5112497041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112505963,197,19288,5112505553,194,effgiwtme6eu08o1ninlnqqqd,5112497031,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 5al9uyujlrlb17o4r5sapkkk4, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 6uj3c69lgu6boblkjiuhoy6eh, 54ipja7wrxji6kn8yw5uhr6ga, 9yuyz4ci6wqikd6ckjstbt2i1, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, 9xub4z9b3bog8wqhn5yfihecp, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, 6w9yjs87tue7noq71ftksxez8, 33upoxyyqkh71m6d0b2nsn95g, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc",5112497035,59,"1, 27, 44, 8, 3, 4, 10, 6, 26, 90, 9, 5, 7, 12, 14, 15, 19, 20, 25, 30",5112497039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702446273,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-07-21T13:00:31.134Z,2024-07-21T13:59:57Z,,,,,5112505113,130,13,5112505107,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 32ohywx3gs0u6bqm4z59wxmmt, 7hukebiijqntuvetwzralzuju, 1ykl08k2c2kwxukw0gvslf6qd, ejeagwkwh1ijuwgfpiya8cel1, 2anc9ug5nr25khmtcc4id2pxx, 7uia9zlz3axnuc6usdn9u4kfe, babnrlnt04mal0268p9dxas8a, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 1yqlkot5sh85ot3eemo67djv9, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 6ylzm57bvpufg3cenadtv7qhh, 2rgil8e1uix2orli95p1si0ut, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5112647405,194,32ohywx3gs0u6bqm4z59wxmmt,5112505117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112505111,59,"1, 25, 3, 4, 13, 20, 5, 34, 9, 11, 17, 7, 8, 10, 14, 15, 18, 24, 37, 71",5112505115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5112647407,197,12608,5112505109,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471211,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-07-21T14:01:21.847Z,2024-07-21T16:41:25Z,,,,,5112649389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471209,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-07-21T14:01:21.847Z,2024-07-21T14:01:22Z,,,,,5112649387,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471231,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.3,49.4,2024-07-21T14:01:21.848Z,2024-07-21T14:02:09Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5112649479,140,31.3,5112649487,279,S,5112649481,141,58.2,5112649485,213,2.85,5112649477,56,Back,5112649483,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471261,4,1,1,0,3,c165yjiny1qnmfdvefxvflnkc,0,30.9,58.5,2024-07-21T14:01:25.054Z,2024-07-21T16:05:25Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5112649607,141,0.0,5112649611,213,5.70,5112649613,1,,5112649609,212,73.8,5112649603,56,Right,5112649605,140,89.7,5112649601,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471311,3,5,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,1,7.7,101.5,2024-07-21T14:01:28.895Z,2024-07-21T14:01:46Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5112649981,233,5,5112649963,347,,5112649961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471263,5,5,1,0,7,c165yjiny1qnmfdvefxvflnkc,0,92.3,-1.5,2024-07-21T14:01:28.895Z,2024-07-21T14:08:08Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5112649617,347,,5112649615,56,Right,5112649991,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471347,4,1,1,0,30,9w3sjm5ml4sjr2v81oxzdrt8v,0,8.7,100.0,2024-07-21T14:01:51.865Z,2024-07-21T14:01:52Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,,5112650213,141,88.1,5112650219,1,,5112650207,107,,5112650215,212,24.7,5112650211,140,30.8,5112650217,213,5.93,5112650209,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702471375,6,8,1,0,31,c165yjiny1qnmfdvefxvflnkc,1,62.1,9.8,2024-07-21T14:01:53.822Z,2024-07-21T16:44:55Z,ejeagwkwh1ijuwgfpiya8cel1,D. Kolinger,,,5112996173,385,,5112996075,15,,5112650345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
