id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2789294937,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-16T15:08:11.905Z,2025-03-16T16:00:30Z,,,,,5586911053,194,bnar4f48vnx4oaz2lzch48es5,5586911043,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, d2itdjj8bx0aztqggfgv7amay, 53nd6a4o02ebb0w2s12prijje, 2xp7fbcl6a4nua9jpm7b4k1sk, chteizjcvxpvze9p77gcttcoa, hsobzlp177f9755mpsi7szmy, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 2tthm6h5o033dz440e476rhbe, 91suopiz6irxqevhzv8lx76ne, 1tt9jeekqwpyi6lnj4vyouuj8, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc",5586911051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587181483,197,5111,5586911049,130,13,5586911045,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586911047,59,"1, 31, 37, 4, 32, 30, 10, 8, 28, 35, 7, 2, 6, 11, 16, 24, 17, 34, 38, 42",5586911055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789296753,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-16T15:10:02.345Z,2025-03-16T16:03:05Z,,,,,5586921419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586921423,130,4,5586921421,59,"1, 3, 19, 6, 25, 40, 20, 33, 23, 21, 10, 2, 4, 7, 8, 9, 17, 30, 36, 41",5587185175,197,6293,5586921417,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, lioz4hr2umpne2bwar18qa96, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 4qo7eu3xwhkpssbuyk4n70fe1, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 349g9rdismqpb1aarjp011bd, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5586921427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586921425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587185173,194,b2492j7qzdo7g3ysxz6gq4g5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347947,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-16T16:01:29.310Z,2025-03-16T18:37:06Z,,,,,5587199907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347971,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-03-16T16:01:29.310Z,2025-03-16T16:01:30Z,,,,,5587200053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348043,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.8,50.0,2025-03-16T16:01:29.311Z,2025-03-16T16:01:33Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5587200439,141,50.6,5587200437,140,45.0,5587200435,56,Back,5587200445,279,S,5587200447,278,,5587200441,212,5.1,5587200443,213,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348103,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,46.6,52.8,2025-03-16T16:01:32.525Z,2025-03-16T16:12:25Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5587200707,141,71.4,5587200705,140,40.3,5587200709,212,14.3,5587200703,56,Back,5587200711,213,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789361141,98,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,38.7,65.2,2025-03-16T16:01:33.992Z,2025-03-16T16:12:23Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5587271543,140,33.5,5587271541,56,Back,5587271549,213,4.22,5587271545,141,50.4,5587271547,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348169,5,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,1,28.5,50.7,2025-03-16T16:01:36.533Z,2025-03-16T16:01:38Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5587201045,212,21.6,5587201039,56,Back,5587201051,213,4.66,5587201041,140,27.5,5587201043,141,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348265,6,1,1,0,9,9qsmopgutr7ut5g6workk8w4i,0,26.7,14.0,2025-03-16T16:01:38.549Z,2025-03-16T16:01:43Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5587201427,140,69.5,5587201433,141,26.4,5587201441,1,,5587201423,56,Center,5587201437,213,0.19,5587201421,157,,5587201435,212,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348261,3,44,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,1,28.2,70.3,2025-03-16T16:01:41.966Z,2025-03-16T16:21:39Z,ew91bx066dre4xck30vmz10yc,A. Busch,,,5587201409,56,Back,5587201411,285,,5587201539,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
