id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value
2789292277,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-16T15:05:49.111Z,2025-03-16T15:57:11Z,,,,,5586896249,59,"32, 2, 5, 22, 12, 6, 18, 14, 26, 8, 21, 3, 9, 13, 15, 19, 20, 27, 30, 40",5586896253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586896245,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 5is9bcj143orulo4biogwxzl6, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, cw6s5hf1tytvb98vjuosz9r6d, 8gdfn7j6xac9p4jh94hk40jdg, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, b13l1wrb747y9cdc8wqltan6d, bpw4cd5vmghjhelb3uxupmqjt, 5kghds186740jygx97bihh6mt, 39f0bq9uk4etkf75uzu6qyrmy, d854rlweyk5wq6d2veyviukq2, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 8ydi45wh0naevno6aos78vi09, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",5587181481,197,6291,5586896247,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5587181477,194,6ul2nma4j0a7e2li6wyyrpal1,5586896251,130,7,5586896255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789296571,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-16T15:09:48.798Z,2025-03-16T17:24:25Z,,,,,5587182909,197,4597,5586920379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586920381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586920375,59,"13, 2, 25, 6, 45, 24, 36, 8, 7, 10, 11, 3, 12, 18, 20, 21, 23, 28, 34, 38",5586920371,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, apspqh3shqfwobvh35x60q5g4, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4oxlpwcwpa44hstpm70iep0id, chjcbjc5nv8uyiusfafts5zv9, 9qebp1745dtdjh5kg5n4wfq7e, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, b4ocx2ub0iwtzac72gd0voj6c, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs",5587182907,194,5uqf7a0y0fd1hf2rrmgx11tuy,5586920373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586920377,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347751,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-16T16:01:18.131Z,2025-03-16T19:24:43Z,,,,,5587198943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347757,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-16T16:01:18.131Z,2025-03-16T16:01:20Z,,,,,5587198959,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347797,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.0,50.0,2025-03-16T16:01:18.132Z,2025-03-16T16:01:21Z,deyq3zqd0vwc821ngqldxqor9,F. Gytkjær,,,5587199149,56,Back,5587199157,213,2.69,5587199153,141,68.4,5587199159,279,S,5587199151,140,25.4,5587199155,212,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347873,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,25.6,67.9,2025-03-16T16:01:21.193Z,2025-03-16T16:50:19Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5587199539,155,,5587199545,140,66.3,5587199551,213,5.74,5587199553,1,,5587199547,141,29.7,5587199549,212,50.0,5587199543,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347877,3,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,0,27.5,78.5,2025-03-16T16:01:25.128Z,2025-03-16T16:01:57Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5587199565,212,6.5,5587199561,140,31.8,5587199567,213,5.49,5587199563,141,71.7,5587199559,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347953,5,1,1,0,9,anga7587r1zv4ey71ge9zxol3,1,64.2,33.6,2025-03-16T16:01:27.426Z,2025-03-16T16:01:40Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5587199937,212,4.5,5587199933,141,37.4,5587199929,140,67.7,5587199939,213,0.61,5587199927,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789347991,6,1,1,0,11,anga7587r1zv4ey71ge9zxol3,0,67.7,37.4,2025-03-16T16:01:29.566Z,2025-03-16T16:01:31Z,bpw4cd5vmghjhelb3uxupmqjt,S. Magnússon,,,5587200157,141,0.0,5587200153,56,Right,5587200165,213,5.10,5587200161,212,28.5,5587200155,140,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348255,4,5,1,0,13,77tfx9me4aaqhzv78bmgsy9bg,1,20.2,101.6,2025-03-16T16:01:31.472Z,2025-03-16T16:26:36Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5587201417,233,7,5587201389,56,Back,5587201391,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
