id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2818857055,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-25T14:08:52.992Z,2025-05-25T14:54:02Z,,,,,5749990877,194,4gqnyyx3i92fayq6cxvekqwut,5749890105,59,"41, 13, 15, 17, 5, 6, 11, 27, 10, 14, 30, 1, 2, 4, 7, 8, 12, 19, 24, 33",5749991103,197,790,5749890109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749890111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749890107,130,2,5749890103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749890101,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, c9u2w9ikckbrra8vln2ucbf9w, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, 4gqnyyx3i92fayq6cxvekqwut, 6tckvu2rw7ns18dq7dim0sout, 7hw1plnv7nvxnqpnfnxcxszpx, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 8inyievyp1az6q3dtlkpynf56, al9l7egkwbc0pv68zk42gegut, 823p7p1amx8lp445bo6bi01lg, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818859043,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-25T14:13:51.844Z,2025-05-25T15:04:30Z,,,,,5749901631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749901633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749901625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749901629,130,4,5749945387,197,4597,5749901627,59,"13, 45, 25, 21, 3, 24, 10, 36, 17, 7, 8, 4, 11, 18, 20, 28, 29, 34, 38, 40",5749901623,30,"49wkw0wkn4ta18b6657vjvglx, apspqh3shqfwobvh35x60q5g4, 5ucbttulfcdufwr751zj0zcic, 6rd6a2f1k124dzp1p904yq3h0, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 5uqf7a0y0fd1hf2rrmgx11tuy, 3zc9hy5uicgp21wr6z5wyuntg, 3qcjzsb466tfri5yrj35wztw4, 7a1vtc0e7ubua2t0dwx9ufk7o, 4cubrfqgrc5ivbd6fdj3k3zf8, 55gunqozsj8gs6oua7ee5xxhx, 4oxlpwcwpa44hstpm70iep0id, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, b4ocx2ub0iwtzac72gd0voj6c, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, 8dqghahifyr8tjcndw9pip3x0",5749990885,194,5uqf7a0y0fd1hf2rrmgx11tuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878947,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-25T15:03:22.645Z,2025-05-25T15:03:22Z,,,,,5750013657,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878957,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-25T15:03:22.645Z,2025-05-25T17:38:15Z,,,,,5750013721,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818878995,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.2,50.0,2025-05-25T15:03:22.646Z,2025-05-25T17:47:31Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5750013905,212,3.1,5750013909,279,S,5750013899,56,Center,5750013901,140,52.2,5750013903,141,46.7,5750013907,213,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879019,4,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,52.2,46.7,2025-05-25T15:03:24.366Z,2025-05-25T15:03:26Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,,5750014027,140,39.7,5750014029,141,60.8,5750014031,212,16.3,5750014025,56,Back,5750014033,213,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879087,5,1,1,0,4,77tfx9me4aaqhzv78bmgsy9bg,0,39.7,60.5,2025-05-25T15:03:26.702Z,2025-05-25T15:03:31Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5750014399,1,,5750014395,212,48.7,5750014387,157,,5750014393,141,15.5,5750014397,213,5.60,5750014391,140,75.8,5750014389,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879109,3,44,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,25.2,81.0,2025-05-25T15:03:31.005Z,2025-05-25T15:03:35Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5750014531,233,6,5750014507,285,,5750014505,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879091,6,44,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,0,74.8,19.0,2025-05-25T15:03:31.006Z,2025-05-25T15:03:36Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5750014407,286,,5750014583,233,3,5750014405,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818879205,4,1,1,0,9,b3r6d8ydtmtjckam6pku9y400,1,26.4,75.8,2025-05-25T15:03:31.959Z,2025-05-25T15:03:35Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5750015025,212,6.7,5750015015,3,,5750015019,140,30.9,5750015029,213,0.78,5750015017,56,Back,5750015023,141,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
