id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2751265499,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-24T14:13:40.013Z,2024-11-24T17:07:26Z,,,,,5380068365,59,"1, 2, 37, 18, 32, 30, 22, 10, 17, 11, 28, 5, 6, 7, 9, 16, 24, 31, 35, 46",5380068367,130,17,5380068363,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5380345387,194,4ilnnpfgjfz35lni9ppzd93v9,5380068371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380068369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380068361,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, cft1n7qn5juaedelpvqwo2f3d, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, 94didhw8o1blxonn4amoahcr9, etz3rjq7chhaomst5u28nnff9, 91suopiz6irxqevhzv8lx76ne, 9auqrrixu34cgkpe8trlkaoh6, 53nd6a4o02ebb0w2s12prijje, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, chteizjcvxpvze9p77gcttcoa, 53tbs0tyag4c741oqro5t7b2t, 3hi7nroqhsvj8elv8nd9a8ted, 2tthm6h5o033dz440e476rhbe, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, 64ux2tbb35i36qf6oij2263qi",5381083029,197,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751266605,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-24T14:14:28.446Z,2024-11-24T15:06:53Z,,,,,5380074283,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 5j9d1plbsd5ic01r3ggziutwp, 5x8064b3yr7txk0czddfjtffu, 7foqorbwhgqjghtxa2nax6kgk, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 1902oagnhlo7x9xpumxvg1t78, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 5q4p56lg1vjsqo824aql0e1d6, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 5rgwuoboh1keb2gf21wcw5dqt, 94560hgwsjkx8qgz48f7gzitw, 637840asun7f3wo16c5zkhi50",5380348465,197,23447,5380074293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380074287,59,"16, 22, 23, 26, 12, 6, 7, 11, 15, 25, 8, 1, 5, 9, 13, 18, 20, 21, 24, 31",5380074285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5380348463,194,5j9d1plbsd5ic01r3ggziutwp,5380074291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5380074289,130,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319831,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-11-24T15:01:06.645Z,2024-11-24T17:49:31Z,,,,,5380358261,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319841,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-24T15:01:06.645Z,2024-11-24T15:01:08Z,,,,,5380358295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319901,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.0,50.0,2024-11-24T15:01:06.646Z,2024-11-24T15:01:59Z,7foqorbwhgqjghtxa2nax6kgk,A. Lyng,,,5380358605,141,48.1,5380358611,279,S,5380358607,212,16.6,5380358603,140,34.2,5380358609,213,3.22,5380358601,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319927,4,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,34.2,48.1,2024-11-24T15:01:10.670Z,2024-11-24T15:01:12Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5380358761,212,27.6,5380358753,140,32.1,5380358757,141,88.6,5380358751,56,Back,5380358763,213,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319961,5,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,1,32.1,88.6,2024-11-24T15:01:12.253Z,2024-11-24T15:01:14Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5380358949,140,23.7,5380358951,141,32.4,5380358947,56,Back,5380358953,212,39.2,5380358955,213,4.49,5380358957,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751319999,6,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,1,23.7,32.4,2024-11-24T15:01:14.830Z,2024-11-24T15:01:17Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5380359151,140,21.3,5380359149,56,Back,5380359157,213,1.67,5380359155,212,24.8,5380359153,141,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751320067,7,1,1,0,10,aljua8crr0vkwit0j3m59jw9j,1,21.3,68.7,2024-11-24T15:01:17.485Z,2024-11-24T15:01:21Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5380359523,56,Back,5380359525,140,14.4,5380359531,213,4.39,5380359527,141,36.9,5380359529,212,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751320093,8,1,1,0,14,aljua8crr0vkwit0j3m59jw9j,1,14.2,17.4,2024-11-24T15:01:21.326Z,2024-11-24T15:01:23Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5380359693,56,Back,5380359695,140,19.9,5380359699,212,9.9,5380359701,213,5.36,5380359697,141,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
