id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId
2805743869,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-25T15:54:26.535Z,2025-04-25T17:02:37Z,,,,5677510619,130,2,5677510617,59,"1, 27, 44, 28, 3, 4, 17, 6, 90, 19, 9, 5, 11, 14, 15, 16, 18, 24, 25, 30",5677510615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677510623,194,8cox96ikk1k4c24f0y5ef45x,5677510621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677510627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677510625,197,4650,5677510613,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 9yuyz4ci6wqikd6ckjstbt2i1, 6np04cprm5wsvs4prp8ehirro, 606hufq6dapf3qxcgilbc8tt5, aeoqbtq15nt9ks5cx50vallhw, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805744035,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-25T15:56:22.079Z,2025-04-25T17:08:05Z,,,,5677511851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677511841,59,"1, 2, 24, 4, 5, 31, 8, 35, 36, 7, 37, 6, 10, 11, 16, 17, 28, 32, 38, 42",5677511843,130,17,5677511837,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 6anvl82jyio52wo87cbxdp4np, d2itdjj8bx0aztqggfgv7amay, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, chteizjcvxpvze9p77gcttcoa, 1gr0k94d0nh7msa32f6728aok, aa0888u38mjc1euhofseazb2t, etz3rjq7chhaomst5u28nnff9, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 506kxojakimt5s0v2c4q6b33e, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc",5677511839,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5677511845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677511849,197,5111,5677511847,194,bnar4f48vnx4oaz2lzch48es5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766521,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-25T17:01:37.690Z,2025-04-25T17:01:39Z,,,,5677634993,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766515,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-25T17:01:37.690Z,2025-04-25T19:39:55Z,,,,5677634983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766565,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.2,49.6,2025-04-25T17:01:37.691Z,2025-04-25T17:01:45Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5677635241,212,20.8,5677635239,141,53.3,5677635237,140,30.5,5677635233,56,Back,5677635245,213,3.02,5677635247,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766595,4,1,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,0,32.0,48.8,2025-04-25T17:01:43.893Z,2025-04-25T17:01:48Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5677635377,212,47.7,5677635369,56,Right,5677635379,213,5.85,5677635373,140,73.2,5677635365,157,,5677635375,141,19.4,5677635381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766603,5,44,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,74.5,23.2,2025-04-25T17:01:46.190Z,2025-04-25T17:52:51Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,5677635443,233,3,5677635399,286,,5677635397,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766593,3,44,1,0,8,9qsmopgutr7ut5g6workk8w4i,0,25.5,76.8,2025-04-25T17:01:46.191Z,2025-04-25T17:52:51Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5677635359,285,,5677635357,56,Back,5677635439,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805777093,160,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,0,65.5,23.0,2025-04-25T17:01:46.592Z,2025-04-25T19:41:00Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,5677691071,140,67.7,5677691065,3,,5677691073,141,26.5,5677691075,212,3.3,5677691077,213,0.80,5677691067,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766599,4,61,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,23.1,71.8,2025-04-25T17:01:47.248Z,2025-04-25T17:01:47Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,5677635387,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
