id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2719358497,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-13T16:05:15.535Z,2024-09-13T17:28:51Z,,,,,5205858529,130,17,5205858525,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5205858531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205956671,197,21353,5205948453,194,d854rlweyk5wq6d2veyviukq2,5205858527,59,"31, 24, 7, 3, 23, 5, 14, 13, 9, 21, 17, 4, 6, 11, 15, 20, 26, 27, 30, 32",5205858533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205858523,30,"84f41rjxyp3rthpk1fu66wrqi, 4bstdc3zla1sn85ev3bcmw1lg, 6v4ykv7aw86ql22oksh682kus, 5kghds186740jygx97bihh6mt, c36ffo382u9flu5foebt4di39, 5is9bcj143orulo4biogwxzl6, 6d0lxiep13vdv32bdb0xwyrys, d854rlweyk5wq6d2veyviukq2, 39f0bq9uk4etkf75uzu6qyrmy, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, 2wwpfsducpmryacr17y8k70iy, 5q5ph311bi310zt1e45u7i7dh, diwrq7ulrey4juxk4dafct0q1, 58o5ram4bf58357786j9jr7kk, 8ydi45wh0naevno6aos78vi09, deyq3zqd0vwc821ngqldxqor9, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, 15fo180vixn0lb65fujttit3p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719358891,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-13T16:08:07.200Z,2024-09-13T17:13:35Z,,,,,5205860931,59,"1, 20, 6, 8, 3, 2, 14, 16, 10, 17, 11, 4, 7, 9, 13, 15, 19, 21, 22, 27",5205860935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205860929,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5205956829,194,1arzd8hqj73byhduozscqz5uy,5205860933,130,8,5205860927,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, 8mkrj5bnkyhx8kutc4656cy96, 3q4tnk1z46lop4rbdpjtfoc2c, dq2eqqywinhsh9ijg8amqyp78, hpzxgnwobdttfgd04dykf26t, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 5lz41celw55rz3zh8pohclw5w, 8bi1tlz62rjwyak4pnnzgp562, 1arzd8hqj73byhduozscqz5uy, 7yst1mucy7jynmpzu1thox2i, 4sgxth7onhb5mu29bgyupby3u, rv6r0bwbl75er38wklyfpsr9, 8vi3l756ez0e96k7muvg4ekbu, 974s3rwvb2ls1k1no4hlaz8ph, 5hw5sfiqhzg7mnghdp52f7fqi, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve",5205860937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205956831,197,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378463,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-09-13T17:04:51.575Z,2024-09-13T17:04:51Z,,,,,5205962417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378465,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-13T17:04:51.575Z,2024-09-13T17:04:53Z,,,,,5205962419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378481,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.2,49.6,2024-09-13T17:04:51.576Z,2024-09-13T17:04:55Z,5lz41celw55rz3zh8pohclw5w,O. Ross,,,5205962487,141,47.8,5205962479,56,Back,5205962491,212,22.1,5205962483,140,29.2,5205962495,213,3.20,5205962499,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378531,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,31.0,45.7,2024-09-13T17:04:55.004Z,2024-09-13T17:04:58Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5205962701,213,5.89,5205962691,157,,5205962693,56,Right,5205962703,1,,5205962695,140,74.5,5205962699,212,49.5,5205962697,141,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378545,3,1,1,0,7,anga7587r1zv4ey71ge9zxol3,0,37.6,85.4,2024-09-13T17:04:59.519Z,2024-09-13T17:05:00Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5205962781,141,86.3,5205962773,3,,5205962783,212,6.1,5205962779,140,43.4,5205962785,213,0.10,5205962777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378567,5,1,1,0,10,36g6ifzjliec1jqnbtf7yesme,0,71.0,14.3,2024-09-13T17:05:01.676Z,2024-09-13T17:16:12Z,dq2eqqywinhsh9ijg8amqyp78,S. Otoa,,,5205962895,213,6.27,5205962897,1,,5205962891,141,14.1,5205962885,157,,5205962889,140,78.2,5205962893,212,7.6,5205962887,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378603,4,1,1,0,12,anga7587r1zv4ey71ge9zxol3,1,26.5,92.9,2024-09-13T17:05:04.479Z,2024-09-13T17:05:05Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5205963105,141,93.6,5205963107,212,3.8,5205963111,213,0.13,5205963101,56,Back,5205963103,140,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719378625,6,1,1,0,14,anga7587r1zv4ey71ge9zxol3,0,30.1,93.8,2024-09-13T17:05:05.807Z,2024-09-13T17:05:06Z,d854rlweyk5wq6d2veyviukq2,C. Winther,,,5205963211,56,Back,5205963213,140,39.5,5205963219,213,5.74,5205963215,141,85.0,5205963217,212,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
