id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2707984187,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-11T13:18:48.139Z,2024-08-11T13:58:56Z,,,,,5143103763,59,"1, 2, 37, 4, 5, 31, 8, 35, 11, 28, 22, 9, 10, 16, 18, 24, 32, 36, 41, 99",5143103769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143103761,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5143103765,130,12,5143103767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143103759,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 6anvl82jyio52wo87cbxdp4np, 8domjmewnw5h6b19vef8w0afp, 2xp7fbcl6a4nua9jpm7b4k1sk, 9auqrrixu34cgkpe8trlkaoh6, 53nd6a4o02ebb0w2s12prijje, 94didhw8o1blxonn4amoahcr9, 53tbs0tyag4c741oqro5t7b2t, etz3rjq7chhaomst5u28nnff9, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 2tthm6h5o033dz440e476rhbe, 506kxojakimt5s0v2c4q6b33e, 7z1pv1wezn5rydamnknklv2ay, 17e766t2zpr5pmshhww0iu4us, 22760086vtvx2xulry32q21hw",5143239901,194,94didhw8o1blxonn4amoahcr9,5143239903,197,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707986111,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-11T13:21:03.692Z,2024-08-11T14:01:27Z,,,,,5143239241,194,3sadup8mjwu4dc96wz6lmixn9,5143238641,197,21749,5143114097,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 18, 21, 22, 23, 26, 29, 33, 40",5143114095,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5143114099,130,12,5143114103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143114101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5143114093,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, 6m4anciafmzc24s44xszymbc9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0, 3l3v5wj4c7vtqqwu05b526590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009563,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-11T13:59:59.820Z,2024-08-11T16:20:42Z,,,,,5143245059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009557,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-11T13:59:59.820Z,2024-08-11T13:59:59Z,,,,,5143245039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009573,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2024-08-11T13:59:59.821Z,2024-08-11T18:23:47Z,53nd6a4o02ebb0w2s12prijje,Y. Suzuki,,,5143245111,140,52.6,5143245113,141,59.1,5143245115,212,6.8,5143245119,279,S,5143245109,56,Center,5143245117,213,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009601,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,51.0,56.4,2024-08-11T14:00:03.376Z,2024-08-11T16:23:13Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5143245279,140,47.4,5143245285,213,1.76,5143245277,56,Back,5143245281,141,85.9,5143245283,212,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009623,5,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,44.0,87.5,2024-08-11T14:00:05.263Z,2024-08-11T16:23:25Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5143245443,212,20.0,5143245441,141,65.2,5143245439,140,31.6,5143245445,213,4.00,5143245437,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009661,6,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,0,30.0,59.0,2024-08-11T14:00:07.552Z,2024-08-11T14:14:02Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,,5143245643,56,Center,5143245651,213,6.08,5143245641,155,,5143245653,1,,5143245647,141,40.6,5143245649,212,61.6,5143245645,140,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009669,3,52,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,12.2,61.5,2024-08-11T14:00:10.689Z,2024-08-11T16:45:47Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,,5144038967,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708009711,4,1,1,0,15,5rz9enoyknpg8ji78za5b82p0,1,14.4,64.8,2024-08-11T14:00:14.840Z,2024-08-11T14:00:21Z,1h31bvtbae4q0edlp0u672hn9,J. Hansen,,,5143245897,213,5.11,5143245895,212,39.3,5143246159,1,,5143245889,56,Back,5143245905,287,,5143245891,140,28.8,5143245893,141,11.4,5143245887,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
