id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2710348881,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-18T11:14:43.697Z,2024-08-18T11:58:30Z,,,,,5156210095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156210091,130,8,5156310589,197,4650,5156210099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156210081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5156210077,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 3cdo7b8vwb5kzeoaxzqm6esk4, 6w9yjs87tue7noq71ftksxez8, 9yuyz4ci6wqikd6ckjstbt2i1, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, 9xub4z9b3bog8wqhn5yfihecp, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 1u46uhxe7outj2f8tsga2nx0p, cyuoj9pesenese4i3pklv7d2h, 2lyhi7j3id7emsh54ehdva3ca, 4vfbiav52mg5s9vnx53f0nhuc",5156310587,194,8cox96ikk1k4c24f0y5ef45x,5156210087,59,"1, 27, 44, 6, 3, 4, 10, 24, 19, 90, 9, 5, 12, 15, 16, 18, 21, 25, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710350023,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-18T11:17:22.369Z,2024-08-18T12:09:04Z,,,,,5156215163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5156275695,194,5j9d1plbsd5ic01r3ggziutwp,5156215169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156215171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5156309331,197,23448,5156215165,59,"16, 22, 13, 6, 12, 4, 7, 8, 10, 15, 25, 9, 11, 14, 17, 18, 20, 26, 31, 35",5156215167,130,4,5156215161,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 5q4p56lg1vjsqo824aql0e1d6, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 4qyfoq5fjiochtj89w426lm21, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50, 3etzivrhk2hlvursxh5ng6784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369231,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-08-18T12:02:08.367Z,2024-08-18T12:02:11Z,,,,,5156317569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369227,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-18T12:02:08.367Z,2024-08-18T15:15:19Z,,,,,5156317567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369257,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.1,50.6,2024-08-18T12:02:08.368Z,2024-08-18T12:02:11Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5156317687,212,3.5,5156317681,56,Center,5156317685,141,55.7,5156317695,279,S,5156317697,278,,5156317683,140,50.7,5156317691,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369273,4,4,1,0,5,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.2,47.7,2024-08-18T12:02:13.438Z,2024-08-18T12:15:01Z,6w9yjs87tue7noq71ftksxez8,T. Bany,,,5156317819,56,Center,5156317825,286,,5156317821,152,,5156317823,265,,5156317817,13,,5156317973,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369291,3,4,1,0,5,aljua8crr0vkwit0j3m59jw9j,0,45.8,52.3,2024-08-18T12:02:13.439Z,2024-08-18T12:15:01Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5156317967,265,,5156317961,13,,5156317965,152,,5156317999,233,4,5156317963,56,Back,5156317969,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369371,5,1,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.7,36.9,2024-08-18T12:02:22.189Z,2024-08-18T12:02:24Z,6w9yjs87tue7noq71ftksxez8,T. Bany,,,5156318327,212,16.1,5156318321,56,Back,5156318325,141,54.8,5156318319,152,,5156318317,5,,5156318323,140,44.6,5156318329,213,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369389,6,1,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,44.8,52.7,2024-08-18T12:02:24.445Z,2024-08-18T12:02:26Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5156318441,1,,5156318439,213,5.13,5156318433,140,58.3,5156318431,56,Right,5156318437,212,34.7,5156318429,155,,5156318435,141,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710369439,7,1,1,0,17,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.3,6.2,2024-08-18T12:02:26.280Z,2024-08-18T12:02:30Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5156318695,213,0.19,5156318689,140,71.5,5156318691,141,10.1,5156318693,212,14.1,5156318687,56,Right,5156318685,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
