id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2800544653,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-13T11:11:08.224Z,2025-04-13T12:10:09Z,,,,5648977625,197,790,5648742333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648742331,130,17,5648977623,194,4gqnyyx3i92fayq6cxvekqwut,5648742335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648742325,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, 8inyievyp1az6q3dtlkpynf56, 7xc0qldxpidl07vij2wgu1sk5, ayqy2vql1oumokqly9ahfrnx1, 4cbaoo2irqtme9goxuz6s3ey2, 4gqnyyx3i92fayq6cxvekqwut, c9u2w9ikckbrra8vln2ucbf9w, 823p7p1amx8lp445bo6bi01lg, aahyom322jdc6f21960ycuzth, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, 7hw1plnv7nvxnqpnfnxcxszpx, 9ic9msq3tj4gx8wqa6wfwk50q, ftw3io63hk5vuoa3lyfgowes, 66psa7xh8odnlp39ue5vzpes4",5648742329,59,"41, 13, 8, 2, 6, 5, 27, 17, 19, 11, 30, 1, 4, 7, 10, 12, 14, 22, 36, 40",5648742327,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800546297,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-13T11:14:23.666Z,2025-04-13T12:01:44Z,,,,5648926565,194,bnar4f48vnx4oaz2lzch48es5,5648750955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648750949,59,"1, 2, 24, 4, 5, 30, 10, 8, 36, 28, 7, 6, 11, 16, 17, 31, 32, 35, 37, 42",5648750947,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648750943,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, d2itdjj8bx0aztqggfgv7amay, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 6anvl82jyio52wo87cbxdp4np, 506kxojakimt5s0v2c4q6b33e, 2xp7fbcl6a4nua9jpm7b4k1sk, 1gr0k94d0nh7msa32f6728aok, 5ssy03x358qpvbvlhdg2152qc",5648926567,197,5111,5648750953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648750951,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583233,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-13T12:03:38.180Z,2025-04-13T12:03:38Z,,,,5648935717,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583245,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-04-13T12:03:38.180Z,2025-04-13T19:02:05Z,,,,5648935783,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583285,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2025-04-13T12:03:38.181Z,2025-04-13T12:03:41Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,5648935989,279,S,5648935987,213,3.15,5648935981,140,32.1,5648935983,141,49.7,5648935979,56,Back,5648935985,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583351,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,32.1,49.7,2025-04-13T12:03:40.291Z,2025-04-13T12:03:45Z,bmkq3hz1z7lsji7wgr3j8978p,R. Lauritsen,,5648936305,140,36.5,5648936303,56,Back,5648936309,212,19.7,5648936311,213,4.95,5648936307,141,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583357,3,83,1,0,6,b3r6d8ydtmtjckam6pku9y400,0,53.5,82.0,2025-04-13T12:03:44.863Z,2025-04-13T12:03:46Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5648936495,399,56sjqxlsf5iitgww0hogez8ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583383,5,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,0,52.7,13.5,2025-04-13T12:03:44.915Z,2025-04-13T12:03:46Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5648936475,141,9.5,5648936479,212,16.9,5648936481,213,6.12,5648936471,56,Right,5648936473,140,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583465,5,1,1,0,9,b3r6d8ydtmtjckam6pku9y400,1,36.5,93.0,2025-04-13T12:03:48.178Z,2025-04-13T13:06:10Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648936853,56,Left,5648936859,212,26.8,5648936857,141,96.8,5648936861,213,0.10,5648936855,140,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583503,6,1,1,0,13,b3r6d8ydtmtjckam6pku9y400,1,66.7,93.6,2025-04-13T12:03:51.646Z,2025-04-13T12:03:52Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,5648936961,212,8.1,5648936963,213,5.21,5648936957,140,70.4,5648936955,56,Left,5648936959,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583523,7,1,1,0,14,b3r6d8ydtmtjckam6pku9y400,0,70.5,83.0,2025-04-13T12:03:52.845Z,2025-04-13T12:03:53Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5648937081,140,55.2,5648937083,141,100.0,5648937079,56,Left,5648937085,212,20.6,5648937087,213,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583899,6,5,1,0,15,9qsmopgutr7ut5g6workk8w4i,1,45.2,-1.7,2025-04-13T12:03:53.858Z,2025-04-13T12:14:27Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5648938947,56,Back,5648938949,347,,5648938989,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583531,8,5,1,0,15,b3r6d8ydtmtjckam6pku9y400,0,54.8,101.7,2025-04-13T12:03:53.858Z,2025-04-13T12:14:27Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,5648939011,233,6,5648937097,56,Left,5648937101,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583949,7,1,1,0,37,9qsmopgutr7ut5g6workk8w4i,0,46.1,0.0,2025-04-13T12:04:15.460Z,2025-04-13T12:04:18Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5648939187,213,0.20,5648939189,1,,5648939179,56,Right,5648939183,141,6.8,5648939181,140,72.0,5648939177,107,,5648939185,212,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800583967,9,1,1,0,40,b3r6d8ydtmtjckam6pku9y400,0,32.6,91.8,2025-04-13T12:04:18.638Z,2025-04-13T19:03:00Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648939285,56,Back,5648939293,213,0.40,5648939291,212,7.2,5648939289,141,95.9,5648939287,140,38.9,5648939283,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584027,8,1,1,0,42,9qsmopgutr7ut5g6workk8w4i,1,68.3,8.8,2025-04-13T12:04:21.140Z,2025-04-13T12:04:35Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,5648939565,56,Right,5648939569,141,16.1,5648939567,140,68.0,5648939561,3,,5648939571,212,5.0,5648939573,213,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584225,11,1,1,0,43,9qsmopgutr7ut5g6workk8w4i,0,60.5,14.9,2025-04-13T12:04:21.532Z,2025-04-13T12:04:38Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,5648940685,56,Right,5648940689,140,65.3,5648940695,213,5.83,5648940691,141,11.3,5648940693,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584067,10,1,1,0,44,b3r6d8ydtmtjckam6pku9y400,1,35.4,89.4,2025-04-13T12:04:22.623Z,2025-04-13T12:04:24Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,5648939815,140,45.1,5648939813,56,Back,5648939819,212,11.5,5648939817,141,97.4,5648939821,213,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584089,12,3,1,0,46,b3r6d8ydtmtjckam6pku9y400,0,41.2,98.0,2025-04-13T12:04:24.945Z,2025-04-13T19:03:47Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,5648939921,286,,5648940183,233,9,5648939919,56,Back,5651153315,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584111,9,7,1,0,46,9qsmopgutr7ut5g6workk8w4i,1,58.8,2.0,2025-04-13T12:04:24.946Z,2025-04-13T19:06:03Z,hsobzlp177f9755mpsi7szmy,S. Sebulonsen,,5648940055,285,,5651153429,385,,5648940153,233,12,5648940053,56,Right,5648940051,167,,5651153433,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584159,10,5,1,0,47,9qsmopgutr7ut5g6workk8w4i,0,60.8,-1.6,2025-04-13T12:04:25.744Z,2025-04-13T12:14:28Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,5648940345,347,,5648941941,233,13,5648940341,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584463,13,5,1,0,47,b3r6d8ydtmtjckam6pku9y400,1,39.2,101.6,2025-04-13T12:04:25.744Z,2025-04-13T12:14:27Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,5648941901,347,,5648941931,233,10,5648941899,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584515,14,1,1,1,6,b3r6d8ydtmtjckam6pku9y400,0,41.0,100.0,2025-04-13T12:04:45.151Z,2025-04-13T13:06:44Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,5648942145,56,Left,5648942149,141,95.9,5648942147,140,55.6,5648942143,107,,5648942151,212,15.9,5648942153,213,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800584535,12,8,1,1,9,9qsmopgutr7ut5g6workk8w4i,1,50.9,6.8,2025-04-13T12:04:47.733Z,2025-04-13T19:06:19Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,5651163463,384,,5648942259,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
