id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2743659485,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-03T14:13:09.982Z,2024-11-03T14:58:47Z,,,,,5338864083,194,3sadup8mjwu4dc96wz6lmixn9,5338864087,197,14750,5338515533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338515531,130,12,5338515525,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 7je01bs3a4q6c2gd02ee6da3u, 9trvbmdwo8fkndwjz9mr1bfmx, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh",5338515529,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 13, 15, 16, 18, 20, 26, 27, 29",5338515535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338515527,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743666383,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-03T14:17:09.691Z,2024-11-03T14:56:49Z,,,,,5338552247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338855655,194,5733iw16239m83syv5dm8huj9,5338552243,59,"32, 7, 20, 5, 12, 23, 30, 14, 9, 21, 17, 3, 4, 6, 8, 11, 13, 15, 26, 1",5338855311,197,6292,5338552249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338552241,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5338552245,130,13,5338552239,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, 6ul2nma4j0a7e2li6wyyrpal1, c36ffo382u9flu5foebt4di39, 5733iw16239m83syv5dm8huj9, 6d0lxiep13vdv32bdb0xwyrys, 39f0bq9uk4etkf75uzu6qyrmy, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, 5kghds186740jygx97bihh6mt, 2wwpfsducpmryacr17y8k70iy, 5q5ph311bi310zt1e45u7i7dh, b13l1wrb747y9cdc8wqltan6d, diwrq7ulrey4juxk4dafct0q1, d854rlweyk5wq6d2veyviukq2, 58o5ram4bf58357786j9jr7kk, deyq3zqd0vwc821ngqldxqor9, cl3w811fge6189cbclaslb26t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726261,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-03T15:01:28.749Z,2024-11-03T15:01:31Z,,,,,5338874599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726239,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-03T15:01:28.749Z,2024-11-03T19:54:47Z,,,,,5338874491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726291,3,1,1,0,1,5rz9enoyknpg8ji78za5b82p0,1,49.9,49.9,2024-11-03T15:01:29.750Z,2024-11-03T16:14:42Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5338874781,279,S,5338874759,56,Center,5338874765,140,53.7,5338874769,141,44.2,5338874779,213,5.51,5338874773,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743727059,14,1,1,0,2,5rz9enoyknpg8ji78za5b82p0,1,53.0,47.9,2024-11-03T15:01:31.147Z,2024-11-03T20:02:36Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5338879259,212,5.3,5338879261,213,1.77,5338879257,141,55.5,5338879255,140,52.0,5338879253,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726357,4,1,1,0,5,5rz9enoyknpg8ji78za5b82p0,1,56.6,63.3,2024-11-03T15:01:33.899Z,2024-11-03T15:01:37Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5338875129,212,16.3,5338875121,56,Left,5338875131,213,1.34,5338875125,140,60.2,5338875127,141,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726383,5,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,64.5,92.0,2024-11-03T15:01:37.467Z,2024-11-03T15:01:40Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5338875291,56,Left,5338875299,213,2.12,5338875293,140,62.9,5338875295,141,96.0,5338875297,212,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726427,6,1,1,0,11,5rz9enoyknpg8ji78za5b82p0,1,57.9,87.0,2024-11-03T15:01:39.979Z,2024-11-03T15:01:42Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5338875535,213,4.36,5338875529,140,54.4,5338875527,56,Center,5338875533,212,10.5,5338875531,141,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743726465,7,1,1,0,14,5rz9enoyknpg8ji78za5b82p0,1,45.6,64.4,2024-11-03T15:01:42.859Z,2024-11-03T15:01:46Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5338875825,213,4.68,5338875821,141,31.3,5338875819,140,44.9,5338875817,56,Back,5338875823,212,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
