id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2716395085,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-01T15:13:35.592Z,2024-09-01T16:03:18Z,,,,5189426807,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, 6v1kpakd3t0jhnoh1eh75ev4k, dq2eqqywinhsh9ijg8amqyp78, hpzxgnwobdttfgd04dykf26t, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, 5hw5sfiqhzg7mnghdp52f7fqi, 1arzd8hqj73byhduozscqz5uy, 5lz41celw55rz3zh8pohclw5w, 7yst1mucy7jynmpzu1thox2i, 8mkrj5bnkyhx8kutc4656cy96, 4sgxth7onhb5mu29bgyupby3u, rv6r0bwbl75er38wklyfpsr9, 8vi3l756ez0e96k7muvg4ekbu, 974s3rwvb2ls1k1no4hlaz8ph, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve",5189693285,194,1arzd8hqj73byhduozscqz5uy,5189705235,197,1731,5189426817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5189426815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5189426813,130,4,5189426809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5189426811,59,"1, 20, 24, 16, 3, 2, 17, 8, 19, 11, 10, 4, 6, 7, 9, 13, 15, 21, 22, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716401155,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-01T15:18:15.213Z,2024-09-01T15:58:24Z,,,,5189696143,194,8cox96ikk1k4c24f0y5ef45x,5189460653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5189460655,59,"1, 27, 44, 6, 3, 4, 10, 28, 7, 9, 17, 5, 15, 18, 19, 20, 24, 25, 30, 90",5189460657,130,8,5189696145,197,4650,5189460659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5189460661,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5189460649,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, 606hufq6dapf3qxcgilbc8tt5, 8domjmewnw5h6b19vef8w0afp, 1t67kvg37jg2elz9voix5kcet, 2datlbzulrzdgpyxv3fkzn0et, 3aoh34sqan7y34c2qa1d6xkyy, 6w9yjs87tue7noq71ftksxez8, bz76p441ynj57eytvsz9kmtck, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445893,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-01T16:02:46.455Z,2024-09-01T16:02:46Z,,,,5189710095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445901,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-01T16:02:46.455Z,2024-09-01T16:02:48Z,,,,5189710125,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445931,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,49.7,50.0,2024-09-01T16:02:46.456Z,2024-09-01T16:05:00Z,1329qhvvxpp6j4q5esh4n3hii,M. Touré,,5189710245,140,48.2,5189710257,213,4.10,5189710253,212,2.7,5189710243,56,Back,5189710261,279,S,5189710249,141,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445955,4,1,1,0,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,48.2,46.7,2024-09-01T16:02:48.658Z,2024-09-01T16:02:50Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5189710389,212,12.2,5189710391,213,3.11,5189710383,56,Back,5189710385,140,36.6,5189710387,141,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445967,5,1,1,0,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,36.6,47.3,2024-09-01T16:02:50.595Z,2024-09-01T16:20:56Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,5189710437,56,Back,5189710443,212,10.4,5189710441,141,48.7,5189710439,140,46.5,5189710445,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445973,6,1,1,0,5,9w3sjm5ml4sjr2v81oxzdrt8v,1,46.5,48.7,2024-09-01T16:02:51.474Z,2024-09-01T16:02:52Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,5189710487,156,,5189710479,213,2.74,5189710473,140,31.4,5189710471,56,Back,5189710477,212,17.2,5189710475,141,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716445995,7,1,1,0,6,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.6,63.1,2024-09-01T16:02:53.170Z,2024-09-01T16:02:54Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,5189710607,213,0.68,5189710605,212,29.8,5189710603,141,90.8,5189710599,56,Left,5189710601,140,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716446021,8,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,54.6,90.8,2024-09-01T16:02:54.722Z,2024-09-01T16:02:56Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,5189710739,141,79.3,5189710737,140,58.2,5189710743,213,5.16,5189710741,212,8.7,5189710735,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716446037,9,1,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,1,58.2,79.3,2024-09-01T16:02:56.146Z,2024-09-01T16:02:57Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,5189710835,213,1.08,5189710821,56,Left,5189710827,141,95.3,5189710831,212,12.4,5189710825,140,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716446059,10,1,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,0,63.8,95.3,2024-09-01T16:02:57.026Z,2024-09-01T16:02:59Z,60z63hezwwosjnhvamcwxtre1,N. Dyhr,,5189710939,212,26.4,5189710933,56,Left,5189710935,140,87.4,5189710941,213,5.93,5189710937,141,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
