id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2724168793,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-22T11:14:05.541Z,2024-09-22T12:04:25Z,,,,,5232160445,197,4650,5231991259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5231991251,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 6uj3c69lgu6boblkjiuhoy6eh, 606hufq6dapf3qxcgilbc8tt5, 54ipja7wrxji6kn8yw5uhr6ga, ag40mk09zc8tzbkr7dnnqumay, 8domjmewnw5h6b19vef8w0afp, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, 2datlbzulrzdgpyxv3fkzn0et, 3aoh34sqan7y34c2qa1d6xkyy, bz76p441ynj57eytvsz9kmtck, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5232160443,194,8cox96ikk1k4c24f0y5ef45x,5231991261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5231991257,130,9,5231991255,59,"1, 27, 44, 28, 3, 4, 6, 9, 26, 10, 17, 5, 7, 15, 18, 20, 24, 25, 30, 90",5231991253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724187745,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-22T11:42:46.237Z,2024-09-22T12:04:21Z,,,,,5232093569,59,"16, 43, 6, 5, 4, 22, 11, 21, 25, 7, 20, 1, 3, 14, 17, 19, 53, 55, 58, 34",5232093573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232164343,194,a87w6l9zsbahdi4knm1347zs9,5232093575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232164345,197,24384,5232093571,130,2,5232093567,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232093565,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8yfw9f74h0yfz51bkxxc8p39x, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, 78kzajya12k4sm0ebfl37d6ok, 10esz9pvzonegry7p78n3ce09, 1sdsqfn743j5tqem8ra7sppn8, e73sexp7kse0wlykdi7xcbg2c, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, bcscjb9jdgu4ims9n3vwuj5k9, 5cjx2i2perp5vr62en4cyer1m, bwfg9frq2ecbzg7wlzqjtnv2s, 7qgiqoaaarr6c2bs4yffqwju2, 8mn8apr6n7t7s6lx4d4vvdnca, 4zrsiizdbzwwkmit3ta0f0dbe, 3ylz4gki78fg6jxbbzae0hgk4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203285,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-09-22T12:01:51.825Z,2024-09-22T12:01:53Z,,,,,5232176249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203275,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-22T12:01:51.825Z,2024-09-22T14:46:11Z,,,,,5232176197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203355,3,1,1,0,1,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2024-09-22T12:01:52.826Z,2024-09-22T14:46:34Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5232176653,141,55.0,5232176657,213,2.97,5232176655,212,20.3,5232176651,140,30.9,5232176659,279,S,5232176649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203403,4,1,1,0,5,9w3sjm5ml4sjr2v81oxzdrt8v,0,31.0,55.2,2024-09-22T12:01:57.059Z,2024-09-22T12:02:00Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5232176877,56,Right,5232176885,141,18.3,5232176887,212,48.7,5232176873,157,,5232176881,140,70.7,5232176889,213,5.74,5232176891,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203409,3,44,1,0,7,59as3grjvj19voay31j3yfgni,1,31.4,83.0,2024-09-22T12:01:58.995Z,2024-09-22T14:58:48Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5232176913,285,,5232176911,56,Back,5232177031,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203419,5,44,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,68.6,17.0,2024-09-22T12:01:58.996Z,2024-09-22T14:58:50Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5232177053,233,3,5232176965,56,Right,5232176967,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203451,4,1,1,0,7,59as3grjvj19voay31j3yfgni,1,33.9,84.4,2024-09-22T12:01:59.299Z,2024-09-22T14:58:53Z,e73sexp7kse0wlykdi7xcbg2c,V. Byskov,,,5232177117,141,71.4,5232177115,140,24.5,5232177119,212,13.2,5232177111,3,,5232177121,213,3.87,5232177113,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724203503,5,1,1,0,8,59as3grjvj19voay31j3yfgni,1,24.5,71.4,2024-09-22T12:02:00.626Z,2024-09-22T14:59:30Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5232177439,1,,5232177431,140,38.9,5232177427,157,,5232177433,141,28.0,5232177429,56,Back,5232177437,213,5.19,5232177435,212,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
