id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2781291727,2,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-02-26T17:41:28.846Z,2025-02-26T18:36:38Z,,,,5543128885,59,"1, 20, 24, 26, 4, 13, 23, 8, 27, 11, 10, 2, 5, 6, 16, 17, 19, 21, 22, 33",5543128883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5543128893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5543128891,194,1arzd8hqj73byhduozscqz5uy,5543128889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5543128881,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, bm3k1knugkwa8z319dscr2yhg, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 2k8bmlxzt0qi7divtxye0a5ii, 3q4tnk1z46lop4rbdpjtfoc2c, 5vrsflxiv2dgfa8199a2qxsve, 1arzd8hqj73byhduozscqz5uy, 5lz41celw55rz3zh8pohclw5w, hpzxgnwobdttfgd04dykf26t, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 6v1kpakd3t0jhnoh1eh75ev4k, 8bi1tlz62rjwyak4pnnzgp562, 20g27z0cklenjg7k0ox73wyc5, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 697f50qoetodmfe8ybcuey2ac",5543128887,130,4,5543187153,197,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781292827,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-26T17:47:00.078Z,2025-02-26T18:43:29Z,,,,5543135741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5543196887,194,5uqf7a0y0fd1hf2rrmgx11tuy,5543135737,59,"13, 2, 25, 6, 24, 15, 36, 8, 17, 7, 10, 11, 12, 18, 20, 21, 23, 28, 38, 45",5543135739,130,9,5543135743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5543135733,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, 2rvx2wlfj2rxzcgye6wiw0v84, 179f3j88wnmze82aicikkez9, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 3qcjzsb466tfri5yrj35wztw4, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4oxlpwcwpa44hstpm70iep0id, 9qebp1745dtdjh5kg5n4wfq7e, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, b4ocx2ub0iwtzac72gd0voj6c, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5543196107,197,21751,5543135735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303113,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-26T18:32:36.964Z,2025-02-26T18:32:37Z,,,,5543197259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303111,3,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-02-26T18:32:36.964Z,2025-02-27T06:24:12Z,,,,5543197255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303141,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,49.1,49.9,2025-02-26T18:32:36.965Z,2025-02-26T18:32:40Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,5543197417,56,Back,5543197425,213,2.64,5543197423,212,13.0,5543197419,140,38.3,5543197421,141,59.1,5543197427,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303153,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,38.3,59.1,2025-02-26T18:32:40.352Z,2025-02-26T18:32:42Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5543197507,213,4.35,5543197499,56,Back,5543197505,212,19.7,5543197503,141,32.0,5543197501,140,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303175,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,31.7,32.0,2025-02-26T18:32:41.968Z,2025-02-26T19:30:25Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,5543197609,56,Left,5543197617,213,0.90,5543197611,140,60.5,5543197619,1,,5543197613,141,88.1,5543197615,212,48.7,5543197607,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303181,6,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,0,60.5,88.1,2025-02-26T18:32:42.760Z,2025-02-26T19:27:58Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,5543197665,213,0.01,5543197663,212,8.5,5543197655,3,,5543197657,56,Left,5543197659,140,68.6,5543197661,141,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303187,4,1,1,0,6,36g6ifzjliec1jqnbtf7yesme,1,34.3,17.7,2025-02-26T18:32:43.620Z,2025-02-26T18:32:45Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5543197697,141,12.8,5543197701,213,5.96,5543197691,3,,5543197699,212,10.4,5543197693,56,Back,5543197695,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781303191,5,1,1,0,8,36g6ifzjliec1jqnbtf7yesme,1,43.7,12.8,2025-02-26T18:32:45.375Z,2025-02-26T18:32:47Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5543197709,3,,5543197717,212,8.8,5543197711,56,Back,5543197719,213,2.40,5543197713,140,37.5,5543197715,141,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
