id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2780753407,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-24T17:15:46.179Z,2025-02-24T20:28:28Z,,,,,5540108475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540108465,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5540149307,197,19904,5540108467,59,"1, 18, 3, 13, 24, 2, 12, 19, 14, 7, 10, 8, 16, 27, 30, 55, 33, 37, 15, 26",5540108469,130,4,5540108463,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, 96uzhuuez4q5pgxb566ryk53p, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 9o10vhew3jar8tqnkabw0qoyx, 5m27f84vvraap8bmfujt1qiok, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 7w7ufa4v85hmj1qxnmqc4zgiy, dk9nlp77b6q38p751f8w3o8np, c9kn2pfftaimeqknbu9p8neok, eq7tnnzwq0g9q4eac0o9t9xey, bp2ellllifbtxgf0p8qlbm1nt, 95nyhb9eanuobgbkdccyrwob8, b6q0tf252xvikt39g8jevju38, dyzzo6n83rg4fpvmqqa69moes, dacr7r8nr09ke3o8dhqmdrklw",5540108473,194,5f3wfx327z9hef9k9l37c90wl,5540108471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780753425,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-02-24T17:15:48.539Z,2025-02-24T17:58:41Z,,,,,5540108579,59,"1, 3, 2, 6, 25, 40, 20, 33, 23, 21, 10, 7, 8, 9, 14, 17, 24, 30, 36, 41",5540108587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540108585,194,b2492j7qzdo7g3ysxz6gq4g5x,5540147463,197,26725,5540108575,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, lioz4hr2umpne2bwar18qa96, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, 349g9rdismqpb1aarjp011bd, 9pv2ame21kaydllf78eo1nqc4, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5540108581,130,4,5540108583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5540108577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760917,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-02-24T18:02:16.898Z,2025-02-24T20:36:13Z,,,,,5540152489,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760919,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-02-24T18:02:16.898Z,2025-02-24T18:02:18Z,,,,,5540152495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760947,3,1,1,0,1,ahnt9ejgwj58ul8auzdvi3czf,1,49.7,50.1,2025-02-24T18:02:17.899Z,2025-02-24T18:02:43Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5540152663,141,49.4,5540152669,279,S,5540152671,278,,5540152661,140,52.3,5540152665,212,2.8,5540152667,213,6.11,5540152659,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760955,4,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,52.9,47.5,2025-02-24T18:02:20.097Z,2025-02-24T18:02:50Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5540152735,141,33.7,5540152737,212,21.5,5540152733,140,34.5,5540152739,213,3.59,5540152731,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760957,5,1,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,1,34.4,33.9,2025-02-24T18:02:23.482Z,2025-02-24T18:02:24Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5540152749,140,38.7,5540152751,141,40.4,5540152747,56,Back,5540152755,213,0.77,5540152753,212,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760961,6,1,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,1,38.7,40.4,2025-02-24T18:02:24.297Z,2025-02-24T20:36:41Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5540152777,141,33.6,5540152781,213,3.57,5540152775,140,29.1,5540152773,56,Back,5540152779,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760977,7,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,25.5,31.9,2025-02-24T18:02:26.329Z,2025-02-24T18:02:27Z,7zaveckhldl5rieo5ddsqtt2i,P. Rödin,,,5540152849,140,12.4,5540152851,141,47.3,5540152847,56,Back,5540152855,213,2.49,5540152853,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780760983,8,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,1,12.4,47.3,2025-02-24T18:02:27.529Z,2025-02-24T18:02:28Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5540152905,213,5.07,5540152899,140,19.7,5540152903,212,21.7,5540152901,141,17.4,5540152897,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
