id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2806965387,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T11:11:06.052Z,2025-04-27T12:09:20Z,,,,,5684101037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684101035,130,10,5684101039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684101029,30,"52vwj2s29n7wngablotd7pboq, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, cw6s5hf1tytvb98vjuosz9r6d, 6ul2nma4j0a7e2li6wyyrpal1, bpw4cd5vmghjhelb3uxupmqjt, 79b0b6eqck5vn4b3fawxsaok, 8gdfn7j6xac9p4jh94hk40jdg, 6d0lxiep13vdv32bdb0xwyrys, d854rlweyk5wq6d2veyviukq2, 2wwpfsducpmryacr17y8k70iy, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, deyq3zqd0vwc821ngqldxqor9, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p",5684101033,59,"40, 2, 20, 5, 6, 12, 21, 22, 18, 14, 13, 4, 8, 15, 17, 19, 23, 26, 29, 32",5684283501,194,6ul2nma4j0a7e2li6wyyrpal1,5684101031,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684282027,197,6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806972707,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T11:24:44.788Z,2025-04-27T14:37:54Z,,,,,5684140707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684140705,30,"b2492j7qzdo7g3ysxz6gq4g5x, 7h39w16zvj1lbfb0rqr7kvt1x, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, 6f6x6f9iybgp9pmkqati2otn8, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, n2annzbap7hll02zo2v0ccgk, d8nahz092xxj6muqc24hocp3o, abaapwjdtbk2vmdv69v49fyms, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw, cuufy3ioo1kio56er2cfn0mqc, 9ftdwt0udamsh6k5sdaoqxyc4",5685272149,194,b2492j7qzdo7g3ysxz6gq4g5x,5684140709,59,"1, 19, 2, 6, 3, 4, 21, 20, 9, 17, 10, 7, 8, 23, 30, 35, 36, 41, 33, 27",5684140711,130,9,5684140713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5685337573,197,6293,5684140715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001817,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-27T12:01:30.891Z,2025-04-27T14:52:39Z,,,,,5684292065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001827,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-27T12:01:30.891Z,2025-04-27T12:13:12Z,,,,,5684292093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001893,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,50.1,49.9,2025-04-27T12:01:30.892Z,2025-04-27T12:01:34Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5684292471,212,20.1,5684292467,140,32.0,5684292479,279,S,5684292465,56,Back,5684292469,141,59.7,5684292475,213,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001953,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,31.9,55.7,2025-04-27T12:01:34.841Z,2025-04-27T12:01:38Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5684292765,141,37.0,5684292761,140,93.0,5684292767,212,65.4,5684292757,157,,5684292771,1,,5684292769,213,6.09,5684292759,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001975,3,52,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,5.6,63.8,2025-04-27T12:01:40.414Z,2025-04-27T14:52:55Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5685455273,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002017,4,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,7.0,62.4,2025-04-27T12:01:40.538Z,2025-04-27T12:13:11Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,,5684293081,141,89.5,5684293079,140,20.9,5684293075,123,,5684293077,56,Back,5684293085,213,0.90,5684293083,212,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002039,5,1,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,0,21.9,78.9,2025-04-27T12:01:42.970Z,2025-04-27T14:53:04Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5684293221,140,39.3,5684293219,56,Back,5685456211,1,,5684293225,212,19.5,5684293227,213,5.92,5685456201,157,,5684293223,141,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807002073,6,1,1,0,14,anga7587r1zv4ey71ge9zxol3,1,64.7,22.9,2025-04-27T12:01:45.551Z,2025-04-27T14:53:08Z,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,,,5684293397,213,4.50,5684293395,212,7.5,5684293389,56,Right,5684293393,141,12.1,5684293937,233,7,5684293391,140,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
