id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2816437741,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-18T13:18:14.272Z,2025-05-18T14:00:21Z,,,,,5736668525,194,33sxiwcjeqcop3ukuok86ujmd,5736449499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736449495,130,4,5736449493,59,"16, 22, 23, 26, 12, 5, 8, 11, 15, 25, 24, 1, 2, 7, 9, 17, 28, 29, 31, 32",5736449489,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, 33sxiwcjeqcop3ukuok86ujmd, 1902oagnhlo7x9xpumxvg1t78, 7foqorbwhgqjghtxa2nax6kgk, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 5x8064b3yr7txk0czddfjtffu, 828b7y3phhpb62srvtrjhtgk4, 6gh4z3yubnpypzoakjom1rj3e, 6je6y9uk6km1tkzatpw8v9p1w, d4emkl168o7w0fy7shqdp6t5g, 637840asun7f3wo16c5zkhi50, 6in4qqej6re7ruokm2spdpr10",5736449491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736449501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736668527,197,23447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816438909,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-18T13:19:53.996Z,2025-05-18T14:07:17Z,,,,,5736455765,30,"52vwj2s29n7wngablotd7pboq, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, cw6s5hf1tytvb98vjuosz9r6d, 5is9bcj143orulo4biogwxzl6, 6zhj070huc77sl5o5bx6ey5g4, b13l1wrb747y9cdc8wqltan6d, bpw4cd5vmghjhelb3uxupmqjt, 6ul2nma4j0a7e2li6wyyrpal1, 6d0lxiep13vdv32bdb0xwyrys, 5kghds186740jygx97bihh6mt, diwrq7ulrey4juxk4dafct0q1, 58o5ram4bf58357786j9jr7kk, 8gdfn7j6xac9p4jh94hk40jdg, 8ynqwlysks0dvn46ja7zq5vit, 4bstdc3zla1sn85ev3bcmw1lg, deyq3zqd0vwc821ngqldxqor9, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p",5736455777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736665825,197,6292,5736455773,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5736455771,130,2,5736455769,59,"40, 2, 20, 22, 6, 5, 19, 8, 21, 12, 14, 3, 11, 15, 18, 23, 24, 26, 29, 32",5736455767,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5736683251,194,6ul2nma4j0a7e2li6wyyrpal1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487281,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-05-18T14:01:35.878Z,2025-05-18T14:01:38Z,,,,,5736692561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487265,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-05-18T14:01:35.878Z,2025-05-18T17:03:22Z,,,,,5736692499,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487331,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.0,50.0,2025-05-18T14:01:35.879Z,2025-05-18T14:01:38Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5736692783,213,3.48,5736692779,141,41.0,5736692781,212,18.3,5736692777,140,33.6,5736692775,56,Back,5736692785,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487379,4,1,1,0,2,aljua8crr0vkwit0j3m59jw9j,1,30.9,43.4,2025-05-18T14:01:38.550Z,2025-05-18T14:01:41Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5736692987,212,19.9,5736692983,140,22.6,5736692981,56,Back,5736692985,141,69.7,5736692989,213,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487467,5,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,1,22.5,69.4,2025-05-18T14:01:40.934Z,2025-05-18T14:01:44Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5736693345,212,20.2,5736693347,213,4.01,5736693335,56,Back,5736693343,141,46.6,5736693339,140,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487569,6,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,0,9.7,43.9,2025-05-18T14:01:44.550Z,2025-05-18T14:01:48Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5736693879,1,,5736693861,56,Center,5736693869,141,22.8,5736693873,212,61.4,5736693857,157,,5736693877,213,6.05,5736693865,140,66.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816487665,3,1,1,0,13,anga7587r1zv4ey71ge9zxol3,0,34.4,80.2,2025-05-18T14:01:49.060Z,2025-05-18T14:53:26Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5736694403,3,,5736694413,140,58.6,5736694409,56,Center,5736694423,213,6.23,5736694421,212,25.4,5736694419,141,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816518129,225,8,1,0,13,aljua8crr0vkwit0j3m59jw9j,1,30.6,13.3,2025-05-18T14:01:49.798Z,2025-05-18T17:17:48Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5736849335,56,Back,5737723697,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
