id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2783652331,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-03T16:56:57.881Z,2025-03-03T18:01:14Z,,,,,5555974881,30,"15fo180vixn0lb65fujttit3p, 8822s8ns7oyvjqade4oaxzg0l, 8ydi45wh0naevno6aos78vi09, 79b0b6eqck5vn4b3fawxsaok, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, d854rlweyk5wq6d2veyviukq2, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, cw6s5hf1tytvb98vjuosz9r6d, 39f0bq9uk4etkf75uzu6qyrmy, 6d0lxiep13vdv32bdb0xwyrys, 9pnirb3qt48zeui3su8cvu1ka, 6zhj070huc77sl5o5bx6ey5g4, 8ynqwlysks0dvn46ja7zq5vit, deyq3zqd0vwc821ngqldxqor9, 5733iw16239m83syv5dm8huj9, 52vwj2s29n7wngablotd7pboq",5555974883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5555974887,130,7,5555974889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555974893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5556075883,197,6292,5555974885,59,"32, 2, 20, 22, 12, 5, 21, 13, 18, 8, 15, 6, 9, 14, 17, 19, 23, 26, 30, 40",5555974891,194,6ul2nma4j0a7e2li6wyyrpal1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783652723,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-03T16:59:27.753Z,2025-03-03T17:56:21Z,,,,,5555977351,130,4,5555977353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5556065823,197,5111,5555977347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5555977355,194,bnar4f48vnx4oaz2lzch48es5,5555977349,59,"1, 31, 24, 10, 32, 4, 35, 7, 17, 28, 36, 5, 6, 8, 11, 16, 30, 37, 38, 43",5555977357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5555977345,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 2tthm6h5o033dz440e476rhbe, etz3rjq7chhaomst5u28nnff9, 506kxojakimt5s0v2c4q6b33e, bnar4f48vnx4oaz2lzch48es5, 2xp7fbcl6a4nua9jpm7b4k1sk, chteizjcvxpvze9p77gcttcoa, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 7z1pv1wezn5rydamnknklv2ay, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, d2itdjj8bx0aztqggfgv7amay, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 56sjqxlsf5iitgww0hogez8ph, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs, aiuhe3d7tyvihiu5ysnp2740k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670073,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-03T18:02:02.692Z,2025-03-04T01:11:14Z,,,,,5556078235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670067,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-03-03T18:02:02.692Z,2025-03-03T18:02:02Z,,,,,5556078211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670085,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.9,50.1,2025-03-03T18:02:02.693Z,2025-03-03T18:55:28Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5556078291,140,20.7,5556078295,212,30.7,5556078293,141,52.7,5556078297,213,3.08,5556078289,56,Back,5556078299,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670133,4,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,22.8,53.6,2025-03-03T18:02:07.628Z,2025-03-03T18:02:11Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5556078547,56,Back,5556078553,212,22.5,5556078555,213,5.43,5556078549,140,36.8,5556078551,141,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670185,5,1,1,0,8,9qsmopgutr7ut5g6workk8w4i,1,40.7,30.1,2025-03-03T18:02:11.405Z,2025-03-03T18:02:16Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5556078807,213,1.36,5556078805,212,20.6,5556078799,56,Back,5556078803,141,59.7,5556078801,140,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670207,6,1,1,0,16,9qsmopgutr7ut5g6workk8w4i,1,45.0,57.5,2025-03-03T18:02:19.085Z,2025-03-03T18:02:20Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5556078943,56,Center,5556078951,213,5.34,5556078945,140,51.7,5556078949,212,12.1,5556078947,141,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670213,7,1,1,0,17,9qsmopgutr7ut5g6workk8w4i,1,48.2,44.6,2025-03-03T18:02:20.382Z,2025-03-03T18:02:21Z,2xp7fbcl6a4nua9jpm7b4k1sk,N. Nartey,,,5556079013,212,10.9,5556079011,141,41.2,5556079009,140,38.1,5556079007,56,Back,5556079015,213,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670269,8,1,1,0,19,9qsmopgutr7ut5g6workk8w4i,1,38.1,41.2,2025-03-03T18:02:21.838Z,2025-03-03T18:02:27Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5556079317,141,60.8,5556079319,212,13.7,5556079321,213,1.32,5556079315,140,41.3,5556079313,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670297,9,1,1,0,23,9qsmopgutr7ut5g6workk8w4i,0,40.0,71.8,2025-03-03T18:02:26.432Z,2025-03-03T18:02:35Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5556079705,233,3,5556079453,141,73.5,5556079451,140,41.2,5556079709,286,,5556079703,236,,5556079455,212,1.7,5556079449,56,Back,5556079457,213,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783670259,3,74,1,0,23,anga7587r1zv4ey71ge9zxol3,1,66.5,14.7,2025-03-03T18:02:26.433Z,2025-03-03T18:02:35Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5556079695,56,Right,5556079717,233,9,5556079697,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
