id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2800655921,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-13T13:10:02.041Z,2025-04-13T13:56:59Z,,,,,5649311895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649311889,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649311899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649614705,194,3sadup8mjwu4dc96wz6lmixn9,5649311887,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 43q9ytkbmtk5y3tgv77v7pmg9, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 6jgd09iosfe5mn3tputmjx2ad, 5qvy65ckiigykkowpyco05zv9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590",5649311893,130,10,5649311897,197,14750,5649311891,59,"1, 2, 11, 19, 5, 14, 10, 6, 9, 31, 7, 3, 8, 16, 20, 22, 23, 29, 39, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800661513,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-13T13:13:54.927Z,2025-04-13T13:13:55Z,,,,,5649341747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649341739,130,4,5649341737,59,"1, 43, 55, 80, 4, 22, 19, 24, 18, 7, 41, 3, 13, 14, 15, 16, 21, 30, 38, 58",5649341741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5649341731,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, 1sdsqfn743j5tqem8ra7sppn8, e64kcio0848bpw39eedbjyd5g, c3sp1x0shf2b24rl5ike6v0iy, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, 8mcb1hiuk9rzf48cx3vj5i3th, 7yim2aepctujr2m4p20a97755, 78kzajya12k4sm0ebfl37d6ok, bewwsztrqoqdp5ttkxry0i1yi, 3w0gibs44axjxmmu96552oaqy, 4zrsiizdbzwwkmit3ta0f0dbe",5649341745,197,24384,5649341735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5649341743,194,a87w6l9zsbahdi4knm1347zs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714299,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-04-13T14:00:49.342Z,2025-04-13T16:50:17Z,,,,,5649627333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714321,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-13T14:00:49.342Z,2025-04-13T14:00:52Z,,,,,5649627445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714371,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.1,49.7,2025-04-13T14:00:49.343Z,2025-04-13T19:53:03Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5649627685,279,S,5649627677,141,45.0,5649627689,278,,5649627673,56,Back,5649627679,212,3.9,5649627675,140,47.9,5649627681,213,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714425,4,1,1,0,4,5rz9enoyknpg8ji78za5b82p0,1,48.0,48.3,2025-04-13T14:00:54.112Z,2025-04-13T14:55:23Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5649627955,212,29.4,5649627951,140,45.7,5649627957,213,1.65,5649627953,141,91.4,5649627947,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714443,5,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,0,56.1,82.6,2025-04-13T14:00:57.983Z,2025-04-13T14:00:58Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5649628051,56,Left,5649628057,212,23.2,5649628053,140,76.7,5649628055,141,95.0,5649628061,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714431,3,8,1,0,8,59as3grjvj19voay31j3yfgni,1,22.9,12.3,2025-04-13T14:00:58.167Z,2025-04-13T16:58:30Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5650625815,385,,5649627981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714455,4,5,1,0,9,59as3grjvj19voay31j3yfgni,0,19.4,-2.0,2025-04-13T14:00:59.156Z,2025-04-13T14:01:17Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5649628093,347,,5649629297,233,6,5649628091,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800714653,6,5,1,0,9,5rz9enoyknpg8ji78za5b82p0,1,80.6,102.0,2025-04-13T14:00:59.156Z,2025-04-13T14:30:23Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5649629285,233,4,5649629253,56,Left,5649629255,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
