id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2746902939,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-10T14:20:14.710Z,2024-11-10T15:02:26Z,,,,,5356497141,194,5f3wfx327z9hef9k9l37c90wl,5356200973,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356200967,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5356200969,59,"16, 18, 23, 13, 24, 2, 12, 28, 11, 17, 10, 1, 4, 6, 8, 14, 30, 32, 37, 55",5356200965,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, acp1ba2irpv5wfmxke7ucmaga, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 6d8194j12jdzgqk5uwcemecr8, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, auk14ut8cwaqop549u2zmfgt1, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, eq7tnnzwq0g9q4eac0o9t9xey, xyt0wq20toh97811t65vu4no, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5356497143,197,19904,5356200971,130,4,5356200975,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746909009,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-11-10T14:24:09.583Z,2024-11-10T20:26:38Z,,,,,5356234593,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5356234597,130,12,5356234599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356234595,59,"16, 43, 6, 22, 73, 4, 21, 24, 18, 25, 19, 1, 3, 13, 17, 20, 29, 41, 53, 55",5356496541,197,24384,5356234591,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8yfw9f74h0yfz51bkxxc8p39x, a87w6l9zsbahdi4knm1347zs9, 4fhpb0b8muboggvquj2pvsiqx, ddl5g7raihnc9s4u3wetz8v10, 78kzajya12k4sm0ebfl37d6ok, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, 10esz9pvzonegry7p78n3ce09, bwfg9frq2ecbzg7wlzqjtnv2s, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, bidudbkachfl6126lhlr254wk, 5cjx2i2perp5vr62en4cyer1m, e73sexp7kse0wlykdi7xcbg2c, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g, 7qgiqoaaarr6c2bs4yffqwju2, 8mn8apr6n7t7s6lx4d4vvdnca",5356234601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5356499411,194,a87w6l9zsbahdi4knm1347zs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960833,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-10T15:00:24.140Z,2024-11-10T18:49:27Z,,,,,5356518763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960847,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-11-10T15:00:24.140Z,2024-11-10T15:00:26Z,,,,,5356518817,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960913,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.4,50.1,2024-11-10T15:00:24.141Z,2024-11-10T15:00:41Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5356519147,213,3.48,5356519139,56,Back,5356519149,279,S,5356519143,141,38.0,5356519145,212,24.8,5356519141,140,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960935,4,1,1,0,5,cftj6g399tknheudaxsdpfdgb,1,25.7,35.7,2024-11-10T15:00:29.142Z,2024-11-10T15:10:14Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,,5356519329,213,0.67,5356519327,212,53.8,5356519323,140,65.9,5356519331,1,,5356519319,155,,5356519325,141,84.7,5356519321,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960947,5,44,1,0,7,cftj6g399tknheudaxsdpfdgb,1,65.4,70.0,2024-11-10T15:00:31.374Z,2024-11-10T16:58:02Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5356520059,286,,5356519379,56,Center,5356519433,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960955,3,44,1,0,7,59as3grjvj19voay31j3yfgni,0,34.6,30.0,2024-11-10T15:00:31.375Z,2024-11-10T16:58:03Z,78kzajya12k4sm0ebfl37d6ok,D. Castillo,,,5356519399,56,Back,5357424763,285,,5356519463,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746960975,6,1,1,0,7,cftj6g399tknheudaxsdpfdgb,1,66.8,73.6,2024-11-10T15:00:31.934Z,2024-11-10T19:48:17Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,,,5356519535,56,Left,5356519551,213,2.58,5356519543,141,80.5,5356519533,3,,5356519539,140,59.7,5356519547,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746961013,7,1,1,0,10,cftj6g399tknheudaxsdpfdgb,1,56.4,82.0,2024-11-10T15:00:34.286Z,2024-11-10T19:48:24Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,,5358379491,3,,5356519709,56,Left,5356519713,140,69.8,5356519719,212,14.2,5356519721,213,6.13,5356519717,141,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
