id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2804387717,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-21T10:59:46.492Z,2025-04-21T12:08:44Z,,,,,5669845967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669845969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669845959,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, dyzzo6n83rg4fpvmqqa69moes, vrzye4jqrafujmjw3wakjpxw, 5m27f84vvraap8bmfujt1qiok, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, 9qskwuil30g48xr3ax5p9j6j9, 96uzhuuez4q5pgxb566ryk53p, wnin2353js3p5rh4d7e2ymwa, 73lwz4he5erpp25zi8crjvztg, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, dacr7r8nr09ke3o8dhqmdrklw, 95nyhb9eanuobgbkdccyrwob8",5669845963,59,"1, 18, 30, 13, 24, 55, 15, 12, 14, 7, 27, 2, 3, 6, 10, 16, 17, 19, 26, 33",5669845961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669847699,194,5f3wfx327z9hef9k9l37c90wl,5669924387,197,19904,5669845965,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804388885,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-21T11:03:50.877Z,2025-04-21T16:44:33Z,,,,,5669851015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669851011,59,"40, 23, 20, 5, 6, 12, 14, 13, 18, 8, 21, 2, 4, 15, 19, 22, 26, 27, 29, 32",5669924085,197,21353,5669851019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669851007,30,"52vwj2s29n7wngablotd7pboq, 8ynqwlysks0dvn46ja7zq5vit, 8ydi45wh0naevno6aos78vi09, 5is9bcj143orulo4biogwxzl6, cw6s5hf1tytvb98vjuosz9r6d, 6ul2nma4j0a7e2li6wyyrpal1, 6d0lxiep13vdv32bdb0xwyrys, d854rlweyk5wq6d2veyviukq2, 8gdfn7j6xac9p4jh94hk40jdg, b13l1wrb747y9cdc8wqltan6d, bpw4cd5vmghjhelb3uxupmqjt, 8822s8ns7oyvjqade4oaxzg0l, 2wwpfsducpmryacr17y8k70iy, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, deyq3zqd0vwc821ngqldxqor9, 6miatayfy07pf4og7qc7c7pqs, cty7nsrs5yn785m330c2gbwq2, 15fo180vixn0lb65fujttit3p",5669851013,130,11,5669851009,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669851017,194,6ul2nma4j0a7e2li6wyyrpal1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402587,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2025-04-21T12:00:08.413Z,2025-04-21T12:00:08Z,,,,,5669930037,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402591,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-21T12:00:08.413Z,2025-04-21T16:42:40Z,,,,,5669930061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402605,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,49.9,50.4,2025-04-21T12:00:08.414Z,2025-04-21T12:00:12Z,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,,,5669930105,56,Back,5669930111,212,28.8,5669930115,279,S,5669930109,141,71.7,5669930113,213,2.61,5669930107,140,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402615,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,25.7,66.1,2025-04-21T12:00:11.994Z,2025-04-21T12:00:16Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5669930183,56,Center,5669930185,140,74.3,5669930191,213,5.76,5669930189,212,59.0,5669930187,141,22.5,5669930193,1,,5669930181,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402619,3,44,1,0,7,cftj6g399tknheudaxsdpfdgb,1,24.3,79.4,2025-04-21T12:00:15.761Z,2025-04-21T12:53:41Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5669930203,285,,5669930201,56,Back,5669930207,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402617,5,44,1,0,7,anga7587r1zv4ey71ge9zxol3,0,75.7,20.6,2025-04-21T12:00:15.762Z,2025-04-21T12:53:41Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5669930199,286,,5669930211,233,3,5669930197,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402623,4,12,1,0,7,cftj6g399tknheudaxsdpfdgb,1,21.8,82.5,2025-04-21T12:00:16.158Z,2025-04-21T17:12:13Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5669930227,56,Back,5669930233,212,18.0,5669930229,140,9.7,5671325169,167,,5669930231,141,100.0,5669930235,213,2.35,5671325167,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402627,5,5,1,0,9,cftj6g399tknheudaxsdpfdgb,0,12.2,101.4,2025-04-21T12:00:17.842Z,2025-04-21T12:51:47Z,eq7tnnzwq0g9q4eac0o9t9xey,S. Kuzmić,,,5669930829,233,6,5669930255,56,Back,5669930257,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
