id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2740022085,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-27T14:03:25.967Z,2024-10-27T15:06:23Z,,,,,5318683841,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, wnin2353js3p5rh4d7e2ymwa, auk14ut8cwaqop549u2zmfgt1, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 9o10vhew3jar8tqnkabw0qoyx, 5m27f84vvraap8bmfujt1qiok, 7w7ufa4v85hmj1qxnmqc4zgiy, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, akxcr1xe62dyl5jmh3ataq13o, 6d8194j12jdzgqk5uwcemecr8, acp1ba2irpv5wfmxke7ucmaga, eq7tnnzwq0g9q4eac0o9t9xey, dhc4ni9kqr758h17hwo6pq9zo, xyt0wq20toh97811t65vu4no, b6q0tf252xvikt39g8jevju38, bp2ellllifbtxgf0p8qlbm1nt",5318683847,59,"16, 18, 24, 6, 4, 2, 12, 19, 14, 8, 10, 1, 11, 17, 23, 30, 31, 32, 37, 55",5318683851,130,4,5318683845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5319041755,197,19904,5319041753,194,4n3t1p3zn5yzjv4w0clo3xvjd,5318683855,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318683859,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740022895,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-27T14:04:06.140Z,2024-10-27T15:02:41Z,,,,,5319041585,194,5j9d1plbsd5ic01r3ggziutwp,5318688285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5318688293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5318688289,130,4,5318688283,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, 3ejggtt1du1cui3wc1f8oqx62, adg5dfvzxjrzlz1n2jsfeyx3o, 94560hgwsjkx8qgz48f7gzitw, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50, v5l81gxg2i8p5imhugkqiexg",5318688291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5319041587,197,23448,5318688287,59,"16, 22, 23, 6, 12, 4, 7, 8, 15, 25, 24, 5, 9, 11, 17, 18, 20, 26, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091759,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-10-27T15:01:48.847Z,2024-10-27T15:01:51Z,,,,,5319064915,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091771,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-10-27T15:01:48.847Z,2024-10-27T17:59:33Z,,,,,5319064969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091779,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.9,50.3,2024-10-27T15:01:49.522Z,2024-10-27T15:01:52Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5319064995,212,12.7,5319064993,141,47.7,5319064999,279,S,5319064989,56,Back,5319064997,213,3.28,5319064991,140,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091837,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,1,38.3,47.7,2024-10-27T15:01:52.674Z,2024-10-27T15:01:53Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5319065333,141,65.3,5319065335,212,15.9,5319065337,213,2.29,5319065331,140,28.3,5319065329,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091867,5,1,1,0,5,aljua8crr0vkwit0j3m59jw9j,1,28.3,65.3,2024-10-27T15:01:54.401Z,2024-10-27T15:01:56Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319065535,140,13.9,5319065529,56,Back,5319065547,212,17.8,5319065543,141,51.4,5319065551,213,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740091915,6,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,1,13.9,53.0,2024-10-27T15:01:57.170Z,2024-10-27T15:01:58Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5319065741,213,1.20,5319065729,56,Back,5319065733,140,19.0,5319065739,212,14.9,5319065737,141,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092009,7,1,1,0,10,aljua8crr0vkwit0j3m59jw9j,1,21.1,75.1,2024-10-27T15:01:59.538Z,2024-10-27T15:02:04Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319066299,157,,5319066305,141,82.2,5319066311,1,,5319066303,140,68.0,5319066309,213,0.10,5319066301,56,Left,5319066307,212,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092011,8,61,1,0,14,aljua8crr0vkwit0j3m59jw9j,0,67.6,79.3,2024-10-27T15:02:03.539Z,2024-10-27T15:55:23Z,94560hgwsjkx8qgz48f7gzitw,O. Hyseni,,,5319066315,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092047,4,1,1,0,16,cftj6g399tknheudaxsdpfdgb,0,37.7,49.9,2024-10-27T15:02:04.859Z,2024-10-27T15:02:07Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,,5319066495,157,,5319066503,212,51.5,5319066505,213,0.01,5319066499,140,86.7,5319066507,1,,5319066501,141,50.4,5319066497,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092061,9,52,1,0,20,aljua8crr0vkwit0j3m59jw9j,1,13.7,56.5,2024-10-27T15:02:09.571Z,2024-10-27T18:00:12Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5320168571,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092125,10,1,1,0,22,aljua8crr0vkwit0j3m59jw9j,1,15.2,56.0,2024-10-27T15:02:11.123Z,2024-10-27T15:02:13Z,c7gwbtdqptxjtu3tn3xctvit,J. Busk,,,5319066945,140,28.5,5319066941,123,,5319066949,212,14.7,5319066943,56,Back,5319066947,141,62.6,5319066953,213,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092167,11,1,1,0,24,aljua8crr0vkwit0j3m59jw9j,1,28.8,64.7,2024-10-27T15:02:13.570Z,2024-10-27T15:02:15Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319067189,212,19.2,5319067191,213,1.39,5319067187,141,92.4,5319067183,56,Back,5319067185,140,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092229,12,1,1,0,26,aljua8crr0vkwit0j3m59jw9j,1,32.6,94.5,2024-10-27T15:02:15.603Z,2024-10-27T15:02:17Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5319067457,213,4.10,5319067451,140,23.1,5319067449,56,Back,5319067455,212,17.3,5319067453,141,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740092259,13,1,1,0,29,aljua8crr0vkwit0j3m59jw9j,1,21.3,71.9,2024-10-27T15:02:18.434Z,2024-10-27T15:02:19Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5319067627,141,55.6,5319067623,56,Back,5319067629,212,13.6,5319067631,213,4.09,5319067625,140,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
