id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2801939211,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-16T16:08:56.875Z,2025-04-16T17:00:06Z,,,,,5656483801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656483795,59,"1, 3, 19, 6, 25, 4, 21, 20, 23, 17, 10, 2, 7, 8, 9, 14, 26, 30, 36, 41",5656483797,130,9,5656505893,197,6293,5656483799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656483793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5656483791,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, 4qo7eu3xwhkpssbuyk4n70fe1, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, 9kjdw81u1rprgi5j8f92afaqc, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5656484139,194,b2492j7qzdo7g3ysxz6gq4g5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939227,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-16T16:10:50.427Z,2025-04-16T17:06:13Z,,,,,5656484049,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, brinkgys7026490q3ixx6h9uc, ejixz16616b7krftxyzv9yiac, 2k8bmlxzt0qi7divtxye0a5ii, 5vrsflxiv2dgfa8199a2qxsve, 1arzd8hqj73byhduozscqz5uy, 3q4tnk1z46lop4rbdpjtfoc2c, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, rv6r0bwbl75er38wklyfpsr9, 5lz41celw55rz3zh8pohclw5w, 8bi1tlz62rjwyak4pnnzgp562, bm3k1knugkwa8z319dscr2yhg, 5521epytthhw9afm2r3jn3384, 697f50qoetodmfe8ybcuey2ac, 3tka46re2gsi9uw7pbxx5m0pg",5656484057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656504227,197,17331,5656484055,130,23,5656484171,194,1arzd8hqj73byhduozscqz5uy,5656484053,59,"1, 20, 14, 16, 4, 24, 21, 23, 27, 11, 8, 5, 6, 9, 10, 17, 26, 28, 33, 40",5656484051,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5656484059,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942533,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-16T17:00:42.908Z,2025-04-16T20:10:26Z,,,,,5656506243,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942529,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-04-16T17:00:42.908Z,2025-04-16T17:00:43Z,,,,,5656506215,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942531,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,49.9,49.7,2025-04-16T17:00:42.909Z,2025-04-16T17:00:46Z,2k8bmlxzt0qi7divtxye0a5ii,I. Hansen-Aarøen,,,5656506233,141,44.2,5656506229,56,Back,5656506231,140,40.6,5656506239,279,S,5656506237,213,3.51,5656506235,212,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942535,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,1,38.8,44.6,2025-04-16T17:00:46.159Z,2025-04-16T17:00:47Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,,5656506257,212,13.7,5656506255,141,58.8,5656506253,140,29.6,5656506251,56,Back,5656506259,213,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942545,5,1,1,0,4,36g6ifzjliec1jqnbtf7yesme,1,29.6,58.8,2025-04-16T17:00:47.599Z,2025-04-16T17:00:50Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5656506335,140,30.1,5656506339,212,22.6,5656506333,56,Back,5656506337,141,25.6,5656506341,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942547,6,1,1,0,6,36g6ifzjliec1jqnbtf7yesme,1,31.0,28.6,2025-04-16T17:00:49.903Z,2025-04-16T17:00:55Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5656506355,212,21.9,5656506357,213,1.72,5656506349,56,Back,5656506353,141,60.5,5656506351,140,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942549,7,1,1,0,12,36g6ifzjliec1jqnbtf7yesme,1,40.9,67.8,2025-04-16T17:00:55.663Z,2025-04-16T17:01:00Z,brinkgys7026490q3ixx6h9uc,N. Arnórsson,,,5656506365,141,28.2,5656506369,213,4.40,5656506367,212,28.3,5656506363,140,32.7,5656506361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801942559,8,1,1,0,17,36g6ifzjliec1jqnbtf7yesme,1,35.3,17.4,2025-04-16T17:00:59.967Z,2025-04-16T17:01:06Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,,5656506419,56,Right,5656506425,212,40.1,5656506427,213,6.04,5656506429,1,,5656506423,141,3.2,5656506421,140,72.4,5656506417,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
