id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/13/value,qualifier/15/value,qualifier/16/value
2747073491,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-10T16:16:33.720Z,2024-11-10T17:01:02Z,,,,,5357133631,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 7je01bs3a4q6c2gd02ee6da3u, 9trvbmdwo8fkndwjz9mr1bfmx, bz77hr28a1yskifpuvzu8smsq, 5qvy65ckiigykkowpyco05zv9, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh, 3l3v5wj4c7vtqqwu05b526590",5357133641,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5357439883,197,14750,5357440529,194,3sadup8mjwu4dc96wz6lmixn9,5357133639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5357133635,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 13, 15, 20, 23, 26, 27, 29, 40",5357133633,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5357133637,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747079047,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-10T16:20:22.330Z,2024-11-10T17:00:42Z,,,,,5357429037,197,792,5357429035,194,8g4r9maz4invihjmdzpfxy0np,5357163841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5357163843,59,"21, 22, 2, 12, 6, 5, 17, 27, 14, 7, 10, 1, 8, 9, 11, 13, 15, 16, 19, 36",5357163847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5357163849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5357163845,130,8,5357163839,30,"bl9em2c9quspd4afzwqn81xxw, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, al9l7egkwbc0pv68zk42gegut, ayqy2vql1oumokqly9ahfrnx1, 4cbaoo2irqtme9goxuz6s3ey2, c9u2w9ikckbrra8vln2ucbf9w, 4gqnyyx3i92fayq6cxvekqwut, 7hw1plnv7nvxnqpnfnxcxszpx, 8g4r9maz4invihjmdzpfxy0np, 6tckvu2rw7ns18dq7dim0sout, ckhhpn9ppgvlrtubf7li3se09, 8inyievyp1az6q3dtlkpynf56, babnrlnt04mal0268p9dxas8a, aahyom322jdc6f21960ycuzth, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, bbezbukg20q5b6kfnjuzhs55g, 823p7p1amx8lp445bo6bi01lg, ftw3io63hk5vuoa3lyfgowes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130633,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-10T17:02:12.858Z,2024-11-10T17:02:15Z,,,,,5357447091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130627,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-11-10T17:02:12.858Z,2024-11-10T17:02:13Z,,,,,5357447073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130677,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,49.9,50.0,2024-11-10T17:02:12.859Z,2024-11-10T17:02:15Z,8g4r9maz4invihjmdzpfxy0np,V. Claesson,,,5357447277,212,20.5,5357447281,279,S,5357447273,140,30.4,5357447279,213,3.17,5357447275,141,49.0,5357447271,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130729,4,1,1,0,2,b3r6d8ydtmtjckam6pku9y400,1,29.7,49.0,2024-11-10T17:02:15.853Z,2024-11-10T17:50:15Z,4cbaoo2irqtme9goxuz6s3ey2,Gabriel Pereira,,,5357447583,213,5.08,5357447565,56,Back,5357447575,141,20.7,5357447569,140,36.8,5357447579,212,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130771,5,1,1,0,5,b3r6d8ydtmtjckam6pku9y400,0,36.8,20.6,2024-11-10T17:02:18.510Z,2024-11-10T17:02:20Z,9ic9msq3tj4gx8wqa6wfwk50q,G. Gocholeishvili,,,5357447847,155,,5357447851,140,73.1,5357447849,56,Center,5357447855,212,41.0,5357447859,1,,5357447857,213,0.38,5357447853,141,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130791,3,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,32.2,49.7,2024-11-10T17:02:20.781Z,2024-11-10T17:02:22Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5357448003,213,0.22,5357447999,141,52.5,5357447995,56,Back,5357447997,140,40.4,5357448001,212,8.8,5357447993,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130833,6,1,1,0,10,b3r6d8ydtmtjckam6pku9y400,1,59.6,43.3,2024-11-10T17:02:22.925Z,2024-11-10T17:02:25Z,al9l7egkwbc0pv68zk42gegut,L. Lerager,,,5357448257,140,58.7,5357448261,212,15.3,5357448259,141,65.7,5357448263,213,1.63,5357448255,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747130841,7,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,0,58.7,65.7,2024-11-10T17:02:25.006Z,2024-11-10T17:02:25Z,4gqnyyx3i92fayq6cxvekqwut,T. Delaney,,,5357448305,56,Center,5357448309,141,77.5,5357448301,155,,5357448313,213,0.42,5357448311,212,19.5,5357448307,140,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
