id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2789296603,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-16T15:09:51.808Z,2025-03-16T16:01:14Z,,,,,5587184173,197,23447,5586920587,59,"16, 20, 23, 6, 12, 5, 7, 8, 10, 25, 15, 1, 2, 9, 11, 17, 24, 26, 31, 28",5586920593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586920583,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, 33sxiwcjeqcop3ukuok86ujmd, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, a8opuarwq9byw73nhfgvo9nca, adg5dfvzxjrzlz1n2jsfeyx3o, 3ejggtt1du1cui3wc1f8oqx62, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 6gh4z3yubnpypzoakjom1rj3e, 94560hgwsjkx8qgz48f7gzitw, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50, 6je6y9uk6km1tkzatpw8v9p1w",5587190601,194,5j9d1plbsd5ic01r3ggziutwp,5586920591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586920589,130,4,5586920585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789306465,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-16T15:19:01.439Z,2025-03-16T16:04:11Z,,,,,5586974993,59,"1, 20, 6, 23, 4, 13, 17, 8, 10, 26, 11, 5, 16, 19, 21, 22, 27, 33, 28, 25",5587183761,197,1731,5586974997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5587217031,194,1arzd8hqj73byhduozscqz5uy,5586974995,130,5,5586974999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5586974991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5586974989,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, 8mkrj5bnkyhx8kutc4656cy96, 2k8bmlxzt0qi7divtxye0a5ii, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, 5lz41celw55rz3zh8pohclw5w, bm3k1knugkwa8z319dscr2yhg, 1arzd8hqj73byhduozscqz5uy, bcdp9e3dezuaybm8ndrsanbx0, 6v1kpakd3t0jhnoh1eh75ev4k, 20g27z0cklenjg7k0ox73wyc5, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 697f50qoetodmfe8ybcuey2ac, 5521epytthhw9afm2r3jn3384, 2s4umgp3yqnb2hubfoaxhwr2s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348893,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-03-16T16:02:16.696Z,2025-03-17T05:15:00Z,,,,,5587204753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348907,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2025-03-16T16:02:16.696Z,2025-03-16T16:02:19Z,,,,,5587204809,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348957,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,49.6,50.1,2025-03-16T16:02:16.697Z,2025-03-17T04:36:50Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5587205027,212,18.3,5587205021,56,Back,5587205031,279,S,5587205029,213,2.86,5587205025,141,57.6,5587205023,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789348989,4,1,1,0,2,aljua8crr0vkwit0j3m59jw9j,1,36.2,63.2,2025-03-16T16:02:18.837Z,2025-03-17T04:36:19Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5587205225,213,1.85,5587205223,212,21.9,5587205219,140,30.5,5587205217,56,Back,5587205221,141,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349073,5,1,1,0,4,aljua8crr0vkwit0j3m59jw9j,1,28.9,97.1,2025-03-16T16:02:20.977Z,2025-03-17T04:36:55Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5587205703,213,4.27,5587205699,141,75.0,5587205695,56,Back,5587205697,140,22.1,5587205701,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349141,6,1,1,0,8,aljua8crr0vkwit0j3m59jw9j,1,17.9,77.3,2025-03-16T16:02:25.305Z,2025-03-17T04:36:59Z,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,,,5587206069,140,10.0,5587206073,212,19.7,5587206071,141,51.1,5587206067,56,Back,5587206075,213,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349227,7,1,1,0,11,aljua8crr0vkwit0j3m59jw9j,1,7.1,50.9,2025-03-16T16:02:28.586Z,2025-03-17T04:37:07Z,dcocgxtuabo0rwzwukvqky9uy,M. Bundgaard,,,5587206641,1,,5587206633,140,46.0,5587206637,212,47.0,5589580547,155,,5587206635,141,16.8,5587206639,213,5.77,5587206631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789349241,8,44,1,0,16,aljua8crr0vkwit0j3m59jw9j,1,43.7,13.0,2025-03-16T16:02:32.930Z,2025-03-16T16:02:37Z,d88feog3dgv09oxbzn15xqesq,T. Klysner,,,5587206707,285,,5587206695,56,Back,5587206703,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
