id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2816562543,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-18T15:05:14.397Z,2025-05-18T16:04:22Z,,,,,5737069743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737069739,130,2,5737380055,194,8cox96ikk1k4c24f0y5ef45x,5737069737,59,"1, 27, 44, 28, 3, 4, 17, 6, 90, 10, 9, 7, 11, 14, 15, 16, 24, 25, 26, 30",5737069735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5737375999,197,4650,5737069733,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 9yuyz4ci6wqikd6ckjstbt2i1, ag40mk09zc8tzbkr7dnnqumay, 606hufq6dapf3qxcgilbc8tt5, 1329qhvvxpp6j4q5esh4n3hii, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 4vfbiav52mg5s9vnx53f0nhuc",5737069741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816569933,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-18T15:09:19.546Z,2025-05-18T16:19:16Z,,,,,5737103445,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5737103459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737385333,194,al9l7egkwbc0pv68zk42gegut,5737103439,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, dux0skggr99ydjz3kn58p3wmh, c9u2w9ikckbrra8vln2ucbf9w, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, aahyom322jdc6f21960ycuzth, al9l7egkwbc0pv68zk42gegut, 6tckvu2rw7ns18dq7dim0sout, 7hw1plnv7nvxnqpnfnxcxszpx, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 8inyievyp1az6q3dtlkpynf56, 823p7p1amx8lp445bo6bi01lg, 9ic9msq3tj4gx8wqa6wfwk50q, 2ubad2kxha6n1c8c8sr2ogmad, rq6npjy37kolscu8lrj4r2dx, ftw3io63hk5vuoa3lyfgowes",5737103457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5737103453,130,2,5737103447,59,"41, 13, 15, 17, 5, 6, 11, 12, 10, 14, 30, 1, 4, 7, 8, 19, 22, 24, 33, 36",5737377033,197,27262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622779,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-18T16:02:13.033Z,2025-05-18T20:16:37Z,,,,,5737389919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622785,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-05-18T16:02:13.033Z,2025-05-18T16:02:14Z,,,,,5737389941,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622805,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.3,49.9,2025-05-18T16:02:13.034Z,2025-05-18T16:02:16Z,606hufq6dapf3qxcgilbc8tt5,S. Nordli,,,5737390033,279,S,5737390027,141,57.6,5737390029,212,17.6,5737390031,213,2.84,5737390025,140,34.3,5737390023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622835,4,1,1,0,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.1,58.5,2025-05-18T16:02:16.542Z,2025-05-18T16:02:20Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5737390203,141,64.9,5737390205,212,10.3,5737390207,213,0.44,5737390201,140,41.0,5737390199,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622855,5,1,1,0,7,9w3sjm5ml4sjr2v81oxzdrt8v,0,43.4,66.9,2025-05-18T16:02:20.078Z,2025-05-18T16:02:22Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5737390311,213,5.65,5737390307,212,61.9,5737390295,56,Right,5737390299,140,91.0,5737390291,155,,5737390303,141,13.2,5737390315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622865,3,12,1,0,10,b3r6d8ydtmtjckam6pku9y400,1,1.1,89.0,2025-05-18T16:02:23.059Z,2025-05-18T16:02:24Z,dux0skggr99ydjz3kn58p3wmh,M. López,,,5737390381,15,,5737390361,141,94.1,5737390359,140,17.2,5737390363,212,17.3,5737390357,56,Back,5737390365,213,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622921,5,1,1,0,12,b3r6d8ydtmtjckam6pku9y400,0,11.9,93.6,2025-05-18T16:02:25.742Z,2025-05-18T16:02:28Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5737390659,213,4.40,5737390655,141,79.5,5737390653,140,9.0,5737390651,56,Back,5737390657,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816773703,884,8,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,87.7,16.1,2025-05-18T16:02:26.562Z,2025-05-18T19:10:15Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5738238087,384,,5738236949,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622903,6,43,1,0,13,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-18T16:02:26.718Z,2025-05-18T16:53:52Z,9yuyz4ci6wqikd6ckjstbt2i1,S. Odey,,,5737635173,144,8,5737390571,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622935,8,1,1,0,15,9w3sjm5ml4sjr2v81oxzdrt8v,0,95.7,15.0,2025-05-18T16:02:28.654Z,2025-05-18T19:10:29Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5738239341,224,,5737390721,141,38.5,5737390715,140,92.6,5737390713,56,Center,5737390709,2,,5737390723,212,16.3,5737390725,213,1.77,5738239345,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622983,6,12,1,0,17,b3r6d8ydtmtjckam6pku9y400,1,5.7,62.4,2025-05-18T16:02:30.223Z,2025-05-18T16:51:25Z,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,5737390987,213,1.62,5737390981,140,5.3,5737390979,56,Back,5737390985,212,9.3,5737390983,141,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816622957,9,3,1,0,17,9w3sjm5ml4sjr2v81oxzdrt8v,0,93.6,30.2,2025-05-18T16:02:31.032Z,2025-05-18T19:10:35Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5738239841,465,,5737627977,233,406,5737390831,286,,5737390829,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
