id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2786100563,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-09T13:54:09.752Z,2025-03-09T15:06:46Z,,,,5569732533,197,14750,5569388487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569388485,194,3sadup8mjwu4dc96wz6lmixn9,5569388481,130,12,5569388483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569388477,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569388479,59,"1, 8, 11, 3, 5, 14, 10, 7, 9, 31, 6, 2, 15, 16, 19, 22, 23, 29, 39, 40",5569388475,30,"1h31bvtbae4q0edlp0u672hn9, 61sojkdsmaz9hbwaskt4rws15, 4vmgmzg2004twoc39sk7zkzqh, e9lrzsiy94y46h62rnawi3sgl, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, 7je01bs3a4q6c2gd02ee6da3u, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, aswmi1pnkzkvkexp8ngief6j9, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, cgkvw4q8ddcjl0po181upzwx6, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 76av5tb8cxhmr0yh3pbmk8npw, 3l3v5wj4c7vtqqwu05b526590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786103683,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-09T14:00:15.558Z,2025-03-09T15:03:15Z,,,,5569405093,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, 96uzhuuez4q5pgxb566ryk53p, 95nyhb9eanuobgbkdccyrwob8, 4n3t1p3zn5yzjv4w0clo3xvjd, bp2ellllifbtxgf0p8qlbm1nt, 9o10vhew3jar8tqnkabw0qoyx, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, c9kn2pfftaimeqknbu9p8neok, b6q0tf252xvikt39g8jevju38, xyt0wq20toh97811t65vu4no, eq7tnnzwq0g9q4eac0o9t9xey, dacr7r8nr09ke3o8dhqmdrklw, 6d8194j12jdzgqk5uwcemecr8, dk9nlp77b6q38p751f8w3o8np, dyzzo6n83rg4fpvmqqa69moes, 5m27f84vvraap8bmfujt1qiok, 7w7ufa4v85hmj1qxnmqc4zgiy",5569734627,194,4n3t1p3zn5yzjv4w0clo3xvjd,5569405101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569405103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569405099,130,4,5569405097,59,"1, 18, 3, 33, 24, 55, 19, 12, 11, 7, 27, 37, 32, 30, 26, 17, 16, 15, 14, 8",5569405095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569732581,197,19904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166287,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-03-09T15:01:48.817Z,2025-03-09T15:01:51Z,,,,5569743815,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166285,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-03-09T15:01:48.817Z,2025-03-09T18:58:12Z,,,,5569743807,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166293,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.0,49.9,2025-03-09T15:01:48.822Z,2025-03-09T15:02:50Z,9o10vhew3jar8tqnkabw0qoyx,J. Lonwijk,,5569743849,212,27.7,5569743851,213,3.37,5569743847,141,40.8,5569743843,56,Back,5569743845,140,24.3,5569743853,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166367,4,1,1,0,4,cftj6g399tknheudaxsdpfdgb,0,26.0,37.0,2025-03-09T15:01:53.342Z,2025-03-09T15:01:57Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5569744261,1,,5569744253,141,81.5,5569744249,56,Left,5569744251,140,73.7,5569744247,157,,5569744255,212,58.5,5569744257,213,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786389741,934,44,1,0,7,5rz9enoyknpg8ji78za5b82p0,1,29.7,16.1,2025-03-09T15:01:55.873Z,2025-03-09T18:59:07Z,8xrco8qhcvplvc3wmcschoi22,T. Mølgaard,,5570974259,56,Back,5570974265,233,812,5570974263,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786389737,812,44,1,0,7,cftj6g399tknheudaxsdpfdgb,0,70.3,83.9,2025-03-09T15:01:55.874Z,2025-03-09T18:59:06Z,c9kn2pfftaimeqknbu9p8neok,Y. Njoh,,5570974287,233,934,5570974227,56,Left,5570974229,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166375,3,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,28.7,21.0,2025-03-09T15:01:55.892Z,2025-03-09T20:39:46Z,8xrco8qhcvplvc3wmcschoi22,T. Mølgaard,,5569744293,56,Back,5569744297,141,19.1,5569744299,212,15.8,5569744291,3,,5569744301,213,6.20,5569744295,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786166415,5,1,1,0,10,cftj6g399tknheudaxsdpfdgb,1,51.6,88.3,2025-03-09T15:01:59.262Z,2025-03-09T18:59:26Z,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,5570975763,155,,5569744511,140,61.3,5569744515,212,10.8,5569744517,213,0.34,5569744513,141,93.6,5569744509,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
