id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2713273169,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-25T13:00:58.644Z,2024-08-25T14:31:05Z,,,,,5172309561,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, dux0skggr99ydjz3kn58p3wmh, 7xc0qldxpidl07vij2wgu1sk5, w0wt7gjkdddn63a4258j8frp, 4cbaoo2irqtme9goxuz6s3ey2, c9u2w9ikckbrra8vln2ucbf9w, 8inyievyp1az6q3dtlkpynf56, euur9yvhgrieu4kl0vdkh244q, 6tckvu2rw7ns18dq7dim0sout, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, al9l7egkwbc0pv68zk42gegut, bbezbukg20q5b6kfnjuzhs55g, quh8tfvwi106toymoh38tbrp, rq6npjy37kolscu8lrj4r2dx, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg",5172309573,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172309571,194,7xc0qldxpidl07vij2wgu1sk5,5172309567,130,4,5172309563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5172564149,197,790,5172309569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5172309565,59,"1, 22, 15, 2, 3, 5, 47, 8, 18, 10, 30, 4, 7, 12, 16, 31, 33, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713274465,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-25T13:02:29.573Z,2024-08-25T17:39:49Z,,,,,5172315627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5172315643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172315639,194,55gunqozsj8gs6oua7ee5xxhx,5172315635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172795633,197,4597,5172315625,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, 6rd6a2f1k124dzp1p904yq3h0, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 4cubrfqgrc5ivbd6fdj3k3zf8, 5uqf7a0y0fd1hf2rrmgx11tuy, 3nok8qxxj2zl831wgvc7abxuc, 4rgz5z372h6sbwhpxl69cb6c5, 7a1vtc0e7ubua2t0dwx9ufk7o, 76k8ic97o66kaq2e52bmp27ai, 9qebp1745dtdjh5kg5n4wfq7e, 179f3j88wnmze82aicikkez9, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs, alic8z5h7h9qlr1p4ujvc3ris",5172315631,130,4,5172315629,59,"13, 2, 5, 21, 4, 19, 8, 10, 9, 7, 14, 11, 12, 15, 18, 20, 24, 32, 38, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321445,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-25T14:00:56.279Z,2024-08-25T17:38:58Z,,,,,5172571527,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321463,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-25T14:00:56.279Z,2024-08-25T14:00:57Z,,,,,5172571601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321483,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,49.9,50.1,2024-08-25T14:00:56.280Z,2024-08-25T17:43:30Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5172571739,213,3.18,5172571735,141,49.7,5172571741,279,S,5172571731,56,Back,5173691289,278,,5172571733,140,42.6,5172571737,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321525,4,1,1,0,2,77tfx9me4aaqhzv78bmgsy9bg,1,41.8,50.9,2024-08-25T14:00:59.065Z,2024-08-25T14:01:03Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5172571977,213,1.96,5172571973,141,71.7,5172571969,56,Back,5172571975,212,15.3,5172571971,140,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321551,5,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,33.8,66.3,2024-08-25T14:01:03.657Z,2024-08-25T14:01:06Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5172572151,213,4.36,5172572147,141,41.2,5172572143,56,Back,5172572145,140,27.9,5172572149,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321569,6,1,1,0,10,77tfx9me4aaqhzv78bmgsy9bg,0,24.8,38.5,2024-08-25T14:01:06.303Z,2024-08-25T14:01:08Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5172572251,213,5.74,5172572257,236,,5172572243,56,Back,5172572247,141,37.3,5172572249,212,1.6,5172572259,233,3,5172572245,140,26.1,5172572263,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321547,3,74,1,0,10,b3r6d8ydtmtjckam6pku9y400,1,67.5,63.6,2024-08-25T14:01:06.304Z,2024-08-25T17:43:41Z,euur9yvhgrieu4kl0vdkh244q,O. Óskarsson,,,5172572271,233,6,5172572137,285,,5172572135,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713321597,7,1,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,0,18.3,1.9,2024-08-25T14:01:08.905Z,2024-08-25T14:01:10Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5172572453,286,,5172572397,212,3.1,5172572393,140,21.2,5172572391,56,Back,5172572445,236,,5172572399,213,6.17,5172572395,141,1.4,5172572449,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
