id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2751165489,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-24T12:09:05.445Z,2024-11-24T13:00:19Z,,,,,5379538603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379538593,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 2mawaijd9czgtd5jh9myk434l, 1329qhvvxpp6j4q5esh4n3hii, 6w9yjs87tue7noq71ftksxez8, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, ag40mk09zc8tzbkr7dnnqumay, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5379712589,197,4650,5379538597,59,"1, 27, 44, 6, 3, 4, 17, 28, 7, 19, 9, 5, 10, 14, 15, 16, 18, 25, 30, 90",5379538595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379538601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379712889,194,8cox96ikk1k4c24f0y5ef45x,5379538599,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751167381,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-24T12:12:35.150Z,2024-11-24T12:59:36Z,,,,,5379549473,130,8,5379709993,197,12608,5379549479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379549467,30,"53y263xxfdf1itytiqhg3v6c5, 9s85lkd1qi525r4horgbtostl, 6xjbcik3a56d0vqy4vrq5eokp, 2anc9ug5nr25khmtcc4id2pxx, 6ylzm57bvpufg3cenadtv7qhh, 7hukebiijqntuvetwzralzuju, 1hbucfyn2l3bxcw5r4zcb1dlg, 22zuxw8lez5w4vjd8spzzysyc, 22760086vtvx2xulry32q21hw, 1yqlkot5sh85ot3eemo67djv9, 94hei5v2f93ga4b0iwxxisbu1, 1xjhud4hyekcg08nue1iosmsq, 32ohywx3gs0u6bqm4z59wxmmt, 7rtrg77m3xozgfhu3p2ihfey2, 1ykl08k2c2kwxukw0gvslf6qd, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, chsirsawrhuh787kofklnjmqd, 7uia9zlz3axnuc6usdn9u4kfe, 6c2isptqoy4cq5c8rlr9s1roq",5379549469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379549475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379711243,194,7hukebiijqntuvetwzralzuju,5379549471,59,"1, 25, 38, 5, 14, 4, 37, 8, 33, 7, 17, 2, 3, 11, 13, 18, 24, 29, 34, 59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198505,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-24T13:01:16.005Z,2024-11-24T13:01:16Z,,,,,5379715345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198585,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-24T13:01:16.005Z,2024-11-24T18:46:46Z,,,,,5379715697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198627,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,49.7,50.3,2024-11-24T13:01:16.006Z,2024-11-24T13:01:25Z,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,5379715849,141,49.0,5379715851,212,10.4,5379715855,279,S,5379715847,140,39.8,5379715845,56,Back,5379715853,213,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198671,4,1,1,0,9,c165yjiny1qnmfdvefxvflnkc,1,39.4,50.3,2024-11-24T13:01:25.647Z,2024-11-24T13:01:29Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5379716061,213,1.62,5379716059,212,16.6,5379716053,56,Back,5379716055,140,38.7,5379716057,141,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198695,5,1,1,0,13,c165yjiny1qnmfdvefxvflnkc,0,44.3,78.1,2024-11-24T13:01:29.407Z,2024-11-24T13:01:31Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5379716205,1,,5379716197,140,86.4,5379716195,56,Center,5379716201,212,44.7,5379716199,141,68.1,5379716203,213,6.13,5379716193,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198705,3,12,1,0,15,9w3sjm5ml4sjr2v81oxzdrt8v,1,18.6,28.1,2024-11-24T13:01:31.966Z,2024-11-24T13:01:32Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5379716241,141,19.9,5379716245,213,5.78,5379716237,56,Back,5379716239,140,28.3,5379716251,15,,5379716243,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751315601,810,44,1,0,15,c165yjiny1qnmfdvefxvflnkc,1,77.4,71.0,2024-11-24T13:01:32.004Z,2024-11-24T14:56:03Z,22760086vtvx2xulry32q21hw,E. Yeboah,,,5380335641,286,,5380335659,233,506,5380335639,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250399,506,44,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,0,22.6,29.0,2024-11-24T13:01:32.005Z,2024-11-24T14:56:04Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5380335701,233,810,5379989449,56,Back,5379989451,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198755,6,1,1,0,16,c165yjiny1qnmfdvefxvflnkc,1,80.8,70.3,2024-11-24T13:01:32.920Z,2024-11-24T16:03:27Z,22760086vtvx2xulry32q21hw,E. Yeboah,,,5379716489,141,64.8,5379716493,213,3.49,5379716485,56,Center,5379716487,140,71.1,5379716491,212,10.8,5379716483,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198727,4,43,1,0,17,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-11-24T13:01:33.725Z,2024-11-24T17:44:44Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5381255565,144,12,5379716347,15,0,5379716329,56,Back,5379716335,212,5.1,5379716337,213,1.03,5379716331,140,30.5,5379716333,141,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198759,7,43,1,0,20,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-24T13:01:36.960Z,2024-11-24T13:49:20Z,1hbucfyn2l3bxcw5r4zcb1dlg,C. Gammelgaard,,,5379936591,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198795,8,1,1,0,21,c165yjiny1qnmfdvefxvflnkc,1,72.2,65.6,2024-11-24T13:01:37.273Z,2024-11-24T16:03:57Z,22zuxw8lez5w4vjd8spzzysyc,T. Lauritsen,,,5379716669,213,0.90,5379716663,140,78.8,5379716661,56,Center,5379716667,212,11.2,5379716665,141,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751240921,388,1,1,0,22,c165yjiny1qnmfdvefxvflnkc,1,83.1,89.1,2024-11-24T13:01:38.005Z,2024-11-24T13:49:47Z,6xjbcik3a56d0vqy4vrq5eokp,D. Čolina,,,5379938751,213,4.59,5379938749,212,7.9,5379938743,56,Center,5379938745,140,82.2,5379938747,141,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751198799,9,1,1,0,24,c165yjiny1qnmfdvefxvflnkc,0,86.2,80.0,2024-11-24T13:01:40.463Z,2024-11-24T13:01:42Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5379716735,236,,5379716737,233,5,5379716685,213,4.81,5379716679,140,86.4,5379716681,141,76.9,5379716741,286,,5379716683,212,2.1,5379716677,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
