id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2720816431,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-09-15T13:14:59.536Z,2024-09-15T14:05:49Z,,,,,5213652255,130,17,5213901221,194,7hukebiijqntuvetwzralzuju,5213652253,59,"1, 10, 59, 4, 13, 29, 34, 5, 18, 7, 11, 8, 14, 15, 17, 24, 25, 37, 71, 33",5213652249,30,"53y263xxfdf1itytiqhg3v6c5, 3ylgelxr6ssp42hidfnchqp2i, 6c2isptqoy4cq5c8rlr9s1roq, 7hukebiijqntuvetwzralzuju, 1ykl08k2c2kwxukw0gvslf6qd, chsirsawrhuh787kofklnjmqd, 7uia9zlz3axnuc6usdn9u4kfe, 2anc9ug5nr25khmtcc4id2pxx, 9yiz575rldkwu7icgqwk1qmdx, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 22zuxw8lez5w4vjd8spzzysyc, 6ylzm57bvpufg3cenadtv7qhh, 2rgil8e1uix2orli95p1si0ut, 94hei5v2f93ga4b0iwxxisbu1, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i, 22760086vtvx2xulry32q21hw",5213901223,197,12608,5213652251,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5213652257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5213652259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720823335,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-15T13:20:13.652Z,2024-09-15T14:00:40Z,,,,,5213689955,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, bp2ellllifbtxgf0p8qlbm1nt, auk14ut8cwaqop549u2zmfgt1, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, acp1ba2irpv5wfmxke7ucmaga, b6q0tf252xvikt39g8jevju38, 9qskwuil30g48xr3ax5p9j6j9",5213689967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5213689957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5213689963,130,4,5213689959,59,"16, 18, 24, 13, 55, 4, 12, 28, 11, 7, 10, 1, 6, 8, 14, 17, 19, 23, 37, 2",5213906599,194,5f3wfx327z9hef9k9l37c90wl,5213689969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5213906601,197,11498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864247,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-09-15T14:02:30.060Z,2024-09-15T17:17:58Z,,,,,5213912647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864255,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-15T14:02:30.060Z,2024-09-15T14:02:32Z,,,,,5213912697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864269,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.0,50.0,2024-09-15T14:02:30.178Z,2024-09-15T14:02:33Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5213912795,279,S,5213912793,213,3.21,5213912787,140,33.0,5213912791,212,17.9,5213912785,56,Back,5213912789,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864341,4,1,1,0,3,cftj6g399tknheudaxsdpfdgb,1,33.0,48.1,2024-09-15T14:02:33.375Z,2024-09-15T14:59:49Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5213913281,213,0.71,5213913275,140,67.0,5213913273,56,Left,5213913271,157,,5213913277,141,93.5,5213913283,1,,5213913279,212,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864345,5,44,1,0,6,cftj6g399tknheudaxsdpfdgb,1,64.2,90.1,2024-09-15T14:02:36.138Z,2024-09-15T17:38:28Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5213913307,286,,5213913337,233,3,5213913305,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864327,3,44,1,0,6,c165yjiny1qnmfdvefxvflnkc,0,35.8,9.9,2024-09-15T14:02:36.139Z,2024-09-15T14:49:59Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5213913167,285,,5213913363,233,5,5213913165,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864365,6,1,1,0,6,cftj6g399tknheudaxsdpfdgb,0,67.0,93.5,2024-09-15T14:02:36.543Z,2024-09-15T17:38:25Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5213913405,56,Center,5213913409,141,76.4,5213913403,3,,5213913411,212,13.1,5213913407,140,72.7,5213913413,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720864373,4,1,1,0,9,c165yjiny1qnmfdvefxvflnkc,0,25.4,37.4,2024-09-15T14:02:39.787Z,2024-09-15T14:50:22Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5213913463,213,0.98,5213913451,140,36.0,5213913447,56,Back,5213913467,1,,5213913445,157,,5213913455,141,61.7,5213913459,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
