id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2715333431,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-31T13:10:16.189Z,2024-08-31T13:57:19Z,,,,,5183717153,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, 3l3v5wj4c7vtqqwu05b526590, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 10lj2qekb1e4c8ful68b1pazt, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, em0yawcqyqwf53hbj0zlz4duc, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0",5183717165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5183717167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5183887995,197,14750,5183888885,194,3sadup8mjwu4dc96wz6lmixn9,5183717163,130,12,5183717161,59,"1, 2, 11, 19, 5, 40, 8, 7, 9, 31, 6, 4, 10, 18, 22, 23, 24, 26, 29, 33",5183717157,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715336645,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-31T13:14:01.014Z,2024-08-31T14:04:49Z,,,,,5183734815,30,"49wkw0wkn4ta18b6657vjvglx, ddsv1cx4vopu1xis5xwkx2qz8, c9e54hwefvwos94ri459uylbe, 6rd6a2f1k124dzp1p904yq3h0, 55gunqozsj8gs6oua7ee5xxhx, etfoa7t308eq1xdmo9m2gfcgl, 4cubrfqgrc5ivbd6fdj3k3zf8, 5uqf7a0y0fd1hf2rrmgx11tuy, 3nok8qxxj2zl831wgvc7abxuc, 7a1vtc0e7ubua2t0dwx9ufk7o, 4rgz5z372h6sbwhpxl69cb6c5, 76k8ic97o66kaq2e52bmp27ai, 9qebp1745dtdjh5kg5n4wfq7e, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs",5183734825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5183890325,194,55gunqozsj8gs6oua7ee5xxhx,5183734817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5183890327,197,4597,5183734819,59,"13, 19, 5, 21, 4, 6, 8, 10, 9, 14, 7, 11, 12, 15, 17, 18, 20, 24, 32, 38",5183734821,130,4,5183734823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715368783,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-31T14:00:38.279Z,2024-08-31T17:43:56Z,,,,,5183899191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715368863,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-08-31T14:00:38.279Z,2024-08-31T14:00:40Z,,,,,5183899541,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715368853,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.0,49.8,2024-08-31T14:00:38.280Z,2024-08-31T14:55:26Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,,5183899495,213,4.71,5183899497,279,S,5183899489,140,50.0,5183899487,56,Center,5183899491,141,44.0,5183899493,212,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715368971,4,1,1,0,2,5rz9enoyknpg8ji78za5b82p0,1,48.9,46.3,2024-08-31T14:00:40.527Z,2024-08-31T14:06:04Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,,5183899971,140,41.2,5183899973,141,74.5,5183899969,56,Back,5183899977,212,20.8,5183899981,213,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715369047,5,1,1,0,5,5rz9enoyknpg8ji78za5b82p0,1,40.9,81.2,2024-08-31T14:00:44.031Z,2024-08-31T14:00:46Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,,5183900299,140,57.3,5183900305,213,0.49,5183900297,56,Left,5183900303,212,19.5,5183900301,141,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715369061,6,3,1,0,7,5rz9enoyknpg8ji78za5b82p0,0,60.2,95.0,2024-08-31T14:00:46.239Z,2024-08-31T17:44:57Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,,5183900355,286,,5183900967,233,3,5183900353,56,Left,5185506107,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715369167,3,7,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,39.8,5.0,2024-08-31T14:00:46.240Z,2024-08-31T17:45:03Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5185506893,384,,5183900871,56,Back,5183900873,285,,5183900931,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715369303,5,1,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,0,57.1,16.6,2024-08-31T14:00:51.177Z,2024-08-31T14:00:55Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,,5183901479,141,0.0,5183901473,140,64.6,5183901469,56,Right,5183901483,212,14.2,5183901489,213,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
