id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2783017485,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-02T14:07:20.362Z,2025-03-02T15:02:22Z,,,,,5552493231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552493223,59,"16, 43, 55, 80, 4, 22, 21, 24, 18, 11, 58, 1, 3, 6, 7, 14, 19, 20, 29, 41",5552493219,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, 78kzajya12k4sm0ebfl37d6ok, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, djlyi0ad4x1p0k4thn8n0axw4, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, 1sdsqfn743j5tqem8ra7sppn8, bcscjb9jdgu4ims9n3vwuj5k9, bwfg9frq2ecbzg7wlzqjtnv2s, e73sexp7kse0wlykdi7xcbg2c, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g",5552832651,197,4600,5552493225,130,4,5552493221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552824779,194,a87w6l9zsbahdi4knm1347zs9,5552493227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783023941,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-02T14:11:48.478Z,2025-03-02T15:33:52Z,,,,,5552826623,197,4597,5552527573,59,"13, 2, 25, 6, 24, 15, 8, 36, 11, 7, 10, 12, 18, 20, 21, 23, 28, 38, 45, 34",5552527577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552826621,194,5uqf7a0y0fd1hf2rrmgx11tuy,5552527569,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, 2rvx2wlfj2rxzcgye6wiw0v84, 179f3j88wnmze82aicikkez9, 4cubrfqgrc5ivbd6fdj3k3zf8, 3zc9hy5uicgp21wr6z5wyuntg, 4oxlpwcwpa44hstpm70iep0id, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 9qebp1745dtdjh5kg5n4wfq7e, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, b4ocx2ub0iwtzac72gd0voj6c, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4, c1s6vw84nupd8c0mbj8gov5lg",5552527571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552527579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552527575,130,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082403,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-02T15:00:13.534Z,2025-03-02T18:08:39Z,,,,,5552837445,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082393,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-03-02T15:00:13.534Z,2025-03-02T15:00:13Z,,,,,5552837399,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082459,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,49.9,49.9,2025-03-02T15:00:13.535Z,2025-03-02T18:18:09Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5552837673,140,30.8,5552837681,279,S,5552837671,56,Back,5552837677,212,20.9,5552837675,141,41.5,5552837679,213,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082501,4,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,0,34.3,40.3,2025-03-02T15:00:18.744Z,2025-03-02T15:00:21Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,,5552837843,56,Center,5552837853,1,,5552837847,141,71.4,5552837841,155,,5552837851,213,0.68,5552837849,212,33.5,5552837845,140,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082541,3,1,1,0,7,59as3grjvj19voay31j3yfgni,1,32.2,26.7,2025-03-02T15:00:21.218Z,2025-03-02T18:18:22Z,78kzajya12k4sm0ebfl37d6ok,D. Castillo,,,5552838053,212,6.8,5552838047,56,Back,5552838051,141,30.9,5552838049,140,26.3,5552838045,3,,5552838055,213,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082555,4,12,1,0,9,59as3grjvj19voay31j3yfgni,1,25.4,32.7,2025-03-02T15:00:23.405Z,2025-03-02T18:18:40Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5552838155,15,,5552838137,212,12.9,5552838135,141,31.5,5552838139,213,6.22,5552838133,140,37.7,5552838129,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082569,5,1,1,0,11,77tfx9me4aaqhzv78bmgsy9bg,1,60.3,66.6,2025-03-02T15:00:24.624Z,2025-03-02T15:00:29Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5552838217,141,90.3,5552838211,3,,5552838219,212,16.1,5552838215,140,60.8,5552838213,56,Left,5552838221,213,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783082575,6,4,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,1,58.6,89.0,2025-03-02T15:00:28.927Z,2025-03-02T15:00:33Z,5ucbttulfcdufwr751zj0zcic,J. Lähteenmäki,,,5552838325,152,,5552838329,286,,5552838607,295,,5552838625,233,5,5552838321,13,,5552838323,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
