id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2705983435,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-04T13:03:39.193Z,2024-08-04T14:13:56Z,,,,,5132038619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132190571,197,790,5132038617,130,8,5132190569,194,rq6npjy37kolscu8lrj4r2dx,5132038621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132038611,30,"ckhhpn9ppgvlrtubf7li3se09, 6b8vhoisrfwkljhz4u7pduej8, 2ubad2kxha6n1c8c8sr2ogmad, 4gqnyyx3i92fayq6cxvekqwut, 7xc0qldxpidl07vij2wgu1sk5, ajjw1ikceu3g39sy6dsf9kdg4, aahyom322jdc6f21960ycuzth, rq6npjy37kolscu8lrj4r2dx, euur9yvhgrieu4kl0vdkh244q, 8inyievyp1az6q3dtlkpynf56, 6tckvu2rw7ns18dq7dim0sout, 9ic9msq3tj4gx8wqa6wfwk50q, w0wt7gjkdddn63a4258j8frp, 8mcb1hiuk9rzf48cx3vj5i3th, 8g4r9maz4invihjmdzpfxy0np, al9l7egkwbc0pv68zk42gegut, ssluj1c3ft94nkfs58dc8cq2, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, 823p7p1amx8lp445bo6bi01lg",5132038613,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5132038615,59,"1, 13, 24, 27, 2, 4, 11, 33, 18, 8, 10, 22, 3, 6, 7, 12, 30, 31, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705984223,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-04T13:04:53.083Z,2024-08-04T13:58:44Z,,,,,5132042843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132042835,59,"1, 27, 44, 6, 3, 4, 14, 8, 26, 90, 9, 5, 7, 10, 12, 15, 19, 24, 25, 30",5132190037,197,23959,5132042841,194,8cox96ikk1k4c24f0y5ef45x,5132042831,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 6uj3c69lgu6boblkjiuhoy6eh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, o7nooyu95nab78ys541e3uuh, 5al9uyujlrlb17o4r5sapkkk4, 54ipja7wrxji6kn8yw5uhr6ga, 9yuyz4ci6wqikd6ckjstbt2i1, 606hufq6dapf3qxcgilbc8tt5, 1t67kvg37jg2elz9voix5kcet, 1329qhvvxpp6j4q5esh4n3hii, ag40mk09zc8tzbkr7dnnqumay, 9xub4z9b3bog8wqhn5yfihecp, 2datlbzulrzdgpyxv3fkzn0et, 6w9yjs87tue7noq71ftksxez8, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc",5132042833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5132042837,130,8,5132042839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013085,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-08-04T14:02:53.977Z,2024-08-04T14:02:56Z,,,,,5132196107,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013081,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-08-04T14:02:53.977Z,2024-08-04T17:17:01Z,,,,,5132196091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013095,3,1,1,0,1,b3r6d8ydtmtjckam6pku9y400,1,50.3,49.7,2024-08-04T14:02:54.978Z,2024-08-04T17:17:46Z,euur9yvhgrieu4kl0vdkh244q,O. Óskarsson,,,5132196167,213,3.41,5132196169,279,S,5132196159,56,Back,5132196165,212,3.1,5132196161,140,47.5,5132196163,141,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013109,4,1,1,0,2,b3r6d8ydtmtjckam6pku9y400,1,45.0,47.5,2024-08-04T14:02:56.720Z,2024-08-04T17:17:33Z,8inyievyp1az6q3dtlkpynf56,M. Mattsson,,,5132196257,212,2.9,5132196259,213,3.79,5132196255,141,44.9,5132196251,56,Back,5132196253,140,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013125,5,1,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,41.0,40.4,2024-08-04T14:02:58.617Z,2024-08-04T14:03:00Z,rq6npjy37kolscu8lrj4r2dx,R. Falk,,,5132196351,212,21.4,5132196353,213,4.44,5132196349,141,10.1,5132196345,56,Back,5132196347,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013131,6,1,1,0,6,b3r6d8ydtmtjckam6pku9y400,1,34.6,8.8,2024-08-04T14:03:00.280Z,2024-08-04T14:03:02Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5132196383,213,0.97,5132196379,141,17.6,5132196381,212,7.3,5132196377,140,38.5,5132196375,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013139,7,1,1,0,8,b3r6d8ydtmtjckam6pku9y400,1,38.9,16.8,2024-08-04T14:03:01.977Z,2024-08-04T14:03:04Z,rq6npjy37kolscu8lrj4r2dx,R. Falk,,,5132196447,213,5.77,5132196445,212,19.9,5132196439,56,Right,5132196441,140,55.4,5132196443,141,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706013161,8,1,1,0,10,b3r6d8ydtmtjckam6pku9y400,0,55.5,2.3,2024-08-04T14:03:04.616Z,2024-08-04T14:03:07Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5132196539,141,6.5,5132196541,212,21.8,5132196543,213,0.13,5132196537,140,76.1,5132196535,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
