id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2705434001,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-03T13:08:20.091Z,2024-08-03T14:01:00Z,,,,,5129101091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5129101095,130,4,5129179911,194,1arzd8hqj73byhduozscqz5uy,5129101097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5129101099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5129179913,197,1731,5129101089,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, brinkgys7026490q3ixx6h9uc, eyx42tgneccybvhk8bfhtcaqy, hpzxgnwobdttfgd04dykf26t, dq2eqqywinhsh9ijg8amqyp78, 3q4tnk1z46lop4rbdpjtfoc2c, 8mkrj5bnkyhx8kutc4656cy96, 5hw5sfiqhzg7mnghdp52f7fqi, 1arzd8hqj73byhduozscqz5uy, 8bi1tlz62rjwyak4pnnzgp562, 7yst1mucy7jynmpzu1thox2i, bcdp9e3dezuaybm8ndrsanbx0, rv6r0bwbl75er38wklyfpsr9, 5lz41celw55rz3zh8pohclw5w, 8vi3l756ez0e96k7muvg4ekbu, 6v1kpakd3t0jhnoh1eh75ev4k, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve",5129101093,59,"1, 20, 24, 14, 2, 3, 8, 6, 19, 11, 17, 4, 5, 9, 10, 13, 16, 21, 22, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,
2705434821,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-03T13:10:33.085Z,2024-08-03T14:01:21Z,,,,,5129105591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5129105595,59,"16, 13, 6, 21, 4, 22, 11, 5, 7, 18, 24, 1, 2, 3, 9, 17, 20, 45, 58, 73",5129105609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5129180585,197,4600,5129105599,130,2,5129184053,194,a87w6l9zsbahdi4knm1347zs9,5129105605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5129105589,30,"7yim2aepctujr2m4p20a97755, bidudbkachfl6126lhlr254wk, 8yfw9f74h0yfz51bkxxc8p39x, 78kzajya12k4sm0ebfl37d6ok, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, arhoud4vfjvmjaf2pkbm6s48a, 1sdsqfn743j5tqem8ra7sppn8, elhmf9cc26ec5p1wnwonuxf4l, drlp4xtkta08jiu0px6m4ocq2, 41ii5y9ebz5e3xhaif9kc8qmt, 2mawaijd9czgtd5jh9myk434l, c3sp1x0shf2b24rl5ike6v0iy, e6p5i2ujvk0t9mo0h2gvrlka1, 5cjx2i2perp5vr62en4cyer1m, e73sexp7kse0wlykdi7xcbg2c, 3xp5g6ooahnnxyqpldskaytp1, 4zrsiizdbzwwkmit3ta0f0dbe, 4fhpb0b8muboggvquj2pvsiqx",,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448845,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-03T14:00:18.409Z,2024-08-03T14:00:20Z,,,,,5129184471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448839,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-03T14:00:18.409Z,2024-08-03T18:38:58Z,,,,,5129184451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448857,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.0,50.0,2024-08-03T14:00:18.410Z,2024-08-03T14:00:23Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5129184511,56,Back,5129184515,141,44.9,5129184517,212,24.7,5129184519,213,3.28,5129184521,279,S,5129184513,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448861,4,1,1,0,4,36g6ifzjliec1jqnbtf7yesme,0,26.7,44.9,2024-08-03T14:00:22.954Z,2024-08-03T14:00:24Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5129184529,56,Center,5129184531,140,71.4,5129184535,212,51.3,5129184539,1,,5129184527,157,,5129184537,213,0.42,5129184533,141,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448873,3,1,1,0,6,59as3grjvj19voay31j3yfgni,0,25.8,38.5,2024-08-03T14:00:25.099Z,2024-08-03T14:00:25Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5129184591,140,36.2,5129184595,212,11.6,5129184587,3,,5129184589,56,Back,5129184593,141,44.3,5129184597,213,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448889,5,1,1,0,8,36g6ifzjliec1jqnbtf7yesme,1,63.0,63.5,2024-08-03T14:00:26.858Z,2024-08-03T14:00:28Z,eyx42tgneccybvhk8bfhtcaqy,M. Højholt,,,5129184683,141,54.6,5129184687,213,5.48,5129184681,140,68.6,5129184679,56,Center,5129184685,212,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448899,6,1,1,0,10,36g6ifzjliec1jqnbtf7yesme,1,68.6,54.6,2024-08-03T14:00:28.762Z,2024-08-03T14:00:30Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5129184759,213,2.53,5129184753,140,62.9,5129184755,141,60.8,5129184751,56,Center,5129184757,212,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705448913,7,1,1,0,11,36g6ifzjliec1jqnbtf7yesme,1,62.9,60.8,2024-08-03T14:00:30.074Z,2024-08-03T14:00:31Z,eyx42tgneccybvhk8bfhtcaqy,M. Højholt,,,5129184831,212,9.1,5129184825,56,Center,5129184829,141,69.9,5129184833,213,0.74,5129184827,140,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
