id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2810122755,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-04T11:08:33.759Z,2025-05-04T15:23:21Z,,,,,5701580803,59,"1, 36, 19, 6, 3, 4, 41, 21, 23, 17, 8, 2, 7, 9, 20, 26, 27, 30, 33, 35",5701745091,197,6293,5701580795,30,"b2492j7qzdo7g3ysxz6gq4g5x, 89xit2bryc0g4yhqina7akjkk, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, lmrff8mviimc33yyrpjzr2tw, lioz4hr2umpne2bwar18qa96, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, avtms6bcr8i7qdacuv225evo5, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, 6wrch4yhbs6utcc0doguj90q, 9kjdw81u1rprgi5j8f92afaqc, 9ftdwt0udamsh6k5sdaoqxyc4, d8nahz092xxj6muqc24hocp3o, cuufy3ioo1kio56er2cfn0mqc, abaapwjdtbk2vmdv69v49fyms",5701580805,130,4,5701580807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701749537,194,b2492j7qzdo7g3ysxz6gq4g5x,5701580799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5701580809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810124425,2,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-04T11:12:10.145Z,2025-05-04T12:15:36Z,,,,,5701590149,130,2,5701590153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701749259,197,25261,5701590147,59,"1, 23, 38, 2, 13, 14, 18, 34, 45, 17, 10, 3, 7, 11, 22, 24, 25, 26, 29, 59",5701749257,194,1xjhud4hyekcg08nue1iosmsq,5701590151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5701590143,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 1xjhud4hyekcg08nue1iosmsq, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 9yiz575rldkwu7icgqwk1qmdx, 7uia9zlz3axnuc6usdn9u4kfe, babnrlnt04mal0268p9dxas8a, 94hei5v2f93ga4b0iwxxisbu1, 3ylgelxr6ssp42hidfnchqp2i, 32ohywx3gs0u6bqm4z59wxmmt, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, ajk0mbprro09pccglih9y740k, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",5701590145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810155997,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-05-04T12:00:37.068Z,2025-05-04T15:19:50Z,,,,,5701752923,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156019,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-05-04T12:00:37.068Z,2025-05-04T12:00:39Z,,,,,5701753021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156047,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.7,49.6,2025-05-04T12:00:37.069Z,2025-05-04T12:00:40Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5701753129,140,53.2,5701753141,278,,5701753135,212,6.7,5701753133,141,57.8,5701753139,279,S,5701753125,56,Center,5701753137,213,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156067,4,1,1,0,3,ahnt9ejgwj58ul8auzdvi3czf,1,50.4,60.5,2025-05-04T12:00:40.619Z,2025-05-04T12:52:23Z,avtms6bcr8i7qdacuv225evo5,J. Andersen,,,5701753273,212,15.4,5701753275,213,3.56,5701753271,141,51.2,5701753267,56,Back,5701753269,140,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156099,5,1,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,1,42.9,53.0,2025-05-04T12:00:45.851Z,2025-05-04T12:00:47Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5701753445,212,19.2,5701753447,213,4.51,5701753439,56,Back,5701753443,141,25.3,5701753441,140,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156135,6,1,1,0,10,ahnt9ejgwj58ul8auzdvi3czf,1,35.9,31.7,2025-05-04T12:00:47.242Z,2025-05-04T12:00:51Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701753619,213,1.57,5701753613,140,36.0,5701753617,212,29.2,5701753611,56,Back,5701753615,141,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156171,7,1,1,0,14,ahnt9ejgwj58ul8auzdvi3czf,1,43.8,65.0,2025-05-04T12:00:51.082Z,2025-05-04T12:00:54Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5701753825,212,25.1,5701753819,56,Back,5701753821,140,46.1,5701753827,213,4.81,5701753823,141,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810156209,8,1,1,0,17,ahnt9ejgwj58ul8auzdvi3czf,1,50.6,22.3,2025-05-04T12:00:54.122Z,2025-05-04T12:00:57Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5701754031,212,20.2,5701754025,56,Right,5701754029,141,7.6,5701754027,140,67.3,5701754033,213,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
